time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_linear.count,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_gating_routing_topk.count,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_shuffling.count,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,routing_runtime_path,routing_assignment_policy,routing_weight_policy,routing_uses_router_logits,gating_runtime_context,gating_runtime_context_impl,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,seed,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,quant_signature,model_architecture_profile
0.011040000244975,0.0138879995793104,0.0121855999808758,0.0118239996954798,0.0009368733743829,20,0.0384639985859394,0.0401600003242492,0.0391295997425913,0.0390559993684291,0.0004246007243915,20,0.0329600013792514,0.0389119982719421,0.0341903995722532,0.0339040011167526,0.0012669925535838,20,0.2111999988555908,0.2176000028848648,0.213713601231575,0.2136639952659607,0.0014265755889937,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,3,7168,5120,True,1,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0110719995573163,0.0140479998663067,0.0121871999464929,0.0118880001828074,0.0009052819405937,20,0.0378240011632442,0.0399679988622665,0.0391680004075169,0.0393280014395713,0.0005927345267124,20,0.0331519991159439,0.0405759997665882,0.0345295999199152,0.0339359994977712,0.0016436438568823,20,0.1493120044469833,0.1575360000133514,0.1516160070896148,0.1510400027036667,0.0023437964264303,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,3,7168,5120,True,2,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0109440004453063,0.0128319999203085,0.0117392000742256,0.0116480002179741,0.0005658007344386,20,0.0380479991436004,0.0405439995229244,0.0388991998508572,0.0387840010225772,0.0006697409526274,20,0.0329600013792514,0.0431040003895759,0.0350368002429604,0.0343040004372596,0.0023795371301244,20,0.1306879967451095,0.1413760036230087,0.1334895938634872,0.1330879926681518,0.0023229748476296,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,3,7168,5120,True,4,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0108799999579787,0.0130880000069737,0.0117023999802768,0.011568000074476,0.0006903476163686,20,0.0372160002589225,0.0394879989326,0.0384127998724579,0.038256000727415,0.0006330339338002,20,0.0332479998469352,0.0408000014722347,0.0345904000103473,0.0342239998281002,0.0015808931827491,20,0.1238399967551231,0.1348800063133239,0.1269664019346237,0.1257600039243698,0.0031260699033737,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,3,7168,5120,True,8,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0261760000139474,0.0389759987592697,0.0285103999078273,0.0273119993507862,0.0035763701834791,20,0.1003839969635009,0.1128000020980835,0.1032831992954015,0.1023519970476627,0.0028283445142405,20,0.0348160006105899,0.0415359996259212,0.0359872002154588,0.0353920012712478,0.0015335778749153,20,0.2150399982929229,0.2226880043745041,0.2169231921434402,0.2165440022945404,0.0019534293096512,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,3,7168,5120,True,1,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0260799992829561,0.0322239995002746,0.0271999998949468,0.0268479995429515,0.0013282120119608,20,0.1000960022211074,0.1099520027637481,0.1020927999168634,0.10164799913764,0.0023427506550812,20,0.0343680009245872,0.0400319993495941,0.0358368000015616,0.0352320000529289,0.0014334746642828,20,0.1517760008573532,0.1642239987850189,0.1533872187137603,0.152671992778778,0.0026271459646523,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,3,7168,5120,True,2,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0259840004146099,0.0330879986286163,0.0272960001602768,0.0266239996999502,0.0018555583338861,20,0.1004159972071647,0.1053119972348213,0.1018208000808954,0.1015039980411529,0.0011983941645592,20,0.0338880009949207,0.0409919992089271,0.0354623997583985,0.0351199992001056,0.0014997247716039,20,0.132095992565155,0.1577280014753341,0.1361375898122787,0.1343040019273758,0.0056270230561494,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,3,7168,5120,True,4,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0256639998406171,0.0416320003569126,0.028499199822545,0.0273599997162818,0.0035822624288789,20,0.0988800004124641,0.1454720050096511,0.1072048015892505,0.1027359999716281,0.0112950865280393,20,0.0344959981739521,0.0403200015425682,0.0358223998919129,0.0355359986424446,0.0012530556021333,20,0.1284479945898056,0.1452800035476684,0.131356805562973,0.1306879967451095,0.0035627481993287,1,24,12,2,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,3,7168,5120,True,8,2,0.7142857142857143,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.2360679774997894,6.0,1.0000000003848608,0.8333333333333335,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.0107840001583099,0.0130880000069737,0.0117152001708745,0.0114880003966391,0.0006494422937118,20,0.0377600006759166,0.0396159999072551,0.0387007996439933,0.0387040004134178,0.0005740764842275,20,0.0213760007172822,0.0257280003279447,0.0221744000911712,0.0220480002462863,0.0008961985577568,20,0.2759039998054504,0.2843520045280456,0.2780911922454834,0.2776319980621338,0.00171432539355,1,24,24,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,3,7168,5120,True,1,3,0.7142857142857143,0.125,0.125,0.125,0.0,2.6457513110645907,8.0,1.5849625015333808,0.875,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
0.01110399980098,0.0133440000936388,0.0119375999551266,0.0116799999959766,0.0005995603860794,20,0.0383360013365745,0.0399999991059303,0.039067200385034,0.0389920007437467,0.0004539348418503,20,0.0211200006306171,0.0277759991586208,0.0223311998881399,0.0217599999159574,0.001664316032794,20,0.1751679927110672,1.2122559547424316,0.234179213643074,0.1768960058689117,0.2313674986362457,1,24,24,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,3,7168,5120,True,2,3,0.7142857142857143,0.125,0.125,0.125,0.0,2.6457513110645907,8.0,1.5849625015333808,0.875,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,step3_text
