time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,is_true_mixed_batch,model_architecture_profile
0.010432000271975994,0.012640000320971012,0.010969600081443787,0.010591999627649784,0.0008377403048341327,5,0.02051199972629547,0.02393599972128868,0.021503999829292297,0.020800000056624413,0.0012823976003863062,5,0.04620800167322159,0.05337600037455559,0.049004800617694855,0.048128001391887665,0.002433313192657851,5,0.007135999854654074,0.007648000027984381,0.007295999955385923,0.0072639998979866505,0.00018768490576032734,5,0.008832000195980072,0.010239999741315842,0.009318399988114835,0.009184000082314014,0.0004820859738884804,5,7168,64,1,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,generic,none,CUDA_EVENT,False,step3_text
0.0098879998549819,0.011487999930977821,0.010604799911379813,0.01056000031530857,0.000522531699308398,5,0.020191999152302742,0.022304000332951546,0.021132799983024596,0.021023999899625778,0.0007620037190550355,5,0.04732799902558327,0.052480001002550125,0.04894080013036728,0.04806400090456009,0.0018582723528551234,5,0.006624000146985054,0.007071999832987785,0.006886400002986193,0.006943999789655209,0.00015466286739819466,5,0.008576000109314919,0.010015999898314476,0.009145599789917469,0.00902399979531765,0.00047351348591183096,5,7168,64,1,16,1,128,1,64,64,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,64,128,128,BF16,generic,none,CUDA_EVENT,False,step3_text
0.01017600018531084,0.01158399973064661,0.010758399963378906,0.010495999827980995,0.0004975561994217243,5,0.02054399996995926,0.023104000836610794,0.02120960019528866,0.02070399932563305,0.0009658279813038986,5,0.04633599892258644,0.05299200117588043,0.04849279969930649,0.047488000243902206,0.002385887682224034,5,0.006912000011652708,0.007615999784320593,0.007116799987852573,0.006976000033318996,0.00025727672229148354,5,0.009088000282645226,0.009759999811649323,0.009388799965381622,0.009247999638319016,0.0002704709096583095,5,7168,64,1,16,1,128,1,32,0,True,FLASHINFER,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,BF16,generic,none,CUDA_EVENT,False,step3_text
0.010111999697983265,0.01119999960064888,0.01048319973051548,0.010367999784648418,0.00038057131335527154,5,0.020096000283956528,0.022495999932289124,0.020665599778294564,0.020191999152302742,0.0009188849767044761,5,0.046112000942230225,0.05129599943757057,0.047884800285100934,0.04710400104522705,0.0018696978666533763,5,0.006719999946653843,0.007807999849319458,0.0070719999261200425,0.00687999976798892,0.0003986537199051046,5,0.008736000396311283,0.009279999881982803,0.00903680007904768,0.009119999594986439,0.0002147577581084168,5,7168,64,1,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,generic,none,CUDA_EVENT,False,step3_text
0.01027199998497963,0.011615999974310398,0.010796800069510937,0.01065600011497736,0.00044414337884687236,5,0.02022399939596653,0.022592000663280487,0.020972800254821778,0.020640000700950623,0.0008301767277002423,5,0.04739199951291084,0.05020799860358238,0.04831359982490539,0.047648001462221146,0.0010507302084117505,5,0.00687999976798892,0.0074880002066493034,0.007212799973785877,0.00723200011998415,0.00019475372422313655,5,0.008991999551653862,0.009855999611318111,0.009420800022780895,0.009600000455975533,0.0003378085684514541,5,7168,64,1,16,1,128,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,BF16,generic,none,CUDA_EVENT,False,step3_text
0.010495999827980995,0.011872000060975552,0.010995200090110301,0.010784000158309937,0.0004851351984804088,5,0.020287999883294106,0.022784000262618065,0.02134400010108948,0.02115200087428093,0.0009107359112162603,5,0.006719999946653843,0.0074880002066493034,0.0071680000051856044,0.00723200011998415,0.00026154013143954105,5,0.03721600025892258,0.04307200014591217,0.03944320008158684,0.0390079990029335,0.0021912498655153986,5,0.008671999908983707,0.010400000028312206,0.009215999953448772,0.008832000195980072,0.0006454171128696438,5,7168,64,1,16,1,128,1,0,1,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False,step3_text
0.009920000098645687,0.01196799986064434,0.010515199974179268,0.010111999697983265,0.0007506301608847926,5,0.020255999639630318,0.0226879995316267,0.021081599593162536,0.020735999569296837,0.0008684684363635359,5,0.006624000146985054,0.007935999892652035,0.006995199993252754,0.0066559999249875546,0.0005090313133255698,5,0.036896001547575,0.04230400174856186,0.03901440054178238,0.038784001022577286,0.0019027926972954418,5,0.008608000352978706,0.009600000455975533,0.009190400317311286,0.009216000325977802,0.00032596051646609903,5,7168,64,1,16,1,128,2,0,1,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False,step3_text
0.009952000342309475,0.011327999643981457,0.010598399862647056,0.010591999627649784,0.00045318126963496245,5,0.019936000928282738,0.022304000332951546,0.020825599879026414,0.02067199908196926,0.0007909633682641326,5,0.006560000125318766,0.007840000092983246,0.006944000069051981,0.0066559999249875546,0.000478504342733711,5,0.037087999284267426,0.04419200122356415,0.03930240049958229,0.03782400116324425,0.002608139910357845,5,0.008671999908983707,0.0098879998549819,0.009318399988114835,0.00940799992531538,0.0003957663851434467,5,7168,64,1,16,1,128,4,0,1,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False,step3_text
0.010239999741315842,0.012640000320971012,0.010867200046777725,0.010304000228643417,0.0009218223633157508,5,0.020479999482631683,0.022112000733613968,0.020902400091290473,0.02054399996995926,0.000616994880467958,5,0.006752000190317631,0.007327999919652939,0.006956799980252981,0.00684799998998642,0.00020299194438871127,5,0.03807999938726425,0.04374400153756142,0.03989120051264763,0.03872000053524971,0.0021226981961175047,5,0.008799999952316284,0.010208000428974628,0.009279999881982803,0.008991999551653862,0.0005238628002577544,5,7168,64,1,16,1,128,8,0,1,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False,step3_text
0.010111999697983265,0.013151999562978745,0.010879999771714211,0.010367999784648418,0.0011428972700088668,5,0.020191999152302742,0.0226879995316267,0.020972799509763718,0.020735999569296837,0.0008984195712218265,5,0.006591999903321266,0.007360000163316727,0.006880000047385692,0.006816000211983919,0.0002677312434703728,5,0.03596799820661545,0.043807998299598694,0.038419199734926225,0.037248000502586365,0.002872494712423245,5,0.008671999908983707,0.009983999654650688,0.009126400016248227,0.008736000396311283,0.000546965931509869,5,7168,64,1,16,1,128,1,0,8,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False,step3_text
