time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_pre_proj_qkv.min,time_stats.attn_pre_proj_qkv.max,time_stats.attn_pre_proj_qkv.mean,time_stats.attn_pre_proj_qkv.median,time_stats.attn_pre_proj_qkv.std,time_stats.attn_pre_proj_qkv.count,time_stats.attn_pre_proj_q_norm.min,time_stats.attn_pre_proj_q_norm.max,time_stats.attn_pre_proj_q_norm.mean,time_stats.attn_pre_proj_q_norm.median,time_stats.attn_pre_proj_q_norm.std,time_stats.attn_pre_proj_q_norm.count,time_stats.attn_pre_proj_wq.min,time_stats.attn_pre_proj_wq.max,time_stats.attn_pre_proj_wq.mean,time_stats.attn_pre_proj_wq.median,time_stats.attn_pre_proj_wq.std,time_stats.attn_pre_proj_wq.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_up_proj.count,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_act.count,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.share_expert_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.002176,0.0033929999999999,0.0031802857142857,0.0032,0.0002334111726336,21.0,0.003359,0.003552,0.0034096999999999,0.0034085,4.230023640595874e-05,20.0,0.052319,0.053824,0.0530301,0.052896,0.000411065067842,20,0.018431,0.019168,0.01873585,0.0187355,0.0001874084509834,20.0,0.006592,0.007008,0.0067088,0.006704,0.0001062645754708,20.0,0.027136,0.028192,0.02758545,0.027568,0.00031269353607,20,0.008352,0.00928,0.0087872,0.008784,0.0002078909810453,20,0.091808,0.094015,0.09305705,0.093023,0.0005712605775825,20,0.004223,0.004448,0.00432155,0.00432,5.298440808388842e-05,20.0,0.051455,0.052832,0.05206045,0.0519675,0.000404392566079,20,0.003456,0.004064,0.0037599,0.00376,0.0001396112101516,20,0.02928,0.030432,0.029779,0.02968,0.0003205757320821,20,64,1,7168,5120,128815,True,False,False,128,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.00192,0.002784,0.0026864761904761,0.00272,0.0001754036485062,21.0,0.003264,0.003488,0.00330885,0.003296,6.195343009067382e-05,20.0,0.048864,0.050432,0.04951035,0.0494075,0.0004108002282131,20,0.016481,0.017793,0.01693285,0.0168,0.0003546659378908,20.0,0.00624,0.006784,0.00646395,0.0064635,0.0001377771661052,20.0,0.025696,0.026816,0.02611355,0.026016,0.0002975863698155,20,0.007968,0.008576,0.00825735,0.008287,0.0001799778528041,20,0.08624,0.0874559999999999,0.08697735,0.0870239999999999,0.0003282610660739,20,0.003584,0.003776,0.0036270499999999,0.003616,4.082704373329029e-05,20.0,0.049695,0.05088,0.05020295,0.050128,0.0004341395484173,20,0.00336,0.003776,0.00351835,0.00352,9.993861866165652e-05,20,0.027424,0.029376,0.0280990499999999,0.0279039999999999,0.0005529155880421,20,64,1,7168,5120,128815,True,False,False,64,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.001856,0.00272,0.002500619047619,0.002528,0.0001602288471115,21.0,0.003263,0.003552,0.0033359999999999,0.003296,8.695861084447018e-05,20.0,0.049664,0.0514559999999999,0.0502927,0.050144,0.0004562286816937,20,0.0178879999999999,0.018848,0.01822875,0.018128,0.0002988218323683,20.0,0.00624,0.006496,0.00637275,0.006352,7.795311090649309e-05,20.0,0.025408,0.026368,0.0256911999999999,0.0256,0.0003089740442173,20,0.007904,0.008449,0.00811685,0.008128,0.0001393841005997,20,0.079392,0.080895,0.0802941,0.0803675,0.0003887558231075,20,0.00368,0.003969,0.00377115,0.003744,7.335889516616232e-05,20.0,0.050656,0.05216,0.05143665,0.0514715,0.0004422199989824,20,0.003424,0.00368,0.0035472,0.003552,7.523403485125608e-05,20,0.027232,0.028736,0.0277038999999999,0.0275995,0.000404164434358,20,64,1,7168,5120,128815,True,False,False,32,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.008255,0.012896,0.0121568571428571,0.012256,0.0008894827970559,21.0,0.003232,0.00352,0.0033120499999999,0.003296,7.99509068116179e-05,20.0,0.048992,0.050112,0.0495469,0.049519,0.0002839550844764,20,0.017632,0.018208,0.01785425,0.01784,0.0001571559337091,20.0,0.006176,0.006496,0.0062959,0.0062555,0.0001027554864715,20.0,0.02496,0.025792,0.02539675,0.025376,0.0002675785632295,20,0.007584,0.00832,0.00790545,0.0079035,0.0001942484169819,20,0.08256,0.086816,0.08452935,0.0846555,0.0014601884904011,20,0.003487,0.003776,0.0035567,0.00352,8.056121895800733e-05,20.0,0.050143,0.051615,0.0508254,0.0508799999999999,0.0004190597093493,20,0.003264,0.003712,0.00344165,0.003424,0.0001359019039601,20,0.026912,0.027936,0.02726075,0.027168,0.000279134174726,20,64,1,7168,5120,128815,True,False,False,16,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.00512,0.007488,0.007119,0.007232,0.000468384050804,21.0,0.0032,0.003616,0.0033327999999999,0.003312,0.0001241267900173,20.0,0.048992,0.050271,0.0496046,0.0495675,0.0004356423303582,20,0.017664,0.019007,0.01802875,0.0179045,0.0003662144010002,20.0,0.006273,0.006752,0.0064609,0.006464,0.0001166884313031,20.0,0.024768,0.025728,0.02511495,0.024992,0.0003247207223138,20,0.007488,0.008,0.0077551,0.0077445,0.0001284686343042,20,0.08096,0.082368,0.08173245,0.081855,0.0004601875134116,20,0.003392,0.003776,0.0035471,0.0035835,0.000105732161616,20.0,0.050848,0.052064,0.051459,0.0515835,0.000410686254944,20,0.003296,0.003871,0.0035215,0.003488,0.0001446027316477,20,0.029151,0.03056,0.0298061999999999,0.0295999999999999,0.0004143237381565,20,64,1,7168,5120,128815,True,False,False,8,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.00368,0.005056,0.0046628095238095,0.004736,0.000260369447964,21.0,0.0032,0.003424,0.0032958499999999,0.003264,8.64044414367687e-05,20.0,0.0482239999999999,0.050048,0.0488095,0.0486555,0.00048204206248,20,0.017376,0.01872,0.01777115,0.0176485,0.0003378578510261,20.0,0.005952,0.006527,0.0062481,0.00624,0.000141868213494,20.0,0.024512,0.025568,0.02479025,0.02464,0.0003433451434052,20,0.007232,0.007968,0.0076127,0.0076635,0.0001924879476746,20,0.080415,0.081567,0.0811324,0.081152,0.0002868592686318,20,0.00336,0.0038079999999999,0.003544,0.003584,0.0001291204863683,20.0,0.050336,0.051904,0.05100935,0.051024,0.0004871616030641,20,0.003168,0.003744,0.00343355,0.003472,0.0001827918146416,20,0.0290239999999999,0.030528,0.02956955,0.0295035,0.0004049662300735,20,64,1,7168,5120,128815,True,False,False,4,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.0028799999999999,0.003648,0.0034041904761904,0.003392,0.0001469666690581,21.0,0.003232,0.00352,0.00335675,0.0033759999999999,9.862599809380892e-05,20.0,0.047712,0.049119,0.0481902,0.048096,0.0003984898493061,20,0.017247,0.018432,0.0174943,0.017424,0.0002588138520249,20.0,0.005824,0.006944,0.00627675,0.006256,0.0002698028678498,20.0,0.02416,0.025312,0.0244191499999999,0.024352,0.0002439537404919,20,0.007328,0.007808,0.0075534999999999,0.007568,0.0001247635764155,20,0.079807,0.081344,0.08070365,0.080768,0.0003791361595785,20,0.003456,0.004032,0.0036143999999999,0.0036165,0.0001439358885059,20.0,0.050208,0.051424,0.0507773999999999,0.0507195,0.0003289181357116,20,0.003168,0.00368,0.00335365,0.00336,0.0001471483180332,20,0.0286719999999999,0.03024,0.0292206499999999,0.029088,0.0003702596757682,20,64,1,7168,5120,128815,True,False,False,2,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
0.002496,0.002976,0.002820619047619,0.002784,0.0001017786937149,21.0,0.003263,0.003648,0.0034575999999999,0.003456,6.765234659640426e-05,20.0,0.0442249999999999,0.045503,0.0447405,0.044575,0.0003818891854975,20,0.016863,0.018144,0.01727815,0.0171834999999999,0.0003755827838173,20.0,0.0032,0.00352,0.00329915,0.003264,8.029774280762814e-05,20.0,0.023936,0.024768,0.0241632,0.024144,0.0001746294934998,20,0.007072,0.007776,0.00732805,0.007328,0.0001775214001184,20,0.079487,0.081024,0.0803389,0.080384,0.0004534471192983,20,0.003615,0.004128,0.00371835,0.003696,0.0001156746623076,20.0,0.049536,0.051328,0.0505981,0.0506235,0.0005026313659134,20,0.002977,0.003328,0.00313605,0.003104,0.0001050868569327,20,0.0287039999999999,0.030208,0.0293711999999999,0.029248,0.0004798159647198,20,64,1,7168,5120,128815,True,False,False,1,1,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.040511,0.042017,0.04091035,0.0407354999999999,0.0003972139568293,20,,,,,,,,,,,,,0.015423,0.016353,0.0156127,0.0155355,0.0002496824182837,20,0.005568,0.006112,0.0058192,0.0058075,0.0001420519623236,20,0.043903,0.045471,0.0445981,0.044544,0.0004560542621223,20,,,,,,,0.028928,0.030368,0.0295518499999999,0.029392,0.0004314683389311,20,0.002624,0.002848,0.002696,0.002688,5.713142742834265e-05,20,0.0152959999999999,0.015743,0.0154735,0.0154245,0.0001398901354635,20,64,1,7168,5120,128815,True,False,False,128,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
,,,,,,,,,,,,0.037601,0.039297,0.0385296,0.038671,0.0005127352533228,20,,,,,,,,,,,,,0.01456,0.015648,0.0149969,0.0149285,0.0003239436525076,20,0.00528,0.005856,0.0055105,0.0054884999999999,0.0001750507069394,20,0.0416319999999999,0.044576,0.0426015,0.0423035,0.0008347490341414,20,,,,,,,0.027455,0.028992,0.0280526,0.027936,0.0004629624606812,20,0.002591,0.002784,0.0026319,0.002624,4.280292046110872e-05,20,0.014687,0.0152959999999999,0.01495825,0.014944,0.0001546877095958,20,64,1,7168,5120,128815,True,False,False,64,2,7168,5120,generic,False,5120,2048,KERNEL_ONLY,BF16,none,step3_text
