snapshot,counts_waiting_running,counts_source,wave,publish_monotonic,applied_monotonic,provenance
1,"[[0, 0], [0, 0]]",current,0,560598.919019903,,"[null, null]"
2,"[[0, 0], [0, 0]]",current,0,560603.923871412,560603.924539144,"[null, null]"
3,"[[0, 1], [0, 0]]",current,0,560607.217237681,560607.217656548,"[{""engine"": 0, ""wave"": 0, ""step"": 0, ""iteration_seq"": 0, ""branch"": ""scheduled_without_applying""}, null]"
4,"[[0, 1], [0, 1]]",current,0,560608.220820198,560608.221232823,"[{""engine"": 0, ""wave"": 0, ""step"": 0, ""iteration_seq"": 0, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 0, ""step"": 2, ""iteration_seq"": 0, ""branch"": ""scheduled_without_applying""}]"
5,"[[0, 0], [0, 1]]",latched_previous_step,0,560608.35105884,560608.351771496,"[{""engine"": 0, ""wave"": 0, ""step"": 7, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 0, ""step"": 2, ""iteration_seq"": 0, ""branch"": ""scheduled_without_applying""}]"
6,"[[0, 0], [0, 0]]",current,0,560608.451254127,560608.451708453,"[{""engine"": 0, ""wave"": 0, ""step"": 7, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 0, ""step"": 9, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}]"
7,"[[0, 1], [0, 0]]",current,1,560609.209008092,560609.209318441,"[{""engine"": 0, ""wave"": 1, ""step"": 0, ""iteration_seq"": 10, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 0, ""step"": 9, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}]"
8,"[[0, 0], [0, 0]]",current,1,560609.309325756,560609.309654296,"[{""engine"": 0, ""wave"": 1, ""step"": 7, ""iteration_seq"": 17, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 0, ""step"": 9, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}]"
9,"[[0, 0], [0, 0]]",current,2,560614.312064142,560614.312452033,"[{""engine"": 0, ""wave"": 1, ""step"": 7, ""iteration_seq"": 17, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 0, ""step"": 9, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}]"
10,"[[0, 0], [0, 0]]",current,2,560619.316069621,560619.3164643,"[{""engine"": 0, ""wave"": 1, ""step"": 7, ""iteration_seq"": 17, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 0, ""step"": 9, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}]"
11,"[[0, 0], [0, 0]]",current,2,560624.321278774,560624.321669207,"[{""engine"": 0, ""wave"": 1, ""step"": 7, ""iteration_seq"": 17, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 0, ""step"": 9, ""iteration_seq"": 7, ""branch"": ""applied_after_scheduling""}]"
12,"[[0, 1], [0, 1]]",latched_previous_step,2,560629.204265995,560629.20443025,"[{""engine"": 0, ""wave"": 2, ""step"": 0, ""iteration_seq"": 20, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 2, ""step"": 0, ""iteration_seq"": 10, ""branch"": ""scheduled_without_applying""}]"
13,"[[0, 1], [0, 2]]",latched_previous_step,2,560629.304986993,560629.305360018,"[{""engine"": 0, ""wave"": 2, ""step"": 0, ""iteration_seq"": 20, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 2, ""step"": 1, ""iteration_seq"": 11, ""branch"": ""applied_after_scheduling""}]"
14,"[[0, 3], [0, 2]]",current,2,560629.405267542,560629.405579243,"[{""engine"": 0, ""wave"": 2, ""step"": 2, ""iteration_seq"": 22, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 1, ""iteration_seq"": 11, ""branch"": ""applied_after_scheduling""}]"
15,"[[0, 4], [0, 2]]",current,2,560629.505521267,560629.50580157,"[{""engine"": 0, ""wave"": 2, ""step"": 4, ""iteration_seq"": 24, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 1, ""iteration_seq"": 11, ""branch"": ""applied_after_scheduling""}]"
16,"[[0, 3], [0, 1]]",latched_previous_step,2,560631.603581039,560631.604016863,"[{""engine"": 0, ""wave"": 2, ""step"": 127, ""iteration_seq"": 147, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 127, ""iteration_seq"": 137, ""branch"": ""applied_after_scheduling""}]"
17,"[[0, 2], [0, 0]]",latched_previous_step,2,560631.703560813,560631.703786127,"[{""engine"": 0, ""wave"": 2, ""step"": 129, ""iteration_seq"": 149, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 128, ""iteration_seq"": 138, ""branch"": ""applied_after_scheduling""}]"
18,"[[0, 0], [0, 0]]",current,2,560631.803784113,560631.803979236,"[{""engine"": 0, ""wave"": 2, ""step"": 131, ""iteration_seq"": 151, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 128, ""iteration_seq"": 138, ""branch"": ""applied_after_scheduling""}]"
19,"[[0, 0], [0, 0]]",current,3,560636.80700774,560636.807342555,"[{""engine"": 0, ""wave"": 2, ""step"": 131, ""iteration_seq"": 151, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 128, ""iteration_seq"": 138, ""branch"": ""applied_after_scheduling""}]"
20,"[[0, 0], [0, 0]]",current,3,560641.811164156,560641.811563899,"[{""engine"": 0, ""wave"": 2, ""step"": 131, ""iteration_seq"": 151, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 128, ""iteration_seq"": 138, ""branch"": ""applied_after_scheduling""}]"
21,"[[0, 0], [0, 0]]",current,3,560646.814125902,560646.814455837,"[{""engine"": 0, ""wave"": 2, ""step"": 131, ""iteration_seq"": 151, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 128, ""iteration_seq"": 138, ""branch"": ""applied_after_scheduling""}]"
22,"[[0, 1], [0, 1]]",latched_previous_step,3,560649.281548854,560649.281776738,"[{""engine"": 0, ""wave"": 3, ""step"": 0, ""iteration_seq"": 154, ""branch"": ""scheduled_without_applying""}, {""engine"": 1, ""wave"": 3, ""step"": 0, ""iteration_seq"": 141, ""branch"": ""scheduled_without_applying""}]"
23,"[[0, 3], [0, 2]]",current,3,560649.381363665,560649.381666521,"[{""engine"": 0, ""wave"": 3, ""step"": 2, ""iteration_seq"": 156, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 2, ""iteration_seq"": 143, ""branch"": ""applied_after_scheduling""}]"
24,"[[0, 4], [0, 2]]",current,3,560649.631523464,560649.631767062,"[{""engine"": 0, ""wave"": 3, ""step"": 4, ""iteration_seq"": 158, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 2, ""iteration_seq"": 143, ""branch"": ""applied_after_scheduling""}]"
