request_id,segment,role,arrived_at,dispatch_offset_s,route_monotonic,route_seq,engine,snapshot,counts_used,score,start_index,reservation,admitted_wave,admitted_step,admitted_branch,admitted_monotonic,http_status,ttft_ms,model_execution_time_ms
dpp2-s03,steady,formal,102.496,102.49802448297851,560709.655024982,81,0,52,"[[0, 1], [0, 1]]",1,0,1,6,14,applied_after_scheduling,560709.658937063,200,35.564422607421875,1160.3960120119154
dpp2-s04,steady,formal,102.556,102.55674354499206,560709.713445578,82,1,52,"[[1, 1], [0, 1]]",1,0,1,6,20,applied_after_scheduling,560709.73036396,200,45.21489143371582,1510.521713993512
dpp2-s05,steady,formal,102.616,102.61752136191353,560709.774040315,84,1,53,"[[0, 2], [0, 1]]",1,0,1,6,24,applied_after_scheduling,560709.780802043,200,35.520076751708984,727.7308059856296
dpp2-s06,steady,formal,102.676,102.67625843395945,560709.833276079,86,1,54,"[[0, 3], [0, 2]]",2,0,1,6,30,applied_after_scheduling,560709.851250744,200,47.951698303222656,2231.537364074029
dpp2-s07,steady,formal,102.736,102.737017213949,560709.893455189,87,0,54,"[[0, 3], [1, 2]]",3,0,1,6,34,applied_after_scheduling,560709.904929545,200,30.221939086914062,1141.2258280906826
dpp2-s08,steady,formal,102.796,102.79770114296116,560709.954253859,89,0,55,"[[0, 3], [0, 4]]",3,0,1,6,40,applied_after_scheduling,560709.963480634,200,37.531375885009766,1509.9417329765856
dpp2-s09,steady,formal,102.856,102.85645277099684,560710.012971884,90,1,55,"[[1, 3], [0, 4]]",4,0,1,6,44,applied_after_scheduling,560710.022805247,200,29.24036979675293,774.3658369872719
dpp2-s10,steady,formal,102.916,102.91719337389804,560710.07379471,92,1,56,"[[0, 5], [0, 4]]",4,0,1,6,50,applied_after_scheduling,560710.083939241,200,31.42714500427246,2214.9410829879344
dpp2-s11,steady,formal,102.976,102.97791375592351,560710.134418873,94,0,57,"[[0, 5], [0, 5]]",5,0,1,6,56,applied_after_scheduling,560710.146985541,200,31.657695770263672,1137.9465259378776
dpp2-s12,steady,formal,103.036,103.03664476796985,560710.193068382,95,1,57,"[[1, 5], [0, 5]]",5,0,1,6,62,applied_after_scheduling,560710.208267611,200,35.61878204345703,1512.8755311015993
dpp2-s13,steady,formal,103.096,103.09735047898721,560710.25408213,97,0,58,"[[0, 6], [0, 6]]",6,0,1,6,68,applied_after_scheduling,560710.270432141,200,44.614553451538086,795.8206039620563
dpp2-s14,steady,formal,103.156,103.15618438192178,560710.312292339,98,1,58,"[[1, 6], [0, 6]]",6,0,1,6,72,applied_after_scheduling,560710.322924522,200,32.03248977661133,2206.744982046075
dpp2-s15,steady,formal,103.216,103.21648410893977,560710.373142171,100,1,59,"[[0, 7], [0, 6]]",6,0,1,6,78,applied_after_scheduling,560710.384849515,200,44.29364204406738,1153.7983330199495
dpp2-s16,steady,formal,103.276,103.27716687589418,560710.433787161,102,0,60,"[[0, 7], [0, 7]]",7,0,1,6,82,applied_after_scheduling,560710.444473364,200,31.054258346557617,1504.2003879789263
dpp2-s17,steady,formal,103.336,103.33787618298084,560710.494818158,103,1,60,"[[1, 7], [0, 7]]",7,0,1,6,88,applied_after_scheduling,560710.513492726,200,38.102149963378906,771.6114060021937
dpp2-s18,steady,formal,103.396,103.3964880759595,560710.553201742,105,1,61,"[[0, 8], [0, 7]]",7,0,1,6,92,applied_after_scheduling,560710.55612574,200,25.220155715942383,2183.1063489662483
dpp2-s19,steady,formal,103.456,103.45696309395134,560710.614222338,106,0,61,"[[0, 8], [1, 7]]",8,0,1,6,98,applied_after_scheduling,560710.636206014,200,43.12252998352051,1131.3381360378116
dpp2-s20,steady,formal,103.516,103.51787393598352,560710.674497786,108,0,62,"[[0, 8], [0, 8]]",8,0,1,6,102,applied_after_scheduling,560710.69976442,200,62.83283233642578,1472.149444045499
dpp2-s21,steady,formal,103.576,103.5765711289132,560710.733526337,110,0,63,"[[0, 9], [0, 9]]",9,0,1,6,104,applied_after_scheduling,560710.743855445,200,33.01811218261719,729.6818949980661
dpp2-s22,steady,formal,103.636,103.6374121629633,560710.794143678,111,1,63,"[[1, 9], [0, 9]]",9,0,1,6,108,applied_after_scheduling,560710.803795807,200,25.09307861328125,2101.1825510067865
dpp2-s23,steady,formal,103.696,103.69627644494176,560710.853001187,113,1,64,"[[0, 11], [0, 9]]",9,0,1,6,112,applied_after_scheduling,560710.857100201,200,23.65589141845703,1068.8128860201687
