time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.20600000000000002,0.249,0.22766666666666668,0.23500000000000001,0.013498971154211056,0.091,0.11,0.10055,0.10250000000000001,0.005911641058115759,1.637,2.037,1.8295999999999997,1.8715000000000002,0.13099824426304346,0.133,0.155,0.14355,0.14550000000000002,0.006778458526833363,0.536,0.652,0.5920000000000001,0.6145,0.03675187070068677,0.091,0.11,0.10075,0.10400000000000001,0.005872605895171242,2.883,3.589,3.215,3.298,0.2359989406755886,0.23900000000000002,0.275,0.25529999999999997,0.256,0.011658044432922706,1.369,1.711,1.52295,1.53,0.11207251001026076,0.052000000000000005,0.054,0.052750000000000005,0.053,0.0006224949798994342,32,32,4096,11008,32768,True,4096,1
0.211,0.243,0.22047619047619046,0.221,0.008660908605249264,0.093,0.108,0.09805000000000001,0.0985,0.004153010955921017,1.682,1.979,1.7666999999999997,1.7765,0.08669838522140996,0.136,0.152,0.1405,0.139,0.004577116996538321,0.536,0.632,0.5621500000000001,0.558,0.02837829276048859,0.094,0.108,0.09730000000000001,0.0965,0.0040137264480778955,2.965,3.482,3.10635,3.08,0.151415413680378,0.243,0.271,0.25204999999999994,0.252,0.009008190717341644,1.411,1.667,1.48445,1.493,0.07530170980794527,0.052000000000000005,0.054,0.052550000000000006,0.052000000000000005,0.0006689544080129801,32,32,4096,11008,32768,True,4096,1
0.21,0.224,0.21395238095238092,0.213,0.0032289787634599432,0.093,0.098,0.09475000000000003,0.094,0.0012990381056766592,1.688,1.778,1.7113000000000003,1.7,0.026585898517823343,0.134,0.14200000000000002,0.1373,0.137,0.001791647286716893,0.527,0.554,0.5335500000000001,0.529,0.00924918915365018,0.093,0.097,0.09425,0.094,0.001336974195712095,2.973,3.1310000000000002,3.0197499999999997,2.9935,0.052436509227827194,0.242,0.251,0.24480000000000005,0.244,0.002767670500619612,1.411,1.493,1.435,1.427,0.023964557162609968,0.052000000000000005,0.052000000000000005,0.05200000000000001,0.052000000000000005,6.938893903907228e-18,32,32,4096,11008,32768,True,4064,1
0.20700000000000002,0.222,0.2137619047619048,0.213,0.004150786063303026,0.092,0.098,0.09455,0.094,0.0017457090250096105,1.665,1.795,1.7185499999999998,1.717,0.03799141350357997,0.134,0.14100000000000001,0.13655,0.136,0.0019868316486305547,0.52,0.56,0.5361500000000001,0.535,0.011520742163593466,0.091,0.097,0.09390000000000001,0.094,0.0015459624833740319,2.935,3.162,3.0305500000000003,3.025,0.06520925931184925,0.23900000000000002,0.251,0.244,0.244,0.0034641016151377517,1.3960000000000001,1.51,1.44585,1.443,0.03187989178149763,0.051000000000000004,0.052000000000000005,0.051600000000000014,0.052000000000000005,0.000489897948556636,32,32,4096,11008,32768,True,4032,1
0.20400000000000001,0.221,0.2102857142857143,0.209,0.004322068036119226,0.091,0.098,0.09305000000000001,0.092,0.0020118399538730726,1.675,1.804,1.7110999999999996,1.689,0.041838857536983486,0.133,0.139,0.13495,0.134,0.0018296174463532002,0.522,0.5640000000000001,0.5330499999999999,0.527,0.011646780671069591,0.091,0.097,0.09245,0.092,0.0017457090250096107,2.953,3.178,3.01485,2.973,0.07127290859786771,0.23700000000000002,0.248,0.24040000000000003,0.23900000000000002,0.003541186241925147,1.397,1.512,1.43175,1.414,0.036346767394088875,0.051000000000000004,0.051000000000000004,0.05100000000000001,0.051000000000000004,6.938893903907228e-18,32,32,4096,11008,32768,True,4000,1
0.20600000000000002,0.219,0.20957142857142858,0.209,0.0030948717731946445,0.09,0.097,0.0928,0.093,0.001469693845669908,1.609,1.735,1.6581000000000004,1.661,0.03103369136922,0.131,0.137,0.13304999999999997,0.133,0.0015321553446044577,0.515,0.556,0.5303000000000001,0.531,0.01012472221841173,0.09,0.096,0.09210000000000002,0.092,0.0015132745950421568,2.855,3.077,2.9434499999999995,2.946,0.05722715701482996,0.234,0.245,0.23885,0.23900000000000002,0.003037680035816802,1.3960000000000001,1.51,1.44345,1.442,0.029560911690947538,0.05,0.051000000000000004,0.05030000000000001,0.05,0.0004582575694955844,32,32,4096,11008,32768,True,3968,1
0.202,0.251,0.21114285714285716,0.20500000000000002,0.013611219861660044,0.09,0.111,0.09369999999999999,0.091,0.0060423505360083195,1.609,2.068,1.6963000000000001,1.6275,0.12021942438724284,0.129,0.154,0.134,0.131,0.007049822692805825,0.516,0.663,0.54425,0.5215000000000001,0.04385302156066329,0.089,0.11,0.0932,0.09,0.006153048025166066,2.855,3.666,3.0084,2.886,0.24178097526480444,0.232,0.274,0.23995000000000005,0.234,0.012391428489080666,1.395,1.804,1.46855,1.411,0.12228510743340744,0.05,0.052000000000000005,0.050350000000000006,0.05,0.0006538348415311016,32,32,4096,11008,32768,True,3936,1
0.203,0.222,0.20790476190476198,0.20600000000000002,0.005172314227415047,0.09,0.099,0.092,0.091,0.002489979919597749,1.633,1.819,1.67305,1.65,0.054341029618511984,0.129,0.14,0.13165,0.131,0.0030866648668101335,0.523,0.583,0.53545,0.528,0.017710095990705402,0.089,0.098,0.09130000000000002,0.09,0.0025514701644346175,2.896,3.225,2.969499999999999,2.9320000000000004,0.09318234811379242,0.232,0.249,0.23579999999999995,0.234,0.004342810150121686,1.412,1.583,1.4477,1.427,0.04400579507292193,0.05,0.05,0.05000000000000001,0.05,6.938893903907228e-18,32,32,4096,11008,32768,True,3904,1
0.201,0.20700000000000002,0.20495238095238097,0.20500000000000002,0.0014630753805464029,0.09,0.092,0.091,0.091,0.0005477225575051667,1.637,1.677,1.66235,1.6600000000000001,0.008984848357095388,0.129,0.131,0.13025000000000003,0.13,0.0006224949798994371,0.532,0.541,0.5366000000000001,0.535,0.0024979991993593614,0.09,0.091,0.0905,0.0905,0.0005000000000000004,2.8850000000000002,2.976,2.9476000000000004,2.944,0.017453939383417095,0.229,0.234,0.23274999999999996,0.233,0.0009937303457175906,1.41,1.458,1.4425500000000002,1.443,0.008845761696993663,0.049,0.05,0.04910000000000001,0.049,0.0003000000000000003,32,32,4096,11008,32768,True,3872,1
0.197,0.216,0.2059047619047619,0.20700000000000002,0.005299638459409608,0.088,0.096,0.0913,0.0915,0.002410394158638792,1.562,1.729,1.6294499999999998,1.6115,0.04919092904184676,0.127,0.138,0.13119999999999998,0.1305,0.0027495454169735064,0.47600000000000003,0.524,0.4932500000000001,0.488,0.013772708520839323,0.088,0.095,0.0909,0.0905,0.0023643180835073805,2.762,3.0620000000000003,2.8820000000000006,2.847,0.08566738002297031,0.227,0.242,0.23305000000000003,0.2315,0.004421255477802655,1.2650000000000001,1.401,1.3183500000000001,1.2999999999999998,0.040831697246134654,0.05,0.051000000000000004,0.05010000000000001,0.05,0.0003000000000000003,32,32,4096,11008,32768,True,3840,1
