op_name,frontier_ms,vllm_ms,gap_ms,absolute_gap_ms,relative_gap,scope_count,timing_mode,status
add,0.0,1.8990080058574677,,,,95,cuda_event,NESTED_OR_ALIAS_EXCLUDED
add_attn_residual,0.0,,,,,0,cuda_event,NESTED_OR_ALIAS_EXCLUDED
add_ffn_residual,0.0,,,,,0,cuda_event,NESTED_OR_ALIAS_EXCLUDED
attn_kv_cache_save,0.807168000000001,0.7213119966909289,0.08585600330907206,0.08585600330907206,0.11902755493176698,48,cuda_event,DIAGNOSTIC_ONLY
attn_post_proj_with_tp_allreduce,20.14507199999999,17.231616005301476,2.913455994698513,2.913455994698513,0.16907619075321545,48,cuda_event,DIAGNOSTIC_ONLY
attn_pre_proj,6.584063999999999,3.9272959902882576,2.656768009711741,2.656768009711741,0.6764878471807617,48,cuda_event,DIAGNOSTIC_ONLY
attn_prefill,7.026432000000004,6.047232016921043,0.9791999830789608,0.9791999830789608,0.16192532059941067,48,cuda_event,DIAGNOSTIC_ONLY
attn_rope,1.5521279999999988,1.0290239974856377,0.5231040025143612,0.5231040025143612,0.5083496631687273,48,cuda_event,DIAGNOSTIC_ONLY
embedding_tensor_parallel_allreduce,,0.22233599424362183,,,,1,cuda_event,MISSING_SIDE
expert_parallel_allreduce,,37.56316776573658,,,,48,cuda_event,MISSING_SIDE
expert_parallel_alltoall_combine,2.125344,4.196768015623093,-2.0714240156230925,2.0714240156230925,0.49357601085213876,48,cuda_event,DIAGNOSTIC_ONLY
expert_parallel_alltoall_dispatch,2.125344,6.981152035295963,-4.855808035295963,4.855808035295963,0.6955597028607189,48,cuda_event,DIAGNOSTIC_ONLY
input_layernorm,1.0851839999999993,1.2667200025171041,-0.1815360025171049,0.1815360025171049,0.14331186225556872,48,cuda_event,DIAGNOSTIC_ONLY
moe_gating,4.4392799999999975,,,,,0,cuda_event,NESTED_OR_ALIAS_EXCLUDED
moe_gating_linear,0.6614400000000005,0.7235839972272515,-0.06214399722725106,0.06214399722725106,0.08588359812459186,48,cuda_event,DIAGNOSTIC_ONLY
moe_gating_routing_topk,4.4392799999999975,6.306879982352257,-1.8675999823522593,1.8675999823522593,0.2961210594744355,48,cuda_event,DIAGNOSTIC_ONLY
moe_grouped_gemm,15.635904000000018,18.18016004562378,-2.5442560456237615,2.5442560456237615,0.13994684531042947,48,cuda_event,DIAGNOSTIC_ONLY
moe_shuffling,2.5413599999999983,1.8896320015192032,0.6517279984807951,0.6517279984807951,0.3448967830544925,48,cuda_event,DIAGNOSTIC_ONLY
moe_tp_allreduce,0.0,,,,,0,cuda_event,NESTED_OR_ALIAS_EXCLUDED
post_attention_layernorm,1.0613760000000003,1.2444159965962172,-0.18303999659621684,0.18303999659621684,0.14708907398882376,48,cuda_event,DIAGNOSTIC_ONLY
share_expert_tp_allreduce,0.0,,,,,0,cuda_event,NESTED_OR_ALIAS_EXCLUDED
