check,model,burst,round,metric,groundtruth,frontier_after,frontier_base,status,frontier_owner,note
V2,moe,16,2,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}",null,MATCH,,
V3,moe,16,2,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]",null,MATCH,,
V4,moe,16,2,M4 stage-0 co-start,0.022678808030265958,0.0,null,MATCH,,
V5,moe,16,mean,M5 stage-0 co-execution,0.947701161508853,1.0,null,MATCH,,
V1,dense,8,0,M1 completion,"""8/8""","""success""","""success""",MATCH,,
V2,dense,8,0,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}",MATCH,,
V3,dense,8,0,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [3]], [[2], [5]], [[4], [7]], [[6], null]]",MATCH,,
V4,dense,8,0,M4 stage-0 co-start,0.008418151150125628,0.0,1.0,MATCH,,
V1,dense,8,1,M1 completion,"""8/8""","""success""","""success""",MATCH,,
V2,dense,8,1,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}",MATCH,,
V3,dense,8,1,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [3]], [[2], [5]], [[4], [7]], [[6], null]]",MATCH,,
V4,dense,8,1,M4 stage-0 co-start,0.04251974485265244,0.0,1.0,MATCH,,
V1,dense,8,2,M1 completion,"""8/8""","""success""","""success""",MATCH,,
V2,dense,8,2,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}",MATCH,,
V3,dense,8,2,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [3]], [[2], [5]], [[4], [7]], [[6], null]]",MATCH,,
V4,dense,8,2,M4 stage-0 co-start,0.24755095323041817,0.0,1.0,MATCH,,
V5,dense,8,mean,M5 stage-0 co-execution,0.7055180242540143,1.0,0.6,INFORMATIONAL,,
V1,dense,16,0,M1 completion,"""16/16""","""success""","""success""",MATCH,,
V2,dense,16,0,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}",MATCH,,
V3,dense,16,0,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [3]], [[2], [5]], [[4], [7]], [[6], [9]], [[8], [11]], [[10], [13]], [[12], [15]], [[14], null]]",MATCH,,
V4,dense,16,0,M4 stage-0 co-start,0.17091455981041143,0.0,1.0000000000000002,MATCH,,
V1,dense,16,1,M1 completion,"""16/16""","""success""","""success""",MATCH,,
V2,dense,16,1,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}",MATCH,,
V3,dense,16,1,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [3]], [[2], [5]], [[4], [7]], [[6], [9]], [[8], [11]], [[10], [13]], [[12], [15]], [[14], null]]",MATCH,,
V4,dense,16,1,M4 stage-0 co-start,0.09309313158893653,0.0,1.0000000000000002,MATCH,,
V1,dense,16,2,M1 completion,"""16/16""","""success""","""success""",MATCH,,
V2,dense,16,2,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}","{""lane0/stage0"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane0/stage1"": [[0], [2], [4], [6], [8], [10], [12], [14]], ""lane1/stage0"": [[1], [3], [5], [7], [9], [11], [13], [15]], ""lane1/stage1"": [[1], [3], [5], [7], [9], [11], [13], [15]]}",MATCH,,
V3,dense,16,2,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]], [[8], [9]], [[10], [11]], [[12], [13]], [[14], [15]]]","[[[0], [3]], [[2], [5]], [[4], [7]], [[6], [9]], [[8], [11]], [[10], [13]], [[12], [15]], [[14], null]]",MATCH,,
V4,dense,16,2,M4 stage-0 co-start,0.04588904145721386,0.0,1.0000000000000002,MATCH,,
V5,dense,16,mean,M5 stage-0 co-execution,0.8653912262138098,1.0,0.7777777777777778,INFORMATIONAL,,
