Unnamed: 0,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
3399,0.0601270000000004,0.0677129999999999,0.0628053333333334,0.060576,0.0034750821892757,0,2,2097152,all_reduce,2,8
3400,0.0570240000000001,0.072192,0.0661333333333333,0.0691839999999997,0.0065572850750561,0,2,2129920,all_reduce,2,8
3401,0.0566400000000001,0.0615989999999999,0.059573,0.06048,0.0021236614607794,0,2,2162688,all_reduce,2,8
3402,0.057631,0.069632,0.0651943333333334,0.0683200000000001,0.0053748391810567,0,2,2195456,all_reduce,2,8
3403,0.0566709999999998,0.0677750000000001,0.060458,0.0569280000000001,0.0051749640256399,0,2,2228224,all_reduce,2,8
3404,0.057151,0.0702719999999999,0.0617273333333333,0.057759,0.0060470881330511,0,2,2260992,all_reduce,2,8
3405,0.057152,0.070016,0.0616636666666666,0.0578229999999998,0.0059123410103124,0,2,2293760,all_reduce,2,8
3406,0.0602240000000001,0.0648319999999998,0.0625596666666667,0.062623,0.0018817410968449,0,2,2326528,all_reduce,2,8
3407,0.0594239999999999,0.0694729999999999,0.0643416666666666,0.0641279999999999,0.0041052681872063,0,2,2359296,all_reduce,2,8
3408,0.0580799999999999,0.0625600000000001,0.0596586666666667,0.0583360000000002,0.0020542127986706,0,2,2392064,all_reduce,2,8
3409,0.0581760000000001,0.0700149999999998,0.0633486666666666,0.061855,0.0049473063602551,0,2,2424832,all_reduce,2,8
3410,0.0583029999999998,0.058719,0.0585163333333333,0.058527,0.0001699986928055,0,2,2457600,all_reduce,2,8
3411,0.0597759999999998,0.0727979999999997,0.0672419999999998,0.069152,0.0054850825578715,0,2,2490368,all_reduce,2,8
3412,0.0575999999999999,0.062304,0.0591783333333332,0.0576309999999998,0.0022102163292815,0,2,2523136,all_reduce,2,8
3413,0.058816,0.0717759999999998,0.0646289999999999,0.063295,0.0053743258181839,0,2,2555904,all_reduce,2,8
3414,0.0591680000000001,0.063519,0.0608633333333333,0.059903,0.00190166248904,0,2,2588672,all_reduce,2,8
3415,0.0593919999999998,0.0706550000000002,0.0635196666666667,0.0605120000000001,0.0050661185887774,0,2,2621440,all_reduce,2,8
3416,0.059295,0.0595190000000002,0.0594126666666666,0.0594239999999997,9.179808761024064e-05,0,2,2654208,all_reduce,2,8
3417,0.0606400000000003,0.0743679999999999,0.0688956666666667,0.071679,0.005939960961338,0,2,2686976,all_reduce,2,8
3418,0.0604160000000001,0.0963839999999997,0.076032,0.071296,0.0150609102867875,0,2,2719744,all_reduce,2,8
3419,0.0602550000000001,0.0730879999999997,0.0661436666666666,0.0650880000000001,0.0052919622279661,0,2,2752512,all_reduce,2,8
3420,0.065056,0.0725429999999996,0.0676263333333332,0.0652799999999999,0.0034778108376133,0,2,2785280,all_reduce,2,8
3421,0.064383,0.0647029999999999,0.0645753333333333,0.0646400000000001,0.0001384108216706,0,2,2818048,all_reduce,2,8
3422,0.060671,0.0733439999999998,0.0662713333333333,0.0647989999999999,0.0052774398043831,0,2,2850816,all_reduce,2,8
3423,0.0625920000000001,0.073055,0.067295,0.0662379999999998,0.0043363985825413,0,2,2883584,all_reduce,2,8
3424,0.062016,0.066625,0.0636693333333333,0.0623669999999999,0.0020948785698035,0,2,2916352,all_reduce,2,8
3425,0.062623,0.074048,0.0679143333333333,0.0670719999999999,0.0047021130238318,0,2,2949120,all_reduce,2,8
3426,0.061728,0.068576,0.0656106666666666,0.0665279999999998,0.0028699478895772,0,2,2981888,all_reduce,2,8
3427,0.0674559999999999,0.0684159999999999,0.0677866666666666,0.067488,0.0004451975841004,0,2,3014656,all_reduce,2,8
3428,0.062239,0.068096,0.064373,0.0627840000000001,0.0026419441074077,0,2,3047424,all_reduce,2,8
3429,0.0629750000000001,0.063584,0.0633276666666667,0.0634239999999999,0.0002577858715203,0,2,3080192,all_reduce,2,8
3430,0.0629439999999999,0.0675520000000001,0.0645973333333333,0.063296,0.0020942010940266,0,2,3112960,all_reduce,2,8
3431,0.0629109999999998,0.07424,0.0668476666666667,0.0633920000000002,0.0052308561653157,0,2,3145728,all_reduce,2,8
3432,0.0638399999999996,0.0793269999999997,0.0729493333333331,0.075681,0.0066110157733556,0,2,3178496,all_reduce,2,8
3433,0.0629430000000002,0.0648630000000002,0.0640526666666667,0.0643519999999998,0.0008119114620586,0,2,3211264,all_reduce,2,8
3434,0.0652149999999999,0.0770239999999998,0.0704743333333332,0.0691839999999999,0.0049065833552709,0,2,3244032,all_reduce,2,8
3435,0.0645119999999999,0.0781439999999997,0.0694186666666665,0.0655999999999999,0.0061857102709029,0,2,3276800,all_reduce,2,8
3436,0.0645119999999999,0.0681269999999999,0.0669009999999999,0.068064,0.0016894738826037,0,2,3309568,all_reduce,2,8
3437,0.0647669999999998,0.0700789999999999,0.0682553333333333,0.0699200000000003,0.0024674781097758,0,2,3342336,all_reduce,2,8
3438,0.0645750000000002,0.0694069999999999,0.0677006666666667,0.0691200000000001,0.0022132835837781,0,2,3375104,all_reduce,2,8
3439,0.0645440000000001,0.0756469999999999,0.0696526666666667,0.068767,0.0045758391822945,0,2,3407872,all_reduce,2,8
3440,0.0714559999999999,0.080576,0.0754453333333333,0.074304,0.0038096877679002,0,2,3440640,all_reduce,2,8
3441,0.0703039999999998,0.0833919999999998,0.0775889999999999,0.0790710000000001,0.0054449474438847,0,2,3473408,all_reduce,2,8
3442,0.0694720000000002,0.0705589999999999,0.0700686666666667,0.0701749999999999,0.0004500906081617,0,2,3506176,all_reduce,2,8
3443,0.0728959999999999,0.07872,0.0751676666666666,0.0738869999999999,0.0025442516035609,0,2,3538944,all_reduce,2,8
3444,0.0671040000000002,0.068,0.0674663333333334,0.067295,0.0003853313148735,0,2,3571712,all_reduce,2,8
3445,0.067007,0.0727359999999998,0.0690126666666666,0.0672949999999998,0.002635418288537,0,2,3604480,all_reduce,2,8
3446,0.070432,0.077152,0.0728213333333333,0.0708800000000001,0.0030677006952366,0,2,3637248,all_reduce,2,8
3447,0.0673610000000001,0.0798709999999998,0.0733119999999999,0.0727039999999999,0.0051252494573434,0,2,3670016,all_reduce,2,8
3448,0.0717439999999999,0.0840319999999999,0.0761063333333332,0.0725429999999999,0.0056137773577353,0,2,3702784,all_reduce,2,8
