time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,model_architecture_profile,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_decode_tokens,decode_avg_kv_cache_size,batch_composition_ratio,is_true_mixed_batch
0.0097599998116493,0.0124479997903108,0.0104960000142455,0.0100480001419782,0.0009898297798823,5,0.0199679993093013,0.0230400003492832,0.0211775999516248,0.0208640005439519,0.0010450635605947,5,0.0065600001253187,0.0073279999196529,0.0069120000116527,0.0068160002119839,0.0003015479303171,5,0.0376319997012615,0.046144001185894,0.0401280000805854,0.0379519984126091,0.0032873212806312,5,0.0081919999793171,0.0097599998116493,0.0089664001017808,0.0089600002393126,0.0004996100173068,5,4096,32,32,16,1,128,1,0,1,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0099839996546506,0.012415999546647,0.0105791997164487,0.010143999941647,0.0009220442564381,5,0.0195519998669624,0.0222079996019601,0.0206207998096942,0.0205119997262954,0.0008706351661511,5,0.0065919999033212,0.007584000006318,0.0068416000343859,0.0066559999249875,0.0003750421809383,5,0.0357119999825954,0.0411840006709098,0.0380416005849838,0.0369280017912387,0.002069032220003,5,0.0087360003963112,0.0147839998826384,0.0101120000705122,0.0090239997953176,0.0023447942922075,5,4096,32,32,16,1,128,1,0,32,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0098879998549819,0.0120320003479719,0.0104576000943779,0.0101119996979832,0.0007940645237259,5,0.0198720004409551,0.0220800004899501,0.0206912003457546,0.0206080004572868,0.0007654892212554,5,0.0065919999033212,0.007584000006318,0.0069183999672532,0.0067839999683201,0.00036395690945,5,0.0367040000855922,0.0416320003569126,0.0382527999579906,0.0375039987266063,0.0018300644355522,5,0.008895999751985,0.0094400001689791,0.0090495999902486,0.0089279999956488,0.0002027902417497,5,4096,32,32,16,1,128,1,0,64,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0102399997413158,0.0122560001909732,0.0107711998745799,0.0103679997846484,0.000755254419204,5,0.0195199996232986,0.021663999184966,0.0205183997750282,0.0205119997262954,0.0006885280276095,5,0.0061119999736547,0.0071040000766515,0.006656000111252,0.0066880001686513,0.0003187174721508,5,0.0364799983799457,0.0431360006332397,0.038553600013256,0.037856001406908,0.0024326236186079,5,0.0085760001093149,0.0099520003423094,0.0089664001017808,0.0087040001526474,0.0005193079241385,5,4096,32,32,16,1,128,1,0,8,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0099200000986456,0.0121280001476407,0.0104768000543117,0.0101760001853108,0.0008319015921522,5,0.0197119992226362,0.0219839997589588,0.0205567996948957,0.0203200001269578,0.0007614656402755,5,0.0065919999033212,0.0071999998763203,0.0067967999726533,0.0066880001686513,0.0002185391146975,5,0.0358080007135868,0.0389119982719421,0.0376320004463195,0.0373760014772415,0.0011560812837626,5,0.0084159998223185,0.0093759996816515,0.0089279999956488,0.0089600002393126,0.000331937249357,5,4096,32,32,16,1,128,1,0,96,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0099520003423094,0.011455999687314,0.0104384001344442,0.0102719999849796,0.0005236277258685,5,0.0199679993093013,0.0227520000189542,0.0210303999483585,0.0206080004572868,0.0010711926200298,5,0.045728001743555,0.0503679998219013,0.0478208005428314,0.0471360012888908,0.0016252213545943,5,0.0068799997679889,0.0078400000929832,0.0072127999737858,0.0070719998329877,0.0003426243207614,5,0.0086399996653199,0.0096640000119805,0.0090751998126506,0.0091199995949864,0.0003461921251302,5,4096,32,32,16,1,128,1,32,0,True,FLASHINFER,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0103040002286434,0.0139520000666379,0.0115647999569773,0.0108479997143149,0.0013134197331806,5,0.0210880003869533,0.0263359993696212,0.0226752001792192,0.0218560006469488,0.0018857310898295,5,0.047359999269247,0.0600319989025592,0.0526719994843006,0.0514240004122257,0.0041902649524647,5,0.0066559999249875,0.0092160003259778,0.0077952001243829,0.0076480000279843,0.0008506465605519,5,0.0089919995516538,0.0097599998116493,0.0093248000368475,0.0092160003259778,0.0002658890602672,5,4096,32,32,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0099200000986456,0.0111680002883076,0.0103935999795794,0.0103679997846484,0.000425202947915,5,0.0198400001972913,0.0223680008202791,0.0207808002829551,0.0205439999699592,0.0009020597792695,5,0.0469439998269081,0.0500480011105537,0.0480959996581077,0.0479039996862411,0.0010941948163308,5,0.0064960001036524,0.007135999854654,0.0067648000083863,0.0066880001686513,0.0002166566985455,5,0.0085119996219873,0.0096640000119805,0.0089408000931143,0.0088640004396438,0.0003922318219826,5,4096,32,32,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0099200000986456,0.0120000001043081,0.0105472000315785,0.0103040002286434,0.0007547117322223,5,0.0200640000402927,0.0237440001219511,0.0216960001736879,0.0210880003869533,0.0012906754825932,5,0.0472959987819194,0.0556159988045692,0.0514815993607044,0.0503039993345737,0.0030973888660869,5,0.006624000146985,0.0084800003096461,0.0071872001513838,0.0069760000333189,0.0006622068026558,5,0.0088640004396438,0.0098879998549819,0.0091839998960495,0.0090239997953176,0.0003637317039886,5,4096,32,32,16,1,128,1,64,64,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,64,128,128,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
0.0103679997846484,0.0119679998606443,0.0109055997803807,0.0104639995843172,0.0006493399159164,5,0.0201600007712841,0.0222079996019601,0.0209791999310255,0.0209279991686344,0.0006853078814634,5,0.0451840013265609,0.0504320003092289,0.046918399631977,0.0467519983649253,0.0018849494599361,5,0.0066559999249875,0.007584000006318,0.0071871999651193,0.0071999998763203,0.0003005957116121,5,0.00883200019598,0.0097920000553131,0.0091264000162482,0.008895999751985,0.0003588569200184,5,4096,32,32,16,1,128,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,FP16,generic,none,CUDA_EVENT,generic,,,,,,,,,,,
