time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,is_true_mixed_batch,model_architecture_profile
0.010304000228643417,0.013952000066637993,0.011564799956977368,0.010847999714314938,0.0013134197331806973,5,0.021088000386953354,0.026335999369621277,0.022675200179219247,0.021856000646948814,0.0018857310898295226,5,0.047359999269247055,0.06003199890255928,0.05267199948430061,0.05142400041222572,0.004190264952464742,5,0.0066559999249875546,0.009216000325977802,0.007795200124382973,0.007648000027984381,0.0008506465605519097,5,0.008991999551653862,0.009759999811649323,0.009324800036847592,0.009216000325977802,0.00026588906026723353,5,4096,32,32,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,FP16,generic,none,CUDA_EVENT,False,generic
0.009920000098645687,0.012000000104308128,0.010547200031578541,0.010304000228643417,0.0007547117322223028,5,0.02006400004029274,0.023744000121951103,0.021696000173687936,0.021088000386953354,0.0012906754825932044,5,0.04729599878191948,0.055615998804569244,0.05148159936070442,0.050303999334573746,0.0030973888660869972,5,0.006624000146985054,0.00848000030964613,0.007187200151383877,0.006976000033318996,0.0006622068026558843,5,0.00886400043964386,0.0098879998549819,0.0091839998960495,0.00902399979531765,0.0003637317039886756,5,4096,32,32,16,1,128,1,64,64,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,64,128,128,FP16,generic,none,CUDA_EVENT,False,generic
0.009952000342309475,0.011455999687314034,0.010438400134444237,0.01027199998497963,0.0005236277258685114,5,0.019967999309301376,0.022752000018954277,0.021030399948358536,0.020608000457286835,0.0010711926200298312,5,0.04572800174355507,0.05036799982190132,0.04782080054283142,0.04713600128889084,0.0016252213545943502,5,0.00687999976798892,0.007840000092983246,0.007212799973785877,0.007071999832987785,0.00034262432076146094,5,0.00863999966531992,0.009664000011980534,0.00907519981265068,0.009119999594986439,0.0003461921251302474,5,4096,32,32,16,1,128,1,32,0,True,FLASHINFER,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,FP16,generic,none,CUDA_EVENT,False,generic
0.009920000098645687,0.011168000288307667,0.010393599979579449,0.010367999784648418,0.00042520294791503294,5,0.019840000197291374,0.02236800082027912,0.02078080028295517,0.02054399996995926,0.0009020597792695139,5,0.04694399982690811,0.05004800111055374,0.048095999658107756,0.04790399968624115,0.0010941948163308995,5,0.006496000103652477,0.007135999854654074,0.006764800008386374,0.006688000168651342,0.00021665669854554714,5,0.008511999621987343,0.009664000011980534,0.008940800093114376,0.00886400043964386,0.00039223182198264514,5,4096,32,32,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,FP16,generic,none,CUDA_EVENT,False,generic
0.010367999784648418,0.01196799986064434,0.010905599780380726,0.010463999584317207,0.0006493399159164995,5,0.020160000771284103,0.022207999601960182,0.020979199931025504,0.020927999168634415,0.0006853078814634523,5,0.045184001326560974,0.0504320003092289,0.04691839963197708,0.046751998364925385,0.0018849494599361438,5,0.0066559999249875546,0.007584000006318092,0.007187199965119362,0.007199999876320362,0.00030059571161214136,5,0.008832000195980072,0.00979200005531311,0.009126400016248227,0.008895999751985073,0.00035885692001849266,5,4096,32,32,16,1,128,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,FP16,generic,none,CUDA_EVENT,False,generic
0.009759999811649323,0.01244799979031086,0.01049600001424551,0.010048000141978264,0.0009898297798823696,5,0.019967999309301376,0.02304000034928322,0.02117759995162487,0.020864000543951988,0.0010450635605947375,5,0.006560000125318766,0.007327999919652939,0.006912000011652708,0.006816000211983919,0.0003015479303171917,5,0.03763199970126152,0.04614400118589401,0.04012800008058548,0.0379519984126091,0.0032873212806312953,5,0.008191999979317188,0.009759999811649323,0.008966400101780892,0.008960000239312649,0.0004996100173068568,5,4096,32,32,16,1,128,1,0,1,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,False,generic
0.0098879998549819,0.012415999546647072,0.010572799853980542,0.010048000141978264,0.0009442113447756778,5,0.0197759997099638,0.02236800082027912,0.02067199982702732,0.020255999639630318,0.0009007876651069885,5,0.006688000168651342,0.011264000087976456,0.0077760000713169575,0.00684799998998642,0.0017564473343765312,5,0.03734400123357773,0.04585599899291992,0.039609599858522415,0.03779200091958046,0.003225650327895366,5,0.008832000195980072,0.00979200005531311,0.009062400087714195,0.00886400043964386,0.00036954106369239796,5,4096,32,32,16,1,128,2,0,1,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,False,generic
0.0098879998549819,0.011839999817311764,0.01045759990811348,0.01017600018531084,0.000706729191567087,5,0.01974399946630001,0.021824000403285027,0.020428799837827683,0.019999999552965164,0.000748991787128214,5,0.006432000081986189,0.007296000141650438,0.00683520007878542,0.006752000190317631,0.00031064728924590256,5,0.03542400151491165,0.04118400067090988,0.03743360042572021,0.035711999982595444,0.002400588103115846,5,0.008415999822318554,0.009247999638319016,0.008748799934983254,0.008704000152647495,0.00028664564574605415,5,4096,32,32,16,1,128,4,0,1,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,False,generic
0.009759999811649323,0.011455999687314034,0.010342399775981902,0.010143999941647053,0.0006066173055278935,5,0.01974399946630001,0.022911999374628067,0.020639999955892562,0.020255999639630318,0.0011567897709580462,5,0.006527999881654978,0.007071999832987785,0.0067135999910533425,0.006624000146985054,0.00020777833632007743,5,0.03670400008559227,0.04307200014591217,0.038335999846458434,0.03728000074625015,0.0023814537866172275,5,0.008832000195980072,0.012736000120639801,0.009772800095379352,0.008991999551653862,0.001497463250619003,5,4096,32,32,16,1,128,8,0,1,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,False,generic
0.010239999741315842,0.012256000190973282,0.010771199874579907,0.010367999784648418,0.0007552544192040602,5,0.019519999623298645,0.021663999184966087,0.02051839977502823,0.02051199972629547,0.0006885280276095826,5,0.006111999973654747,0.007104000076651573,0.00665600011125207,0.006688000168651342,0.00031871747215083876,5,0.036479998379945755,0.043136000633239746,0.03855360001325607,0.037856001406908035,0.002432623618607994,5,0.008576000109314919,0.009952000342309475,0.008966400101780892,0.008704000152647495,0.0005193079241385793,5,4096,32,32,16,1,128,1,0,8,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,FP16,generic,none,CUDA_EVENT,False,generic
