time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_up_proj.count,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_act.count,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mlp_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.001952,0.00304,0.0028144285714285,0.002816,0.0002056141952271,21.0,0.0028799999999999,0.003072,0.0029376,0.002943,4.123154132457338e-05,20.0,0.037409,0.038975,0.0380237,0.0378395,0.0004242663196625,20,0.00496,0.005567,0.0051807,0.0051525,0.0001454665253589,20,0.0150079999999999,0.016032,0.0154335499999999,0.0153275,0.0003124948759579,20,0.0033929999999999,0.00384,0.0035697,0.00352,0.0001100709316758,20.0,0.068,0.071264,0.06953725,0.069375,0.0007932346358423,20,0.005632,0.006336,0.0060912,0.0060805,0.0001487856175844,20,0.039583,0.041504,0.0402382,0.0400475,0.0004683216416096,20,32,32,4096,11008,32000,True,False,False,128,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.001824,0.0028799999999999,0.0026209047619047,0.002656,0.0001953197390268,21.0,0.002816,0.0028799999999999,0.0028575999999999,0.002848,2.285257097133705e-05,20.0,0.036767,0.038177,0.0372574,0.03712,0.0003919490272981,20,0.0048,0.005152,0.00497755,0.0049759999999999,8.057386362835037e-05,20,0.014656,0.015168,0.0149247999999999,0.014912,0.0001263002771176,20,0.003104,0.003488,0.00324805,0.003216,0.000106305914699,20.0,0.06512,0.0688,0.0671548,0.0669279999999999,0.0009780056032559,20,0.005824,0.0064,0.00606715,0.006064,0.0001676130290281,20,0.037471,0.038816,0.0380861,0.0379995,0.0004125762838554,20,32,32,4096,11008,32000,True,False,False,64,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.001824,0.002624,0.0024396666666666,0.002464,0.0001687035532787,21.0,0.002783,0.003072,0.0028542999999999,0.002848,6.123160948399124e-05,20.0,0.038912,0.04,0.0393868,0.0392795,0.0003685243004199,20,0.004639,0.005025,0.0047885999999999,0.0047675,0.0001288780043296,20,0.014336,0.015264,0.0145534,0.01448,0.0002480482614331,20,0.003008,0.003264,0.00309125,0.003072,7.12228018263814e-05,20.0,0.063263,0.065471,0.0641690499999999,0.0642075,0.0005257332474744,20,0.0056,0.006368,0.0058542999999999,0.00584,0.000169537046099,20,0.036384,0.037568,0.0367502,0.036592,0.000346733557649,20,32,32,4096,11008,32000,True,False,False,32,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.008192,0.0124149999999999,0.0119373809523809,0.012096,0.0008488557831513,21.0,0.002816,0.002944,0.00286075,0.002848,2.935110730449535e-05,20.0,0.035488,0.036576,0.03604955,0.036048,0.0003380735829667,20,0.004801,0.005664,0.00505925,0.0049759999999999,0.0002190650302992,20,0.015935,0.016351,0.01614415,0.0161445,9.690628204610867e-05,20,0.002976,0.003232,0.00304795,0.003008,6.470276269217567e-05,20.0,0.063552,0.065248,0.0643646,0.0644795,0.000512291948014,20,0.005568,0.00608,0.0057694999999999,0.0057439999999999,0.0001227528003753,20,0.035551,0.036832,0.0359086499999999,0.035808,0.000373983325163,20,32,32,4096,11008,32000,True,False,False,16,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.0050869999999999,0.0076159999999999,0.0071755238095238,0.007296,0.0005113849187719,21.0,0.0027519999999999,0.003072,0.00288475,0.0029275,0.0001076879171495,20.0,0.035072,0.036736,0.0356941,0.0355835,0.000428164325931,20,0.0048,0.005312,0.0050513,0.005056,0.0001490788717424,20,0.013344,0.014271,0.0135711,0.013536,0.0002168065727785,20,0.002944,0.003328,0.0031232,0.003136,0.0001297480635693,20.0,0.063711,0.066623,0.06529395,0.065248,0.0007679881818752,20,0.005248,0.005792,0.00545745,0.005456,0.0001404323591626,20,0.034848,0.036448,0.03548605,0.0353115,0.0004268954760828,20,32,32,4096,11008,32000,True,False,False,8,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.003552,0.004992,0.0046095714285714,0.00464,0.0002678180923915,21.0,0.0028799999999999,0.003103,0.0029630999999999,0.0029595,5.472924264047519e-05,20.0,0.034815,0.036064,0.03527955,0.035152,0.000412192488408,20,0.00464,0.005152,0.0048847499999999,0.00488,0.0001478103091803,20,0.015808,0.016896,0.01612315,0.016048,0.0002852069906226,20,0.002944,0.003104,0.00298885,0.002976,4.99732678539237e-05,20.0,0.064096,0.0664,0.06528605,0.0654715,0.0006586475138494,20,0.005248,0.0056,0.00544315,0.0054555,0.0001015712926963,20,0.034431,0.035744,0.0348748,0.0347995,0.0003718566390425,20,32,32,4096,11008,32000,True,False,False,4,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.002848,0.004032,0.0035153809523809,0.00352,0.0002152651689673,21.0,0.002912,0.00304,0.00297755,0.002976,3.2754350856031394e-05,20.0,0.034879,0.0363519999999999,0.03545435,0.035424,0.0004023579594092,20,0.004992,0.005472,0.00517445,0.0051835,0.0001360887486164,20,0.015808,0.016769,0.0160225,0.0159839999999999,0.0002475856417484,20,0.002944,0.003296,0.0030350999999999,0.0030075,9.228699800080184e-05,20.0,0.06256,0.066144,0.0641916999999999,0.064384,0.0010041228062343,20,0.005184,0.0056,0.0054384,0.00544,9.520052520863516e-05,20,0.034112,0.035232,0.0345456,0.0344,0.0003799081994377,20,32,32,4096,11008,32000,True,False,False,2,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
0.002496,0.003104,0.0028084285714285,0.002784,0.000103046254722,21.0,0.002944,0.003104,0.00299685,0.002976,4.087698007436465e-05,20.0,0.034784,0.036224,0.03524445,0.03512,0.0003942209374196,20,0.00464,0.005408,0.0049554,0.004944,0.0002082571487368,20,0.015616,0.0165769999999999,0.01593285,0.015904,0.0001898376345722,20,0.002944,0.00336,0.0030272,0.003008,0.0001110074772256,20.0,0.063872,0.065888,0.06495305,0.065119,0.0005920056144159,20,0.005344,0.005728,0.00548785,0.005456,0.0001146897009325,20,0.03408,0.035295,0.0345341999999999,0.034384,0.0003622511007574,20,32,32,4096,11008,32000,True,False,False,1,1,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.020864,0.02192,0.02124155,0.0211044999999999,0.0003178028437569,20,0.003552,0.003904,0.0036943999999999,0.00368,8.555197250794391e-05,20,0.009023,0.009471,0.0092542999999999,0.009216,0.000116091386416,20,,,,,,,0.035904,0.038048,0.03680135,0.036768,0.0005217095240648,20,0.003712,0.003936,0.0038190999999999,0.0038079999999999,5.572871791096573e-05,20,0.019199,0.020351,0.01944465,0.0193279999999999,0.0003010905636183,20,32,32,4096,11008,32000,True,False,False,128,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
,,,,,,,,,,,,0.020128,0.020895,0.0204831,0.020464,0.0001976023532248,20,0.003584,0.003872,0.00368155,0.0036645,6.97262325097233e-05,20,0.008608,0.0093759999999999,0.0088079,0.0087205,0.0002148159444734,20,,,,,,,0.033312,0.03456,0.0338623,0.033728,0.0004360940380239,20,0.003616,0.003968,0.0037135,0.00368,7.869593382125911e-05,20,0.0187519999999999,0.019967,0.0191759,0.019088,0.0003332195822577,20,32,32,4096,11008,32000,True,False,False,64,2,4096,11008,generic,False,,,KERNEL_ONLY,FP16,none,generic
