time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_linear.count,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_gating_routing_topk.count,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_shuffling.count,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,routing_runtime_path,routing_assignment_policy,routing_weight_policy,routing_uses_router_logits,gating_runtime_context,gating_runtime_context_impl,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,seed,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,model_architecture_profile,quant_signature
0.0347599983215332,0.13887999951839447,0.04655610006302595,0.036940500140190125,0.027398799250548386,20,0.008520999923348427,0.04619999974966049,0.012850049929693342,0.01081999996677041,0.008121193681214061,20,0.05403999984264374,0.06868000328540802,0.05803414974361658,0.05746049992740154,0.002694801942931294,20,3.0784900188446045,3.4199299812316895,3.130117416381836,3.0970089435577393,0.08052626997232437,4096,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,16384,1.0,128.0,128.0,1.0,0.109375,3.0625814310263624,13.15625,4.4759031493276,0.7621688842773438,extremely_skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03596000000834465,0.19120000302791595,0.053816100023686884,0.03975999914109707,0.03780878182362593,20,0.008559999987483025,0.04179999977350235,0.01495204996317625,0.011260000057518482,0.008641961995016139,20,0.03243999928236008,0.05235999822616577,0.035430099815130234,0.03443999961018562,0.004061117484696222,20,2.8134090900421143,2.980729103088379,2.844498634338379,2.8229689598083496,0.043536655604839325,3840,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,15360,1.0,120.0,120.0,0.9921875,0.0,0.37416573867739417,1.5833333333333333,6.880832957879308,0.21185302734375,skewed,2,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03152000159025192,0.1340000033378601,0.04637209977954626,0.03686000034213066,0.027825127319600476,20,0.007720000110566616,0.041039999574422836,0.01275204997509718,0.0111799999140203,0.00684815883104087,20,0.026799999177455902,0.04960000142455101,0.03171205017715693,0.03068000078201294,0.004412152255077399,20,2.9662890434265137,3.308089017868042,3.022202968597412,2.978929042816162,0.08610121160745621,4096,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,16384,1.0,128.0,128.0,1.0,0.765625,0.09382626292646475,1.25,6.993613486887082,0.05279350280761719,uniform,1,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03664100170135498,0.1650809943675995,0.0514980997890234,0.038600001484155655,0.03277380861820203,20,0.007679999805986881,0.0488400012254715,0.014982050098478795,0.01104000024497509,0.010514685727935832,20,0.026839999482035637,0.05691999942064285,0.03211399987339973,0.030559999868273735,0.0061171400366789065,20,2.9266490936279297,3.2932488918304443,2.9883270263671875,2.9486889839172363,0.09487245976924896,4096,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,16384,1.0,128.0,128.0,1.0,0.78125,0.0803871704189714,1.203125,6.995335795934923,0.04557037353515625,uniform,2,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03483999893069267,0.17452000081539154,0.057422150298953055,0.03855999931693077,0.03935777948662766,20,0.00800000037997961,0.03232000023126602,0.0157580500934273,0.012560500297695398,0.007433938422627139,20,0.03099999949336052,0.05711999908089638,0.03420999944210053,0.03293999843299389,0.005388459847947179,20,2.7118070125579834,2.9771690368652344,2.7498619556427,2.7290868759155273,0.058466386049985886,3584,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,14336,1.0,112.0,112.0,0.9921875,0.0,0.3736206429059892,1.7232142857142858,6.882377338049103,0.21173858642578125,skewed,1,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03203999996185303,0.1321599930524826,0.043184099905192855,0.037241000682115555,0.021737788762604262,20,0.007400000002235174,0.026280000805854797,0.009702000021934509,0.0081599997356534,0.004130675179521409,20,0.02696000039577484,0.039319999516010284,0.03079000012949109,0.030500000342726707,0.0025194244580518145,20,2.9500091075897217,3.2824490070343018,3.0070269107818604,2.966689109802246,0.08759873360395432,4096,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,16384,1.0,128.0,128.0,1.0,0.7734375,0.08098994967427864,1.2265625,6.995230602906041,0.04561901092529297,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.030559999868273735,0.04639999940991402,0.03465214986354113,0.03396050073206425,0.0035007832814389224,20,0.007360000163316727,0.016920000314712524,0.0099319999339059,0.008859999943524599,0.002758640250310121,20,0.029279999434947968,0.12996099889278412,0.03828609986230731,0.0307200001552701,0.022108504421118225,20,2.7500479221343994,2.889569044113159,2.7809600830078125,2.760488986968994,0.03727418929338455,3840,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,15360,1.0,120.0,120.0,1.0,0.775,0.08200106918340896,1.2333333333333334,6.995127626574753,0.045976765950520804,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.033080000430345535,0.12039999663829803,0.05155405011028051,0.03718000091612339,0.02966565790254884,20,0.007439999841153622,0.04303999990224838,0.01396609996445477,0.010780499782413244,0.008337349838452458,20,0.029400000348687172,0.03759999945759773,0.03126399992033839,0.03099999949336052,0.001680685310401392,20,2.75380802154541,2.8830080032348633,2.780022144317627,2.763608932495117,0.03412520885467529,3840,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,15360,1.0,120.0,120.0,1.0,0.7583333333333333,0.10053567463840882,1.275,6.992671166125967,0.05648701985677085,uniform,1,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03500000014901161,0.15296100080013275,0.05428619962185621,0.03830049932003021,0.03426784910114449,20,0.00812000036239624,0.0363599993288517,0.014941999921575189,0.011620000004768372,0.00784209644056244,20,0.030160000547766685,0.053599998354911804,0.03313214965164661,0.03179999999701977,0.004864183072962802,20,2.55368709564209,2.66212797164917,2.5781595706939697,2.5621678829193115,0.028809428215026855,3328,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,13312,1.0,104.0,104.0,0.9921875,0.0,0.3682477336063496,1.6153846153846154,6.885395737804509,0.20869093674879813,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
0.03480000048875809,0.13432000577449799,0.05303010009229183,0.039499999955296516,0.031582231406970716,20,0.010879999957978725,0.04303999990224838,0.01531209982931614,0.011040499899536371,0.00908251419477857,20,0.03060000017285347,0.05180000141263008,0.035916099697351454,0.03490000031888485,0.004041368993673598,20,2.9538490772247314,3.273729085922241,3.0083248615264893,2.964207887649536,0.08724961429834366,4096,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,4,2880,2880,True,1,16384,1.0,128.0,128.0,0.9921875,0.0,0.3697678822493431,1.671875,6.884325314699714,0.20943832397460938,skewed,1,vllm_fused,CUDA_EVENT,BF16,generic,generic,none
