time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.004240000154823065,0.010440000332891941,0.00735220005735755,0.0075610000640153885,0.0019783679192210755,5,0.017680000513792038,0.03711999952793121,0.02383200041949749,0.021640000864863396,0.0069393897241567795,5,0.18904000520706177,0.28279998898506165,0.2160321980714798,0.20307999849319458,0.03383558449095891,5,0.005880000069737434,0.00791999977082014,0.006919999979436398,0.006719999946653843,0.000722661651020394,5,0.005799999926239252,0.009119999594986439,0.006888199970126152,0.005880000069737434,0.0013615801722014296,5,2880,64,8,16,1,4096,1,64,0,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.00812000036239624,0.007208000123500824,0.00788000039756298,0.001417919694895092,5,0.018640000373125076,0.07688000053167343,0.0327759999781847,0.020679999142885208,0.022276066036598107,5,0.19439999759197235,0.257999986410141,0.21734439432621003,0.20624099671840668,0.02262489311969622,5,0.005840000230818987,0.008919999934732914,0.006656000018119812,0.005880000069737434,0.0011837836851982882,5,0.005799999926239252,0.00803999975323677,0.0065519999712705616,0.006200000178068876,0.0008388180697055828,5,2880,64,8,16,1,4096,1,64,512,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,512,576,576,BF16,CUDA_EVENT,generic,generic,none
0.005640000104904175,0.0081599997356534,0.007320000045001507,0.0075599998235702515,0.0009236449122010337,5,0.020080000162124634,0.049559999257326126,0.027351999655365944,0.02239999920129776,0.011149841736755475,5,0.22468000650405884,0.29972100257873535,0.25220859944820406,0.2492399960756302,0.02568059140863455,5,0.005840000230818987,0.00800000037997961,0.006944000069051981,0.00675999978557229,0.0007717409788166446,5,0.005840000230818987,0.007720000110566616,0.006584000121802091,0.006039999891072512,0.0008362200600269533,5,2880,64,8,16,1,4096,1,64,1024,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,1024,1088,1088,BF16,CUDA_EVENT,generic,generic,none
0.005840000230818987,0.01143999956548214,0.0079517999663949,0.007439999841153622,0.0018596505496236654,5,0.017640000209212303,0.04423899948596954,0.02433540001511574,0.020320000126957893,0.010014386332444853,5,0.1920749992132187,0.2865540087223053,0.2217468023300171,0.21151499450206757,0.034134831278265124,5,0.004279999993741512,0.007079999893903732,0.00579200005158782,0.005840000230818987,0.0008917039686182182,5,0.005840000230818987,0.009639999829232693,0.007159799989312887,0.006519999820739031,0.001364404601336399,5,2880,64,8,16,1,4096,1,64,128,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,128,192,192,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.009398999623954296,0.0075114000588655475,0.008039000444114208,0.001680720765635729,5,0.01947999931871891,0.07559800148010254,0.03319140002131462,0.02143999934196472,0.02141904174389843,5,0.19619500637054443,0.2733530104160309,0.2243466019630432,0.21175499260425568,0.02751142520574817,5,0.005239999853074551,0.006639999803155661,0.005807999894022942,0.005679999943822622,0.0004577509954770902,5,0.00443999981507659,0.007679999805986881,0.006127999909222126,0.005799999926239252,0.00116217728350817,5,2880,64,8,16,1,4096,1,64,640,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,640,704,704,BF16,CUDA_EVENT,generic,generic,none
0.0055599999614059925,0.0083600003272295,0.007440000120550394,0.00788000039756298,0.0009843577779940855,5,0.021400000900030136,0.05615900084376335,0.030111400038003923,0.023158999159932137,0.013201634476795216,5,0.2302349954843521,0.3187530040740967,0.2588825970888138,0.24651500582695007,0.031147328258400445,5,0.005439999978989363,0.007840000092983246,0.00655979998409748,0.00675999978557229,0.0008461773509594225,5,0.005758999846875668,0.007720000110566616,0.00661580003798008,0.006599999964237213,0.0007843001190968591,5,2880,64,8,16,1,4096,1,64,1152,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,1152,1216,1216,BF16,CUDA_EVENT,generic,generic,none
0.004999999888241291,0.008440000005066395,0.0064639999531209465,0.005880000069737434,0.0012773973559944798,5,0.01640000008046627,0.04292000085115433,0.023344000056385993,0.018799999728798866,0.009859123275718296,5,0.18452100455760956,0.24376000463962555,0.20915260016918183,0.20931999385356903,0.020878003906491714,5,0.005239999853074551,0.006519999820739031,0.00591200003400445,0.005840000230818987,0.0005017728572019591,5,0.005799999926239252,0.007799999788403511,0.006247999891638756,0.005799999926239252,0.0007815471306053447,5,2880,64,8,16,1,4096,1,64,448,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,448,512,512,BF16,CUDA_EVENT,generic,generic,none
0.00675999978557229,0.01568000018596649,0.009039999917149544,0.007519999984651804,0.0033530405418136953,5,0.018559999763965607,0.05751999840140343,0.028943999484181405,0.0221599992364645,0.014598752273228727,5,0.179639995098114,0.2492009997367859,0.20679259598255156,0.20231999456882477,0.024083033506673887,5,0.004559999797493219,0.00687999976798892,0.005735999904572964,0.005799999926239252,0.0007412853660612429,5,0.005960000213235617,0.007439999841153622,0.006752000004053116,0.006800000090152025,0.0004715250668304719,5,2880,64,8,16,1,4096,1,64,256,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,256,320,320,BF16,CUDA_EVENT,generic,generic,none
0.004720000084489584,0.007679999805986881,0.0070559998974204065,0.007639999967068434,0.0011688215351115608,5,0.020519999787211418,0.041359998285770416,0.027639999613165857,0.02319999970495701,0.007779027738602412,5,0.23648099601268768,0.3200410008430481,0.27463299930095675,0.26808100938796997,0.033446393032206354,5,0.005880000069737434,0.006920000072568655,0.006440000049769879,0.006440000142902136,0.0003394112491392345,5,0.004399999976158142,0.007079999893903732,0.005735999997705221,0.005799999926239252,0.0008528915324556591,5,2880,64,8,16,1,4096,1,64,960,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,960,1024,1024,BF16,CUDA_EVENT,generic,generic,none
0.006680000107735395,0.008200000040233135,0.007096000015735626,0.00687999976798892,0.0005580537645269699,5,0.018719999119639397,0.024000000208616257,0.021136000007390975,0.02151999995112419,0.0020500303842633442,5,0.18320100009441376,0.20928099751472473,0.19412839710712432,0.19171999394893646,0.010466678376615161,5,0.005119999870657921,0.013880000449717045,0.007304000109434128,0.005840000230818987,0.0033022273007791156,5,0.005760000087320805,0.009519999846816063,0.006832000054419041,0.006200000178068876,0.001381801606907085,5,2880,64,8,16,1,4096,1,64,64,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,64,128,128,BF16,CUDA_EVENT,generic,generic,none
