time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,attention_backend,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_prefill_tokens,total_decode_tokens,total_tokens,decode_avg_kv_cache_size,batch_composition_ratio,mode,is_true_mixed_batch,is_mixed_batch,is_prefill,batch_size,prefill_chunk_size,kv_cache_size,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.004360000137239695,0.020880000665783882,0.007704000174999237,0.00443999981507659,0.006588164177442076,5,0.018719999119639397,0.053199999034404755,0.025687999650835992,0.0188400000333786,0.01375610146673153,5,5.367208003997803,5.469048023223877,5.41106424331665,5.411087989807129,0.03375232611390966,5,0.05976000055670738,0.06027999892830849,0.05989599972963333,0.05979999899864197,0.00019693607028970476,5,0.004399999976158142,0.004480000119656324,0.004431999940425158,0.00443999981507659,2.993328789585909e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],[1024],1,1,1,2,8192,1,8193,1024,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.007400000002235174,0.005031999945640564,0.00443999981507659,0.0011842702686903877,5,0.018319999799132347,0.04772000014781952,0.024487999826669694,0.018799999728798866,0.011618479234116503,5,5.378684997558594,5.462524890899658,5.4203493118286135,5.421085834503174,0.02826747017529245,5,0.061441000550985336,0.0623599998652935,0.06186420023441315,0.061879999935626984,0.0003060301295528881,5,0.004399999976158142,0.006920000072568655,0.004927999991923571,0.00443999981507659,0.0009964417105622148,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024]",1,2,2,3,8192,2,8194,1024,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.00848000030964613,0.005224000010639429,0.004399999976158142,0.0016280738573080634,5,0.018239999189972878,0.07355999946594238,0.02959199957549572,0.018479999154806137,0.021986357906852844,5,5.384329795837402,5.414011001586914,5.39672212600708,5.38985013961792,0.011344099150528444,5,0.06347999721765518,0.064240001142025,0.06384020000696182,0.06384000182151794,0.00024390281513002454,5,0.004399999976158142,0.004480000119656324,0.004456000030040741,0.004480000119656324,3.2000080682464336e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024, 1024, 1024]",1,4,4,5,8192,4,8196,1024,0.2,true_mixed,True,False,True,5,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.00419999985024333,0.00875999964773655,0.005143999960273505,0.004240000154823065,0.0018081768268698706,5,0.017799999564886093,0.027879999950528145,0.020079999789595605,0.018319999799132347,0.003909209711446255,5,5.38597297668457,5.457053184509277,5.415333271026611,5.40129280090332,0.025913711655423725,5,0.11355999857187271,0.11727999895811081,0.11505599915981293,0.11460000276565552,0.0012693557063654208,5,0.00419999985024333,0.004240000154823065,0.004215999972075224,0.00419999985024333,1.9596067155252676e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],[3072],1,1,1,2,8192,1,8193,3072,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.012040000408887863,0.005960200075060129,0.004480000119656324,0.003040113349161932,5,0.017720000818371773,0.026799999177455902,0.020151999965310096,0.018880000337958336,0.003367172844902331,5,5.363015174865723,5.432694911956787,5.393335247039795,5.38937520980835,0.023493662604954006,5,0.13860000669956207,0.14448100328445435,0.14012040197849274,0.13923999667167664,0.0021948306791137605,5,0.004360000137239695,0.006399999838322401,0.00481599997729063,0.00443999981507659,0.0007930093872247209,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],[4096],1,1,1,2,8192,1,8193,4096,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.00687999976798892,0.005231999978423119,0.004399999976158142,0.0010629467659943072,5,0.018319999799132347,0.07716000080108643,0.030255999788641928,0.018559999763965607,0.02345234674170464,5,5.3782501220703125,5.418769836425781,5.397818088531494,5.3976898193359375,0.012933748658987793,5,0.06503999978303909,0.06651999801397324,0.06554419994354248,0.06516099721193314,0.0005847993745408593,5,0.004399999976158142,0.004480000119656324,0.004432199988514185,0.00443999981507659,2.9721351547447422e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1,8,8,9,8192,8,8200,1024,0.1111111111111111,true_mixed,True,False,True,9,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.0041600000113248825,0.0142000000923872,0.006696000043302774,0.004240000154823065,0.0038730742650446097,5,0.017680000513792038,0.04004000127315521,0.023552200570702553,0.01852099969983101,0.008494186843152885,5,5.380291938781738,5.459492206573486,5.416620063781738,5.415452003479004,0.025237703199711813,5,0.11804000288248062,0.12116000056266785,0.11876820027828217,0.11807999759912491,0.0012096266906409792,5,0.00419999985024333,0.00431999983265996,0.0042639999650418755,0.004279999993741512,4.079213795521706e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[3072, 3072]",1,2,2,3,8192,2,8194,3072,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004360000137239695,0.009200000204145908,0.005400000140070915,0.004480000119656324,0.0019005683679124744,5,0.018239999189972878,0.0284000001847744,0.020927999913692475,0.01899999938905239,0.0037874236136906736,5,5.37073278427124,5.419652938842773,5.385028934478759,5.378492832183838,0.017851935639089742,5,0.1428000032901764,0.14343999326229095,0.14311200082302095,0.1430400013923645,0.0002483845110728748,5,0.004360000137239695,0.004519999958574772,0.004440000001341105,0.00443999981507659,5.656851225467499e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[4096, 4096]",1,2,2,3,8192,2,8194,4096,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.004399999976158142,0.007319999858736992,0.005007999949157238,0.00443999981507659,0.001156380515963428,5,0.018400000408291817,0.09963999688625336,0.03490399904549122,0.01875999942421913,0.03236856243301346,5,5.363769054412842,5.416169166564941,5.389617252349853,5.392128944396973,0.01698271589753598,5,0.06796000152826309,0.06892000138759613,0.06834419965744018,0.06820099800825119,0.00032546381250138617,5,0.004360000137239695,0.004519999958574772,0.004448200017213822,0.004441000055521727,5.3037307031370055e-05,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1,16,16,17,8192,16,8208,1024,0.058823529411764705,true_mixed,True,False,True,17,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.00419999985024333,0.010239999741315842,0.006047999951988459,0.004279999993741512,0.0023941795613620395,5,0.017480000853538513,0.043880000710487366,0.022992000728845597,0.017960000783205032,0.010447411915826274,5,5.378291130065918,5.439651012420654,5.398162937164306,5.390450954437256,0.021498877281977368,5,0.12008100003004074,0.12164100259542465,0.12077639997005463,0.12071999907493591,0.0005038772675574043,5,0.0041600000113248825,0.005400000140070915,0.004472000058740377,0.004279999993741512,0.000466064413117658,5,2880,64,8,16,8,9216,TORCH_SDPA,[8192],[0],"[3072, 3072, 3072, 3072]",1,4,4,5,8192,4,8196,3072,0.2,true_mixed,True,False,True,5,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
