arrived_at,num_prefill_tokens,num_decode_tokens
0.0,4096,1024
0.1404936402104795,4096,1024
0.21695444406941533,4096,1024
0.28860096214339137,4096,1024
0.7790285269729793,4096,1024
0.988898626063019,4096,1024
0.9891074933111668,4096,1024
1.3461226280778646,4096,1024
3.2117339302785695,4096,1024
5.285745226312429,4096,1024
5.5630911169573665,4096,1024
6.594168263953179,4096,1024
7.630921653937548,4096,1024
7.774475597310811,4096,1024
8.468250667210668,4096,1024
9.098562655039132,4096,1024
9.243767234962434,4096,1024
9.243776010349393,4096,1024
9.901847353205085,4096,1024
11.07166463136673,4096,1024
11.146486870013177,4096,1024
11.29098080797121,4096,1024
11.367169197183102,4096,1024
12.266853540204465,4096,1024
12.410776608157903,4096,1024
14.200333567336202,4096,1024
14.27392605226487,4096,1024
15.261074308305979,4096,1024
16.16789268096909,4096,1024
16.31442303908989,4096,1024
17.003260982222855,4096,1024
17.1483171810396,4096,1024
19.016514429356903,4096,1024
19.700911526102573,4096,1024
20.05673938104883,4096,1024
20.273764143232256,4096,1024
21.185079358983785,4096,1024
21.402691739145666,4096,1024
21.402909343130887,4096,1024
21.48913781438023,4096,1024
21.63324758829549,4096,1024
21.848409452009946,4096,1024
21.848612036090344,4096,1024
22.005351439118385,4096,1024
23.45751362014562,4096,1024
23.602198794018477,4096,1024
23.955254537053406,4096,1024
24.515441834926605,4096,1024
25.556840479373932,4096,1024
25.979348462074995,4096,1024
26.399887995328754,4096,1024
26.75358089711517,4096,1024
27.178888424299657,4096,1024
27.327590194065124,4096,1024
27.54681622935459,4096,1024
27.76671343902126,4096,1024
27.912956182379276,4096,1024
28.762707028072327,4096,1024
28.838008009362966,4096,1024
29.39735968131572,4096,1024
29.8160866019316,4096,1024
30.09981955215335,4096,1024
30.246652094181627,4096,1024
30.323564984370023,4096,1024
30.88992523914203,4096,1024
31.317463285289705,4096,1024
31.883016690146178,4096,1024
31.960121233016253,4096,1024
32.87706251395866,4096,1024
34.23235887894407,4096,1024
34.58771546324715,4096,1024
34.66367587028071,4096,1024
34.66368405427784,4096,1024
34.66384487738833,4096,1024
34.92845623707399,4096,1024
35.28884456632659,4096,1024
35.36499270936474,4096,1024
37.748485828284174,4096,1024
38.38645230606198,4096,1024
38.8906592191197,4096,1024
39.88838655129075,4096,1024
40.672815119381994,4096,1024
40.748414770234376,4096,1024
40.825197864323854,4096,1024
40.82535274326801,4096,1024
40.82536126114428,4096,1024
41.164052015170455,4096,1024
41.37975733820349,4096,1024
41.66602467093617,4096,1024
41.95610537333414,4096,1024
42.17218519421294,4096,1024
42.31789231998846,4096,1024
42.532577220350504,4096,1024
42.532799140084535,4096,1024
42.970166301354766,4096,1024
43.188090632203966,4096,1024
43.265072137117386,4096,1024
44.75115322507918,4096,1024
45.964493580162525,4096,1024
47.09874792722985,4096,1024
