frontier_request_id,client_request_id,server_request_id,arrived_at_s,prefill_completed_at_s,completed_at_s,frontier_ttft_ms,official_server_ttft_ms,signed_gap_ms,absolute_error_ms,relative_error_percent
0,pf4096_dc1024:0,cmpl-pf4096_dc1024:0-0,0.0,0.06306111991539293,49.81180955518533,63.06111991539293,102.46133804321289,-39.40021812781996,39.40021812781996,38.45374155781861
1,pf4096_dc1024:1,cmpl-pf4096_dc1024:1-0,0.1404936402104795,0.21299938338166777,49.95636543075482,72.50574317118827,127.1970272064209,-54.69128403523263,54.69128403523263,42.997297371169864
2,pf4096_dc1024:2,cmpl-pf4096_dc1024:2-0,0.2169544440694153,0.32281039512808746,50.0518150303107,105.85595105867215,94.87152099609375,10.984430062578397,10.984430062578397,11.578216462905312
3,pf4096_dc1024:3,cmpl-pf4096_dc1024:3-0,0.2886009621433913,0.38726653500451064,50.09950777093109,98.66557286111932,101.94087028503418,-3.2752974239148642,3.2752974239148642,3.2129384561431458
4,pf4096_dc1024:4,cmpl-pf4096_dc1024:4-0,0.7790285269729793,0.8618080224997676,50.5734071956445,82.77949552678831,99.95722770690918,-17.17773218012087,17.17773218012087,17.185082634032998
5,pf4096_dc1024:5,cmpl-pf4096_dc1024:5-0,0.988898626063019,1.0922732121038998,50.76394732134218,103.37458604088079,102.2188663482666,1.1557196926141842,1.1557196926141842,1.1306324692318235
6,pf4096_dc1024:6,cmpl-pf4096_dc1024:6-0,0.9891074933111668,1.0922732121038998,50.76394732134218,103.16571879273306,98.5558032989502,4.609915493782864,4.609915493782864,4.677467322547782
7,pf4096_dc1024:7,cmpl-pf4096_dc1024:7-0,1.3461226280778646,1.4317293917784775,51.09738107251456,85.60676370061282,114.67337608337402,-29.066612382761207,29.066612382761207,25.347306738076792
8,pf4096_dc1024:8,cmpl-pf4096_dc1024:8-0,3.211733930278569,3.2987631285186714,53.002679096780234,87.02919824010236,99.32231903076172,-12.293120790659358,12.293120790659358,12.37699734623794
9,pf4096_dc1024:9,cmpl-pf4096_dc1024:9-0,5.285745226312429,5.37989448058694,55.14609749334664,94.14925427451149,96.01926803588867,-1.8700137613771801,1.8700137613771801,1.9475401131762782
10,pf4096_dc1024:10,cmpl-pf4096_dc1024:10-0,5.563091116957367,5.627961156592675,55.384202477699596,64.87003963530746,110.20660400390625,-45.336564368598786,45.336564368598786,41.13779276511582
11,pf4096_dc1024:11,cmpl-pf4096_dc1024:11-0,6.594168263953179,6.70124818116406,56.47946465683213,107.07991721088118,124.20439720153809,-17.12447999065691,17.12447999065691,13.787337949774976
12,pf4096_dc1024:12,cmpl-pf4096_dc1024:12-0,7.630921653937548,7.728711506693073,57.527627464851825,97.78985275552455,109.48991775512695,-11.700064999602404,11.700064999602404,10.685974781504063
