time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,is_true_mixed_batch
0.0176960006356239,0.0200960002839565,0.018470400199294,0.0181120000779628,0.0008406686836709,0.0409599989652633,0.0463359989225864,0.0432575993239879,0.0417600013315677,0.0022999425953988,0.0124800000339746,0.0133760003373026,0.0128512002527713,0.0125120002776384,0.00042865676389,0.0757760033011436,0.0955199971795082,0.0816448003053665,0.0778239965438842,0.0072914102135112,0.0175999999046325,0.0190079994499683,0.0180095996707677,0.0177599992603063,0.0005093530862895,2048,16,2,16,1,64,1,0,0,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0169600006192922,0.0205439999699592,0.0181887999176979,0.0175679996609687,0.0012604263364631,0.0419839993119239,0.0457919985055923,0.0435903988778591,0.0438719987869262,0.0013432986641182,0.0121919997036457,0.0130559997633099,0.0124479999765753,0.012351999990642,0.0003115688567204,0.0791679993271827,0.085216000676155,0.0815487995743751,0.0817599967122078,0.0021940522326877,0.0178559999912977,0.0190719999372959,0.0182336002588272,0.0178880002349615,0.0004769610443885,2048,16,2,16,1,64,1,0,1,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0172799993306398,0.0189759992063045,0.0176959995180368,0.0173760000616312,0.0006460512362035,0.0402240008115768,0.0464319996535778,0.0423551999032497,0.0414399988949298,0.0022612566732781,0.0119040003046393,0.0140159996226429,0.0125504000112414,0.012288000434637,0.0007765917784159,0.0750719979405403,0.0974399968981742,0.0817151993513107,0.0766720026731491,0.008471205371578,0.0166400000452995,0.0197119992226362,0.0176895998418331,0.0175999999046325,0.001100055416649,2048,16,2,16,1,64,1,0,2,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0166400000452995,0.0197439994663,0.0177983999252319,0.0176320001482963,0.0010452591879738,0.0405119992792606,0.0447679981589317,0.0420991994440555,0.0415359996259212,0.0015742691426909,0.0121280001476407,0.0184640008956193,0.0136384001001715,0.0122239999473094,0.0024415311638824,0.0748799964785575,0.088927999138832,0.0796223983168602,0.0770559981465339,0.0053545256341267,0.0169280003756284,0.0187519993633031,0.0175296001136302,0.0170559994876384,0.0007187969924046,2048,16,2,16,1,64,1,0,4,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0170879997313022,0.019200000911951,0.0178047999739646,0.0176640003919601,0.000742400476131,0.0400319993495941,0.045279998332262,0.0422847993671894,0.0423999987542629,0.0017510282604291,0.0121280001476407,0.0168960001319646,0.0134207999333739,0.0124800000339746,0.0017719565612154,0.0753920003771781,0.0894720032811164,0.0822656005620956,0.0807679966092109,0.0057539327311977,0.0171520002186298,0.0195199996232986,0.0178239997476339,0.0174080003052949,0.0008756546417321,2048,16,2,16,1,64,1,0,8,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0175679996609687,0.021663999184966,0.0191551998257637,0.0177919995039701,0.0018481047008891,0.0410239994525909,0.0479039996862411,0.0448896005749702,0.0447360016405582,0.0022585201429778,0.0087999999523162,0.0133119998499751,0.0120767999440431,0.0126080000773072,0.0016605009149414,0.0786880031228065,0.0986239984631538,0.0845695987343788,0.081727996468544,0.0072443754917049,0.0172160007059574,0.0243200007826089,0.0191808003932237,0.0180159993469715,0.002600527396497,2048,16,2,16,1,64,1,0,16,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0171520002186298,0.01961600035429,0.0178431998938322,0.0175999999046325,0.0009047800764356,0.0408959984779357,0.04364800080657,0.0419391997158527,0.0415359996259212,0.0010523289563943,0.0118720000609755,0.0159680005162954,0.0131904000416398,0.012415999546647,0.001468294701615,0.077855996787548,0.086496002972126,0.0817791998386383,0.0828799977898597,0.0032300426835712,0.0171520002186298,0.0181440003216266,0.017587200179696,0.0174400005489587,0.0003526393797355,2048,16,2,16,1,64,1,0,23,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0173119995743036,0.0214719995856285,0.0186175998300313,0.0177599992603063,0.001511186129571,0.0413759984076023,0.0449279993772506,0.0429119989275932,0.0428479984402656,0.0013820150198235,0.0123840002343058,0.0131839998066425,0.0127104001119732,0.012640000320971,0.0002610696363373,0.0805760025978088,0.0951680019497871,0.0847168013453483,0.0824640020728111,0.0052910470237877,0.0176640003919601,0.0225600004196167,0.0191232003271579,0.0181760005652904,0.0018064105979428,2048,16,2,16,1,64,1,0,24,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.0177280008792877,0.0312959998846054,0.0210752002894878,0.0184320006519556,0.0051804272061912,0.0421120002865791,0.0497279986739158,0.045932799577713,0.0458879992365837,0.0032729976797748,0.0119040003046393,0.0132480002939701,0.0124800002202391,0.0125120002776384,0.0004681197058058,0.0777600035071373,0.0961600020527839,0.0845120012760162,0.0796800032258033,0.0072540827371741,0.0173439998179674,0.0249279998242855,0.0195456001907587,0.0181120000779628,0.0027759625410566,2048,16,2,16,1,64,1,0,32,False,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.018079999834299,0.0210560001432895,0.0189759999513626,0.0183359999209642,0.001106108353026,0.04390399903059,0.0490240007638931,0.045830400288105,0.0445760004222393,0.0020608997013738,0.0839039981365203,0.0972800031304359,0.0887040004134178,0.0891520008444786,0.0048883618265834,0.0130240004509687,0.0147519996389746,0.0136448001489043,0.0132480002939701,0.0006777957701252,0.0172160007059574,0.0190719999372959,0.0182272002100944,0.0183039996773004,0.0005964715088498,2048,16,2,16,1,64,1,1,0,True,AttentionBackend.FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,1,1,BF16,generic,none,CUDA_EVENT,False
