frontier_request_id,client_request_id,server_request_id,arrived_at_s,prefill_completed_at_s,completed_at_s,frontier_ttft_ms,official_server_ttft_ms,signed_gap_ms,absolute_error_ms,relative_error_percent
0,pf4096_dc1024:0,cmpl-pf4096_dc1024:0-0,0.0,0.06579007690374297,59.09612969894329,65.79007690374297,119.17376518249512,-53.383688278752146,53.383688278752146,44.79483231649496
1,pf4096_dc1024:1,cmpl-pf4096_dc1024:1-0,0.0811694245785474,0.18497502277117123,59.209161549312284,103.80559819262383,86.86637878417969,16.939219408444146,16.939219408444146,19.50031720618836
2,pf4096_dc1024:2,cmpl-pf4096_dc1024:2-0,0.2437708359211683,0.36207763245616204,59.38464971483745,118.30679653499374,138.8990879058838,-20.592291370890052,20.592291370890052,14.825361117448892
3,pf4096_dc1024:3,cmpl-pf4096_dc1024:3-0,0.3238828796893358,0.42929825383030956,59.443141518026096,105.41537414097374,152.85921096801758,-47.44383682704384,47.44383682704384,31.037604163068995
4,pf4096_dc1024:4,cmpl-pf4096_dc1024:4-0,0.793558869510889,0.8921557517257954,59.909588767134665,98.59688221490637,134.79256629943848,-36.195684084532104,36.195684084532104,26.85287852159759
5,pf4096_dc1024:5,cmpl-pf4096_dc1024:5-0,1.0332248136401176,1.15752435048087,60.1440884114304,124.29953684075245,158.27417373657227,-33.97463689581981,33.97463689581981,21.465685837265138
6,pf4096_dc1024:6,cmpl-pf4096_dc1024:6-0,1.0333839766681194,1.15752435048087,60.1440884114304,124.14037381275067,155.3783416748047,-31.23796786205402,31.23796786205402,20.10445440808782
7,pf4096_dc1024:7,cmpl-pf4096_dc1024:7-0,1.352913336828351,1.446041631689266,60.43726802924641,93.12829486091489,138.14735412597656,-45.01905926506167,45.01905926506167,32.58771009396879
8,pf4096_dc1024:8,cmpl-pf4096_dc1024:8-0,3.207944333553314,3.295401449689844,62.370845827044036,87.45711613652985,112.36453056335449,-24.907414426824644,24.907414426824644,22.166616370796028
9,pf4096_dc1024:9,cmpl-pf4096_dc1024:9-0,5.305094223469496,5.409214581193875,64.59895105007745,104.120357724379,133.2848072052002,-29.16444948082119,29.16444948082119,21.881300721634926
10,pf4096_dc1024:10,cmpl-pf4096_dc1024:10-0,5.544440668076277,5.642696386724533,64.83328698577843,98.25571864825645,111.5720272064209,-13.316308558164451,13.316308558164451,11.935167704291839
11,pf4096_dc1024:11,cmpl-pf4096_dc1024:11-0,6.558564184233546,6.650699366640917,65.8885370305632,92.13518240737085,106.97627067565918,-14.841088268288331,14.841088268288331,13.873252614390488
12,pf4096_dc1024:12,cmpl-pf4096_dc1024:12-0,7.6441168282181025,7.7140370211926905,66.99329186669688,69.92019297458808,141.75677299499512,-71.83658002040704,71.83658002040704,50.6759419692372
13,pf4096_dc1024:13,cmpl-pf4096_dc1024:13-0,7.729321068152785,7.836989412468934,67.10966388657339,107.66834431614836,96.97866439819336,10.689679917955004,10.689679917955004,11.022713072293193
14,pf4096_dc1024:14,cmpl-pf4096_dc1024:14-0,8.429123224690557,8.513961592352635,67.80738412227724,84.83836766207808,97.19085693359375,-12.352489271515665,12.352489271515665,12.70951780984458
15,pf4096_dc1024:15,cmpl-pf4096_dc1024:15-0,9.05460056476295,9.133568527339511,68.44741220919654,78.96796257656113,107.21278190612793,-28.244819329566795,28.244819329566795,26.344638043528292
16,pf4096_dc1024:16,cmpl-pf4096_dc1024:16-0,9.213637940585611,9.311149713209621,68.6218373529221,97.51177262401,160.10618209838867,-62.594409474378665,62.594409474378665,39.095560617336474
17,pf4096_dc1024:17,cmpl-pf4096_dc1024:17-0,9.344120029360056,9.434252343093382,68.73820281919807,90.13231373332609,246.11330032348633,-155.98098659016023,155.98098659016023,63.37771521699233
18,pf4096_dc1024:18,cmpl-pf4096_dc1024:18-0,9.95850757136941,10.053767382380974,69.37771565183998,95.25981101156411,153.13172340393066,-57.87191239236655,57.87191239236655,37.79224259085239
19,pf4096_dc1024:19,cmpl-pf4096_dc1024:19-0,11.124213099479675,11.257959282204004,70.59924992691394,133.7461827243285,165.6515598297119,-31.905377105383423,31.905377105383423,19.26053526944257
20,pf4096_dc1024:20,cmpl-pf4096_dc1024:20-0,11.124659977853298,11.257959282204004,70.59924992691394,133.2993043507056,127.93850898742676,5.360795363278839,5.360795363278839,4.190134311949559
21,pf4096_dc1024:21,cmpl-pf4096_dc1024:21-0,11.291701240465043,11.381425020380638,70.71393505000815,89.72377991559455,126.52111053466797,-36.79733061907342,36.79733061907342,29.083945330206856
22,pf4096_dc1024:22,cmpl-pf4096_dc1024:22-0,11.3745208196342,11.44923477315526,70.7712991915876,74.71395352106036,113.79122734069824,-39.07727381963788,39.07727381963788,34.34120075235502
23,pf4096_dc1024:23,cmpl-pf4096_dc1024:23-0,12.308845592662692,12.407782490477294,71.74648201041764,98.93689781460147,160.39681434631348,-61.45991653171201,61.45991653171201,38.317417201948686
24,pf4096_dc1024:24,cmpl-pf4096_dc1024:24-0,12.393909636884928,12.47559388165188,71.8038455699937,81.68424476695257,89.33568000793457,-7.651435240981996,7.651435240981996,8.564814461928778
25,pf4096_dc1024:25,cmpl-pf4096_dc1024:25-0,14.179924169555306,14.270692688423187,73.63945220562873,90.76851886788084,116.25409126281738,-25.48557239493654,25.48557239493654,21.92230150190665
26,pf4096_dc1024:26,cmpl-pf4096_dc1024:26-0,14.265228690579534,14.338808050522792,73.69681488866017,73.57935994325793,136.29651069641113,-62.717150753153206,62.717150753153206,46.015228440330596
27,pf4096_dc1024:27,cmpl-pf4096_dc1024:27-0,15.195002175867558,15.297422907045094,74.67196657380514,102.4207311775367,97.54085540771484,4.879875769821851,4.879875769821851,5.002904423407266
28,pf4096_dc1024:28,cmpl-pf4096_dc1024:28-0,16.127221485599875,16.197552538658805,75.5668135868796,70.33105305892917,113.43574523925781,-43.10469218032864,43.10469218032864,37.999214523969094
29,pf4096_dc1024:29,cmpl-pf4096_dc1024:29-0,16.288622610270977,16.37607289219752,75.73459494423086,87.45028192654303,104.69293594360352,-17.242654017060488,17.242654017060488,16.469739683629506
30,pf4096_dc1024:30,cmpl-pf4096_dc1024:30-0,17.057395884767175,17.15935544106693,76.51756314306913,101.95955629975373,155.029296875,-53.06974057524627,53.06974057524627,34.23207203089901
31,pf4096_dc1024:31,cmpl-pf4096_dc1024:31-0,17.14087018556893,17.22746130839024,76.57348862378608,86.59112282131076,100.77071189880371,-14.179589077492949,14.179589077492949,14.071141118594479
32,pf4096_dc1024:32,cmpl-pf4096_dc1024:32-0,18.98768924921751,19.110477216963908,78.4749271153601,122.78796774639744,128.42130661010742,-5.63333886370998,5.63333886370998,4.386607652897535
33,pf4096_dc1024:33,cmpl-pf4096_dc1024:33-0,19.690692219883204,19.785811658752117,79.14601322316189,95.11943886891316,134.77706909179688,-39.65763022288371,39.65763022288371,29.424612428597058
34,pf4096_dc1024:34,cmpl-pf4096_dc1024:34-0,20.081986848264933,20.18544374514604,79.53747944357637,103.45689688110582,150.09689331054688,-46.639996429441055,46.639996429441055,31.073259013392114
35,pf4096_dc1024:35,cmpl-pf4096_dc1024:35-0,20.2428582534194,20.364195676385428,79.70513101261058,121.3374229660289,99.77889060974121,21.558532356287685,21.558532356287685,21.606305927581612
36,pf4096_dc1024:36,cmpl-pf4096_dc1024:36-0,21.17314650118351,21.260857807105673,80.60070637900826,87.71130592216281,145.29871940612793,-57.58741348396512,57.58741348396512,39.63380662908746
37,pf4096_dc1024:37,cmpl-pf4096_dc1024:37-0,21.33291399665177,21.439633277461574,80.76841945252436,106.71928080980564,94.50864791870117,12.210632891104467,12.210632891104467,12.920122295695496
38,pf4096_dc1024:38,cmpl-pf4096_dc1024:38-0,21.41636210680008,21.50794195979639,80.82435771713476,91.57985299631122,118.0121898651123,-26.432336868801087,26.432336868801087,22.397971683275426
39,pf4096_dc1024:39,cmpl-pf4096_dc1024:39-0,21.4996538143605,21.576276376477573,80.88030110149047,76.6225621170733,115.02456665039062,-38.402004533317324,38.402004533317324,33.38591541930135
40,pf4096_dc1024:40,cmpl-pf4096_dc1024:40-0,21.660326562821865,21.755080285608607,81.04811471259954,94.75372278674143,144.6361541748047,-49.88243138806325,49.88243138806325,34.488217467242826
41,pf4096_dc1024:42,cmpl-pf4096_dc1024:42-0,21.820809429511428,21.968561539126107,81.21594368294454,147.75210961467877,117.40303039550781,30.34907921917096,30.34907921917096,25.85033718203939
42,pf4096_dc1024:41,cmpl-pf4096_dc1024:41-0,21.82097934558988,21.968561539126107,81.21594368294454,147.58219353622692,135.32328605651855,12.25890747970837,12.25890747970837,9.058978566769628
43,pf4096_dc1024:43,cmpl-pf4096_dc1024:43-0,21.987597174942493,22.092814083941356,81.32781513617128,105.21690899886238,86.16375923156738,19.053149767294997,19.053149767294997,22.112718777843888
44,pf4096_dc1024:44,cmpl-pf4096_dc1024:44-0,23.45634499564767,23.55062913297487,82.77376332016529,94.28413732720031,154.02865409851074,-59.74451677131043,59.74451677131043,38.78792366328161
45,pf4096_dc1024:45,cmpl-pf4096_dc1024:45-0,23.616603722795844,23.730455433970086,82.94061885447745,113.85171117424164,135.9424591064453,-22.09074793220367,22.09074793220367,16.250072330165978
46,pf4096_dc1024:46,cmpl-pf4096_dc1024:46-0,23.93006546795368,24.021419551114512,83.21867773869853,91.35408316083371,128.68332862854004,-37.32924546770633,37.32924546770633,29.008610412512486
47,pf4096_dc1024:47,cmpl-pf4096_dc1024:47-0,24.55104642547667,24.64579875510551,83.830546236791,94.7523296288395,142.6680088043213,-47.915679175481785,47.915679175481785,33.585440476148605
48,pf4096_dc1024:48,cmpl-pf4096_dc1024:48-0,25.55311617255211,25.65969056486417,84.83178397148758,106.57439231206212,103.14273834228516,3.43165396977696,3.43165396977696,3.3270921685139068
49,pf4096_dc1024:49,cmpl-pf4096_dc1024:49-0,26.02489298954606,26.117706465109755,85.2768194782041,92.81347556369468,149.60479736328125,-56.79132179958657,56.79132179958657,37.96089617479428
50,pf4096_dc1024:50,cmpl-pf4096_dc1024:50-0,26.416607612743974,26.52025889010971,85.66617690905177,103.65127736573498,138.4596824645996,-34.808405098864625,34.808405098864625,25.13974066621465
51,pf4096_dc1024:51,cmpl-pf4096_dc1024:51-0,26.73139435239136,26.811696098778576,85.94422868094357,80.30174638721732,90.67487716674805,-10.373130779530726,10.373130779530726,11.439917101243916
52,pf4096_dc1024:52,cmpl-pf4096_dc1024:52-0,27.19940664060414,27.269854961820236,86.39006266192796,70.44832121609801,117.08950996398926,-46.64118874789125,46.64118874789125,39.83378934819668
53,pf4096_dc1024:53,cmpl-pf4096_dc1024:53-0,27.283431462943557,27.39453836635007,86.50113017606195,111.10690340651175,88.64378929138184,22.463114115129912,22.463114115129912,25.340877567057966
54,pf4096_dc1024:54,cmpl-pf4096_dc1024:54-0,27.52105812728405,27.630380808139613,86.72326192752966,109.32268085556274,136.43360137939453,-27.110920523831794,27.110920523831794,19.871146293677135
55,pf4096_dc1024:55,cmpl-pf4096_dc1024:55-0,27.76215715147555,27.866250642701026,86.9453904021971,104.09349122547695,93.57142448425293,10.522066741224023,10.522066741224023,11.24495731385897
56,pf4096_dc1024:56,cmpl-pf4096_dc1024:56-0,27.92451447620988,28.046522653476664,87.1119809724601,122.00817726678537,152.68421173095703,-30.676034464171664,30.676034464171664,20.09116339954358
57,pf4096_dc1024:57,cmpl-pf4096_dc1024:57-0,28.705293448641896,28.78747108731178,87.83386279399888,82.17763866988292,90.4693603515625,-8.291721681679576,8.291721681679576,9.165226381017924
58,pf4096_dc1024:58,cmpl-pf4096_dc1024:58-0,28.864942375570536,28.969501334768914,88.00044478416434,104.55895919837843,134.4306468963623,-29.871687697983873,29.871687697983873,22.220891134305923
59,pf4096_dc1024:59,cmpl-pf4096_dc1024:59-0,29.33138957805932,29.43112500022206,88.44465687100505,99.73542216274112,94.00701522827148,5.728406934469632,5.728406934469632,6.093595164743495
60,pf4096_dc1024:60,cmpl-pf4096_dc1024:60-0,29.797687156125903,29.892713646658102,88.88594910842998,95.0264905321987,86.9600772857666,8.066413246432091,8.066413246432091,9.275995949180672
61,pf4096_dc1024:61,cmpl-pf4096_dc1024:61-0,30.11175407655537,30.18659307797295,89.16175266082023,74.83900141757971,120.21398544311523,-45.374984025535525,45.374984025535525,37.74517903077656
62,pf4096_dc1024:62,cmpl-pf4096_dc1024:62-0,30.272360833361745,30.36863066751274,89.32723233465417,96.26983415099488,134.26947593688965,-37.99964178589477,37.99964178589477,28.301027855173608
63,pf4096_dc1024:63,cmpl-pf4096_dc1024:63-0,30.35576430335641,30.438846894258198,89.38239140673208,83.08259090178893,155.97844123840332,-72.89585033661439,72.89585033661439,46.73456777606697
64,pf4096_dc1024:64,cmpl-pf4096_dc1024:64-0,30.90164129808545,31.016678854300743,89.93388081592916,115.03755621529166,146.4552879333496,-31.41773171805795,31.41773171805795,21.45209788010922
65,pf4096_dc1024:65,cmpl-pf4096_dc1024:65-0,31.2930726390332,31.3662416427127,90.264769546247,73.16900367950296,120.55635452270508,-47.387350843202114,47.387350843202114,39.30721945833007
66,pf4096_dc1024:66,cmpl-pf4096_dc1024:66-0,31.91223358362913,31.99593310958212,90.87137974763145,83.69952595298713,136.86108589172363,-53.1615599387365,53.1615599387365,38.84344449874873
67,pf4096_dc1024:67,cmpl-pf4096_dc1024:67-0,31.996069038286805,32.122316767215125,90.98162006590637,126.2477289283197,153.1999111175537,-26.95218218923401,26.95218218923401,17.592818424387335
68,pf4096_dc1024:68,cmpl-pf4096_dc1024:68-0,32.84833823516965,32.91972232553428,91.75054470355308,71.38409036463145,114.90941047668457,-43.52532011205312,43.52532011205312,37.87794222552776
69,pf4096_dc1024:69,cmpl-pf4096_dc1024:69-0,34.25218857638538,34.3320115280128,93.12870954734153,79.82295162742048,117.05446243286133,-37.23151080544085,37.23151080544085,31.806998239640496
70,pf4096_dc1024:70,cmpl-pf4096_dc1024:70-0,34.5679641533643,34.68225449501631,93.45832732869512,114.29034165200846,141.77942276000977,-27.4890811080013,27.4890811080013,19.388625353999437
71,pf4096_dc1024:71,cmpl-pf4096_dc1024:71-0,34.651955492794514,34.841798350982344,93.5134522840472,189.84285818783064,201.25079154968262,-11.407933361851974,11.407933361851974,5.6685160212329935
72,pf4096_dc1024:73,cmpl-pf4096_dc1024:73-0,34.6519631575793,34.841798350982344,93.5134522840472,189.83519340304156,170.0608730316162,19.774320371425347,19.774320371425347,11.627789519667514
73,pf4096_dc1024:72,cmpl-pf4096_dc1024:72-0,34.65214485116303,34.841798350982344,93.5134522840472,189.65349981931467,182.0700168609619,7.583482958352761,7.583482958352761,4.1651465129175556
74,pf4096_dc1024:74,cmpl-pf4096_dc1024:74-0,34.93843010440469,35.02692835775292,93.67961641024844,88.49825334823436,132.55715370178223,-44.05890035354787,44.05890035354787,33.237663244239904
75,pf4096_dc1024:76,cmpl-pf4096_dc1024:76-0,35.3376638032496,35.47342909424913,94.0686519161814,135.7652909995295,102.78511047363281,32.980180525896685,32.980180525896685,32.08653507684559
76,pf4096_dc1024:75,cmpl-pf4096_dc1024:75-0,35.33781570009887,35.47342909424913,94.0686519161814,135.61339415025486,157.43517875671387,-21.821784606459005,21.821784606459005,13.860805938538313
77,pf4096_dc1024:77,cmpl-pf4096_dc1024:77-0,37.75080992095173,37.83734537768157,96.34723306882351,86.53545672984109,155.9278964996338,-69.3924397697927,69.3924397697927,44.50290251299303
