time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,profiling_precision,quant_signature,measurement_type,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mtp_fusion_proj.min,time_stats.mtp_fusion_proj.max,time_stats.mtp_fusion_proj.mean,time_stats.mtp_fusion_proj.median,time_stats.mtp_fusion_proj.std,time_stats.lm_head_linear.min,time_stats.lm_head_linear.max,time_stats.lm_head_linear.mean,time_stats.lm_head_linear.median,time_stats.lm_head_linear.std,attn_output_gate
0.027615999802947,0.177824005484581,0.035665600374341,0.028239999897778,0.0326142961095324,0.0083200000226497,0.038816001266241,0.0099536001682281,0.0083520002663135,0.00662440584407,0.0445760004222393,0.04806400090456,0.0458528000861406,0.0457120016217231,0.0008276748381843,0.0072320001199841,0.0319360010325908,0.0090184000204317,0.0086400001309812,0.0043480800753932,0.007135999854654,0.0308480001986026,0.0084960000356659,0.0072800000198185,0.0051298256095449,0.0280319992452859,0.0322879999876022,0.0291279999539256,0.0288479998707771,0.0009229587787072,32,4,2048,768,151936,True,True,1,1,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,0.0896959975361824,0.109215997159481,0.095542399585247,0.0947839990258216,0.0051283539819543,0.3648000061511993,0.3807359933853149,0.3698512032628059,0.3695199936628341,0.0030160257365724,False
0.0218879999999999,0.022368,0.02205745,0.021952,0.0001747894376099,0.004128,0.004192,0.0041696,0.00416,1.781684596105602e-05,0.012448,0.013471,0.01285915,0.012864,0.0002381575686389,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,1,2,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0135679999999999,0.01392,0.0137394,0.0137599999999999,9.677210341828914e-05,0.00304,0.003104,0.00306085,0.003072,1.8344685879022247e-05,0.007424,0.007552,0.0074911999999999,0.007488,3.0243346375690227e-05,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,1,4,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1766400039196014,0.2656320035457611,0.1856991991400718,0.180416002869606,0.0188007482216041,0.0360959991812706,0.0396800003945827,0.0376703998073935,0.0374719984829425,0.000731016502745,0.0786560028791427,0.0964159965515136,0.0832575995475053,0.0812640003859996,0.0043488056441148,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,1,8,2048,768,generic,False,,,BF16,none,CUDA_EVENT,0.0692479982972145,0.0829439982771873,0.0745951991528272,0.0753760002553463,0.0035939418521964,0.042943999171257,0.045983999967575,0.0442239999771118,0.0439999997615814,0.0008058660880819,0.0673279985785484,0.0759679973125457,0.0711504001170396,0.070287998765707,0.0027867113589269,,,,,,,,,,,
0.0359360016882419,0.2128320038318634,0.0452896006405353,0.0364160016179084,0.0384378968315339,0.0087360003963112,0.0396480001509189,0.0119103998877108,0.0087999999523162,0.0086764421238031,0.0510400012135505,0.0658880025148391,0.0532927999272942,0.0522079989314079,0.0032692574199941,0.0076159997843205,0.0368000008165836,0.0094576000119559,0.0083839995786547,0.0050179886268379,0.0073919999413192,0.0318080000579357,0.0091616000048816,0.0080319999251514,0.0052234067675662,0.0282879993319511,0.0312319993972778,0.0294416001066565,0.0293439999222755,0.0007625455336007,32,4,2048,768,151936,True,True,2,1,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,0.0971520021557807,0.1162879988551139,0.1008608002215623,0.0996319986879825,0.0040520371588875,0.3672960102558136,0.3752639889717102,0.3705663964152336,0.370399996638298,0.0021455882988471,False
0.029566,0.029984,0.02980925,0.029792,0.0001195917534782,0.004096,0.004288,0.004176,0.0041915,6.189184114243173e-05,0.012223,0.0123509999999999,0.01228935,0.012288,2.947587996990059e-05,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,2,2,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025054,0.0254399999999999,0.0252846,0.025376,0.0001552476730904,0.003552,0.003616,0.00358395,0.003584,1.0131510252672142e-05,0.010208,0.010304,0.0102446999999999,0.01024,2.0947792246439622e-05,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,2,4,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1892800033092498,0.2730239927768707,0.1986384004354477,0.1926079988479614,0.0179030547059353,0.0313280001282691,0.0398720018565654,0.0330335998907685,0.0327679999172687,0.001709474427228,0.0759039968252182,0.1096320003271102,0.0800128001719713,0.0775680020451545,0.007337205906652,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,2,8,2048,768,generic,False,,,BF16,none,CUDA_EVENT,0.0670399963855743,0.0898559987545013,0.0698751993477344,0.0682719983160495,0.0050753798190775,0.0372160002589225,0.0424959994852542,0.0383935999125242,0.0382240004837513,0.0011487330199825,0.0618560016155242,0.0714560002088546,0.0650208003818988,0.0634719990193843,0.0028322607355421,,,,,,,,,,,
0.0373440012335777,0.1996800005435943,0.0458623999729752,0.0377920009195804,0.0352888024414255,0.0086399996653199,0.0377920009195804,0.0102399999275803,0.0087679997086524,0.0063213975418152,0.0502399988472461,0.0571519993245601,0.0517807999625802,0.0512959994375705,0.0015155731978262,0.0083520002663135,0.0329600013792514,0.0103511999826878,0.009632000233978,0.0043448766871811,0.0073919999413192,0.0304320007562637,0.0090448001399636,0.0079200000036507,0.0049323335610878,0.0283519998192787,0.037856001406908,0.0296752001158893,0.0293920002877712,0.0019442017246477,32,4,2048,768,151936,True,True,4,1,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,0.0974399968981742,0.1103039979934692,0.1001903999596834,0.0989600010216236,0.0031541426925158,0.3720960021018982,0.3802880048751831,0.3746911987662315,0.3739520013332367,0.0021457627015197,False
0.030559,0.031103,0.03075335,0.0307519999999999,0.000130102757465,0.004191,0.004352,0.00426715,0.004288,5.390943794921248e-05,0.012671,0.012896,0.0127454499999999,0.0127359999999999,6.410341254566726e-05,,,,,,,,,,,,,,,,32,4,2048,768,151936,True,True,4,2,2048,768,generic,False,,,BF16,none,CUDA_EVENT,,,,,,,,,,,,,,,,,,,,,,,,,,
