time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,profiling_precision,model_arch,quant_signature,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,is_true_mixed_batch,measurement_type,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_decode_tokens,decode_avg_kv_cache_size,batch_composition_ratio
0.016287999227643,0.0205119997262954,0.0174271997064352,0.0167999994009733,0.0015573976738446,0.0397760011255741,0.0466880016028881,0.0427776001393795,0.0418559983372688,0.0025220716184433,0.0110719995573163,0.0166079998016357,0.0126207998022437,0.0115839997306466,0.0020520560425124,0.0737600028514862,0.0824320018291473,0.0785408020019531,0.0805760025978088,0.0037196395027591,0.0160319991409778,0.0197119992226362,0.017247999459505,0.0165759995579719,0.0013346723302872,2048,32,4,16,1,4096,1,0,0,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0168639998883008,0.0186560004949569,0.0176320001482963,0.0171520002186298,0.0007903416075862,0.0399679988622665,0.0441280007362365,0.0415231995284557,0.0400959998369216,0.0018415551204599,0.0115520004183053,0.0121600003913044,0.011833600141108,0.0117119997739791,0.0002587057683676,0.0735360011458396,0.0799999982118606,0.0762943997979164,0.074592001736164,0.0027919259275157,0.0167679991573095,0.0180479995906353,0.0172159995883703,0.017119999974966,0.0004750681747807,2048,32,4,16,1,4096,1,0,32,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0164800006896257,0.0197119992226362,0.0174784000962972,0.0168639998883008,0.0011772168289438,0.0399999991059303,0.0500800013542175,0.0430655993521213,0.0404799990355968,0.0038395421383349,0.0113279996439814,0.0125759998336434,0.0118912000209093,0.0117760002613067,0.0004060849358114,0.0724800005555152,0.0792640000581741,0.0754559993743896,0.0740479975938797,0.0026137548448263,0.0163519997149705,0.0181760005652904,0.0170495998114347,0.0168319996446371,0.0006474450125064,2048,32,4,16,1,4096,1,0,64,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0163519997149705,0.0199679993093013,0.0171328000724315,0.0164800006896257,0.0014185203269438,0.0389119982719421,0.0478079989552497,0.0427135996520519,0.0419519990682601,0.0031767088420243,0.0110719995573163,0.012415999546647,0.0116031996905803,0.011392000131309,0.0004701277484239,0.0727680027484893,0.0828159973025322,0.0762943997979164,0.0736000016331672,0.0039304734580775,0.0163199994713068,0.0172799993306398,0.0167103998363018,0.0164480004459619,0.0004049737331541,2048,32,4,16,1,4096,1,0,96,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0168319996446371,0.0190079994499683,0.0173375997692346,0.0169280003756284,0.0008374955249684,0.0399039983749389,0.0438719987869262,0.0410239994525909,0.040447998791933,0.0014417764153549,0.0111360000446438,0.0121280001476407,0.011468799971044,0.0113279996439814,0.0003485504343718,0.0776000022888183,0.0877439975738525,0.0815295994281768,0.0784320011734962,0.0043409445413431,0.016287999227643,0.018368000164628,0.0170559998601675,0.0167999994009733,0.0007215275918034,2048,32,4,16,1,4096,1,0,128,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0168319996446371,0.0187199991196393,0.0173183999955654,0.016992000862956,0.0007046974130908,0.0400319993495941,0.0442560017108917,0.0414016000926494,0.0409599989652633,0.0015486686155293,0.0117119997739791,0.0150399999693036,0.0127040000632405,0.0123840002343058,0.0012176830174744,0.0768639966845512,0.084767997264862,0.0804223984479904,0.0788159966468811,0.0030026438072264,0.0165759995579719,0.0183039996773004,0.017119999602437,0.0168319996446371,0.0006111916543498,2048,32,4,16,1,4096,1,0,160,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0174080003052949,0.0236159991472959,0.0195071998983621,0.0188159998506307,0.0021285745817153,0.0421760007739067,0.0489600002765655,0.0463807992637157,0.0481919981539249,0.0026599369251657,0.0116159999743103,0.0474239997565746,0.0190655998885631,0.0120959999039769,0.0141807796257863,0.0807359963655471,0.1701759994029998,0.1049856007099151,0.0893440023064613,0.0332413766323605,0.0174400005489587,0.0248959995806217,0.0199103999882936,0.0177280008792877,0.0030082310791865,2048,32,4,16,1,4096,1,0,192,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0164800006896257,0.0195199996232986,0.0172736000269651,0.0167999994009733,0.0011318049772854,0.0404159985482692,0.0461760014295578,0.0422016002237796,0.0415039993822574,0.0020319780323119,0.0111360000446438,0.0126080000773072,0.0118527999147772,0.0118399998173117,0.0004696919820194,0.0777919963002204,0.0957119986414909,0.0833023995161056,0.0795520022511482,0.0068103161829537,0.0162560008466243,0.0185599997639656,0.0171072002500295,0.0168319996446371,0.0008314087617903,2048,32,4,16,1,4096,1,0,224,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0167999994009733,0.0189440008252859,0.0174079999327659,0.0170879997313022,0.0007913779856037,0.0405119992792606,0.0448319986462593,0.0416511997580528,0.0410879999399185,0.0016130788623263,0.0112319998443126,0.0129920002073049,0.0119424000382423,0.0119359996169805,0.0005988021002129,0.0759679973125457,0.0849599987268447,0.0792959988117218,0.0785280019044876,0.0030098379207202,0.0153919998556375,0.0176640003919601,0.0165247999131679,0.0165119990706443,0.0007492649369852,2048,32,4,16,1,4096,1,0,256,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
0.0167679991573095,0.0192639995366334,0.0174015998840332,0.016992000862956,0.0009372011385036,0.0405119992792606,0.0457599982619285,0.0420671999454498,0.041312001645565,0.0019320786226513,0.0116159999743103,0.012351999990642,0.0118591997772455,0.0118079995736479,0.0002564796121058,0.07846400141716,0.0878399983048439,0.0807424008846283,0.0787200033664703,0.003594577184078,0.0166400000452995,0.0184320006519556,0.0172992002218961,0.017119999974966,0.0006002369902542,2048,32,4,16,1,4096,1,0,288,False,AttentionBackend.FLASHINFER,False,even,[1],1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BF16,generic,none,False,0.0,0.0,0.0,,CUDA_EVENT,,,,,,,,,,
