time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.014112000353634357,0.015359999611973763,0.014521599933505058,0.014303999952971935,0.00044312761779983795,5,0.025599999353289604,0.03171199932694435,0.02804479971528053,0.027456000447273254,0.0020297788041545527,5,0.05801599845290184,0.06982400268316269,0.06108800023794174,0.05939200147986412,0.004437837163164849,5,0.009855999611318111,0.012160000391304493,0.010463999956846238,0.010111999697983265,0.000853866726343424,5,0.012512000277638435,0.013663999736309052,0.012883200123906136,0.012736000120639801,0.0004070921232764048,5,2048,32,4,16,4,16384,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,BF16,CUDA_EVENT,generic,generic,none
0.013535999692976475,0.017632000148296356,0.014822399988770486,0.014047999866306782,0.001482315315764017,5,0.026048000901937485,0.03049599938094616,0.027532799914479256,0.026815999299287796,0.0016016116358838419,5,0.056992001831531525,0.06496000289916992,0.05926400050520897,0.05830400064587593,0.002952822629113348,5,0.009696000255644321,0.011455999687314034,0.010361599922180175,0.010111999697983265,0.000642682340383266,5,0.01244799979031086,0.013120000250637531,0.01271039992570877,0.012575999833643436,0.0002398080838585743,5,2048,32,4,16,4,16384,1,160,0,True,FLASHINFER,False,even,[160],160,160,160,160.0,160,0.0,0.0,0.0,False,0,160,160,BF16,CUDA_EVENT,generic,generic,none
0.01360000018030405,0.01539199985563755,0.014176000095903873,0.01398400031030178,0.0006501593101503664,5,0.024992000311613083,0.0289280004799366,0.026259199902415275,0.025728000327944756,0.0014035714080592391,5,0.0562559999525547,0.06393600255250931,0.059136000275611875,0.058079998940229416,0.0028941178331376317,5,0.009855999611318111,0.010912000201642513,0.010169599950313569,0.010080000385642052,0.00038474609563710744,5,0.01190400030463934,0.012927999719977379,0.012275199964642524,0.01228800043463707,0.00036909740084025,5,2048,32,4,16,4,16384,1,416,0,True,FLASHINFER,False,even,[416],416,416,416,416.0,416,0.0,0.0,0.0,False,0,416,416,BF16,CUDA_EVENT,generic,generic,none
0.013472000136971474,0.023264000192284584,0.016025600023567677,0.0144640002399683,0.003649032907260143,5,0.02595200017094612,0.036928001791238785,0.028908800706267355,0.02675200067460537,0.004144592246478733,5,0.05539200082421303,0.06195199862122536,0.059487999975681306,0.059328000992536545,0.0023776663997077084,5,0.010015999898314476,0.011711999773979187,0.010745600052177905,0.010688000358641148,0.0005544040066018975,5,0.012319999746978283,0.013088000006973743,0.012787199951708317,0.012864000163972378,0.0002596539907636084,5,2048,32,4,16,4,16384,1,352,0,True,FLASHINFER,False,even,[352],352,352,352,352.0,352,0.0,0.0,0.0,False,0,352,352,BF16,CUDA_EVENT,generic,generic,none
0.014175999909639359,0.01696000061929226,0.015353599935770035,0.015296000055968761,0.0010625543892484994,5,0.02630399912595749,0.030880000442266464,0.02778239957988262,0.02751999907195568,0.0016347463976891638,5,0.058111999183893204,0.06780800223350525,0.06154880076646805,0.06028800085186958,0.003355798760605997,5,0.010015999898314476,0.01158399973064661,0.010675199888646602,0.010304000228643417,0.0006490873395648948,5,0.012799999676644802,0.01408000010997057,0.01340159997344017,0.013279999606311321,0.000492176372210594,5,2048,32,4,16,4,16384,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,CUDA_EVENT,generic,generic,none
0.013472000136971474,0.015647999942302704,0.014310400187969207,0.014240000396966934,0.0008111604291201314,5,0.025439999997615814,0.027615999802947044,0.02613760009407997,0.02579200081527233,0.0007728909340634552,5,0.05567999929189682,0.06070400029420853,0.05742079988121986,0.057151999324560165,0.001763731740450339,5,0.009568000212311745,0.010912000201642513,0.010086400061845779,0.009920000098645687,0.0004803839483521313,5,0.011872000060975552,0.013632000423967838,0.012441600300371647,0.012256000190973282,0.0006129984853369397,5,2048,32,4,16,4,16384,1,672,0,True,FLASHINFER,False,even,[672],672,672,672,672.0,672,0.0,0.0,0.0,False,0,672,672,BF16,CUDA_EVENT,generic,generic,none
0.013887999579310417,0.015104000456631184,0.014297600090503692,0.01398400031030178,0.0004786757539212512,5,0.025599999353289604,0.028736000880599022,0.026387200132012366,0.02582399919629097,0.001181940239982972,5,0.055296000093221664,0.06147199869155884,0.057292799651622775,0.056352000683546066,0.0021804749588029723,5,0.010304000228643417,0.01071999967098236,0.010483199916779994,0.010463999584317207,0.00013963135743964579,5,0.012000000104308128,0.013376000337302685,0.012582400254905224,0.012480000033974648,0.00046916851689473226,5,2048,32,4,16,4,16384,1,608,0,True,FLASHINFER,False,even,[608],608,608,608,608.0,608,0.0,0.0,0.0,False,0,608,608,BF16,CUDA_EVENT,generic,generic,none
0.014047999866306782,0.015615999698638916,0.014604799821972847,0.014399999752640724,0.000571215686394131,5,0.02659199945628643,0.031136000528931618,0.028486399725079537,0.028384000062942505,0.0015631471054559259,5,0.05734400078654289,0.07155200093984604,0.06389120146632195,0.0639680027961731,0.0046480308471210105,5,0.009920000098645687,0.011615999974310398,0.010681600123643876,0.010623999871313572,0.0005775623044458973,5,0.012512000277638435,0.013567999936640263,0.01285760011523962,0.012703999876976013,0.0003728513962103908,5,2048,32,4,16,4,16384,1,320,0,True,FLASHINFER,False,even,[320],320,320,320,320.0,320,0.0,0.0,0.0,False,0,320,320,BF16,CUDA_EVENT,generic,generic,none
0.013504000380635262,0.015231999568641186,0.014240000024437904,0.014175999909639359,0.000569563797098468,5,0.025472000241279602,0.02703999914228916,0.026361599937081336,0.026464000344276428,0.0005117595590819519,5,0.05766399949789047,0.062111999839544296,0.05889279991388321,0.05804799869656563,0.0016502322679615511,5,0.009472000412642956,0.010111999697983265,0.009715200029313564,0.009568000212311745,0.00025487740334433567,5,0.011648000217974186,0.012864000163972378,0.012217599898576736,0.012191999703645706,0.000394210915976178,5,2048,32,4,16,4,16384,1,928,0,True,FLASHINFER,False,even,[928],928,928,928,928.0,928,0.0,0.0,0.0,False,0,928,928,BF16,CUDA_EVENT,generic,generic,none
0.01369599997997284,0.016672000288963318,0.014547199942171574,0.014175999909639359,0.0010835865176965192,5,0.02595200017094612,0.029343999922275543,0.026847999915480612,0.026399999856948853,0.0012608162472734809,5,0.056543998420238495,0.061824001371860504,0.058316799253225325,0.05756799876689911,0.001972156579375364,5,0.010048000141978264,0.01033599954098463,0.010208000056445598,0.010208000428974628,9.706062360911688e-05,5,0.01190400030463934,0.012736000120639801,0.012390400096774102,0.012480000033974648,0.00031509827238181495,5,2048,32,4,16,4,16384,1,864,0,True,FLASHINFER,False,even,[864],864,864,864,864.0,864,0.0,0.0,0.0,False,0,864,864,BF16,CUDA_EVENT,generic,generic,none
