time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature,is_true_mixed_batch,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_decode_tokens,decode_avg_kv_cache_size,batch_composition_ratio
0.005760000087320805,0.010520000010728836,0.007032000087201595,0.005840000230818987,0.0018311788312138579,5,0.02019999921321869,0.026000000536441803,0.02257619984447956,0.0213600005954504,0.002472652481918459,5,0.18940100073814392,0.22091999650001526,0.20299240052700043,0.19840100407600403,0.012859809749258875,5,0.004240000154823065,0.006039999891072512,0.005512000061571598,0.005880000069737434,0.0006584344455928838,5,0.005520000122487545,0.005919999908655882,0.005800000019371509,0.005840000230818987,0.0001475126476119289,5,2880,64,8,1,8,9216,1,32,0,True,TORCH_SDPA,False,even,[32],32,32.0,32.0,32.0,32.0,0.0,0.0,0.0,False,0,32,32,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00687999976798892,0.010520000010728836,0.007751999981701374,0.0069599999114871025,0.001401119581205936,5,0.018519999459385872,0.047279998660087585,0.02595999985933304,0.021880000829696655,0.010789713061368382,5,0.17739999294281006,0.2319200038909912,0.19875239729881286,0.19808100163936615,0.018562331040180326,5,0.005040000192821026,0.005840000230818987,0.005552000086754561,0.0055599999614059925,0.0002943739438396865,5,0.00571999978274107,0.006240000016987324,0.005984000023454427,0.006000000052154064,0.00021555517293040118,5,2880,64,8,1,8,9216,1,160,0,True,TORCH_SDPA,False,even,[160],160,160.0,160.0,160.0,160.0,0.0,0.0,0.0,False,0,160,160,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004399999976158142,0.007199999876320362,0.005816000048071146,0.005840000230818987,0.0008856545319360125,5,0.015279999934136868,0.020920999348163605,0.018104199878871442,0.017960000783205032,0.0018594379940718533,5,0.18943999707698822,0.22224000096321106,0.20237660109996797,0.19736100733280182,0.0116783365648611,5,0.004279999993741512,0.00824000034481287,0.005616000015288591,0.00547999981790781,0.0014336751016805686,5,0.004399999976158142,0.007120000198483467,0.005632000043988228,0.005439999978989363,0.0008775967830074083,5,2880,64,8,1,8,9216,1,288,0,True,TORCH_SDPA,False,even,[288],288,288.0,288.0,288.0,288.0,0.0,0.0,0.0,False,0,288,288,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.005880000069737434,0.009200000204145908,0.007488000020384788,0.007679999805986881,0.0010849959027564662,5,0.01916000060737133,0.04603999853134155,0.025400000065565108,0.020880000665783882,0.010341836581844401,5,0.20396000146865845,0.26580101251602173,0.22888880372047424,0.22356100380420685,0.023769389885976006,5,0.005760000087320805,0.007840000092983246,0.006535999942570925,0.006639999803155661,0.0007570891801719365,5,0.0055599999614059925,0.00812000036239624,0.006840000115334988,0.007079999893903732,0.0009911610069770682,5,2880,64,8,1,8,9216,1,416,0,True,TORCH_SDPA,False,even,[416],416,416.0,416.0,416.0,416.0,0.0,0.0,0.0,False,0,416,416,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.005080000031739473,0.013159999623894691,0.007951999921351672,0.007400000002235174,0.0028440420612868772,5,0.018799999728798866,0.05400000140070915,0.029024000093340874,0.023240000009536743,0.01312723271775183,5,0.20028099417686462,0.3129209876060486,0.22973659932613372,0.2062000036239624,0.04280803307993236,5,0.00571999978274107,0.007400000002235174,0.006319999881088734,0.0061599998734891415,0.0006103114468906818,5,0.00443999981507659,0.0075599998235702515,0.006023999955505133,0.005880000069737434,0.0010903503779240314,5,2880,64,8,1,8,9216,1,544,0,True,TORCH_SDPA,False,even,[544],544,544.0,544.0,544.0,544.0,0.0,0.0,0.0,False,0,544,544,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004360000137239695,0.00687999976798892,0.005752000026404858,0.005840000230818987,0.0008045469713949237,5,0.017640000209212303,0.02404000051319599,0.019648199900984764,0.018480999395251274,0.002348878565333478,5,0.1990009993314743,0.22440099716186523,0.20810460150241852,0.20200000703334808,0.010179969005587588,5,0.00443999981507659,0.007400000002235174,0.005967999994754791,0.005880000069737434,0.0009534443556935213,5,0.005760000087320805,0.005840000230818987,0.005816000141203403,0.005840000230818987,3.2000080682464336e-05,5,2880,64,8,1,8,9216,1,672,0,True,TORCH_SDPA,False,even,[672],672,672.0,672.0,672.0,672.0,0.0,0.0,0.0,False,0,672,672,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.005799999926239252,0.010320000350475311,0.007848000153899193,0.007360000163316727,0.001942600389029901,5,0.0175199992954731,0.03840000182390213,0.0222960002720356,0.018319999799132347,0.00806928478440241,5,0.1865610033273697,0.23547999560832977,0.20658439993858338,0.20468099415302277,0.016831946229147122,5,0.004360000137239695,0.007040000054985285,0.005840000044554472,0.005880000069737434,0.0008737962878017762,5,0.005760000087320805,0.0069599999114871025,0.006056000106036663,0.005840000230818987,0.00045367820408295003,5,2880,64,8,1,8,9216,1,96,0,True,TORCH_SDPA,False,even,[96],96,96.0,96.0,96.0,96.0,0.0,0.0,0.0,False,0,96,96,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00431999983265996,0.0075599998235702515,0.006200199946761131,0.006120000034570694,0.0011875959483478987,5,0.018799999728798866,0.03708000108599663,0.02391200065612793,0.020400000736117363,0.006842427900732695,5,0.19964100420475006,0.24844099581241608,0.2179286003112793,0.21379999816417694,0.016482183781817233,5,0.00571999978274107,0.007400000002235174,0.006391999963670969,0.006479999981820583,0.000619367446359876,5,0.004360000137239695,0.007679999805986881,0.006407999992370605,0.006560000125318766,0.0012428096387575621,5,2880,64,8,1,8,9216,1,800,0,True,TORCH_SDPA,False,even,[800],800,800.0,800.0,800.0,800.0,0.0,0.0,0.0,False,0,800,800,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004360000137239695,0.008080000057816505,0.00672019999474287,0.007040000054985285,0.001268189270189226,5,0.01971999928355217,0.0703200027346611,0.03329600058495998,0.020519999787211418,0.019503742038359872,5,0.21855999529361725,0.2770009934902191,0.23771219551563263,0.22935999929904938,0.020777586471303126,5,0.004480000119656324,0.007600000128149986,0.005704000033438206,0.004519999958574772,0.0014678637809277593,5,0.00443999981507659,0.007960000075399876,0.005391999986022711,0.004480000119656324,0.0013570320718226771,5,2880,64,8,1,8,9216,1,928,0,True,TORCH_SDPA,False,even,[928],928,928.0,928.0,928.0,928.0,0.0,0.0,0.0,False,0,928,928,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00687999976798892,0.0284000001847744,0.011648000031709672,0.007400000002235174,0.008386709565808241,5,0.01868000067770481,0.07896099984645844,0.03254420049488545,0.01988000050187111,0.02334682625190071,5,0.19555999338626862,0.5010809898376465,0.270672595500946,0.2136009931564331,0.11649732139207984,5,0.005679999943822622,0.006839999929070473,0.006503999885171652,0.006639999803155661,0.00042977201816149935,5,0.005799999926239252,0.007240000180900097,0.006352000124752522,0.005840000230818987,0.0006466652929689321,5,2880,64,8,1,8,9216,1,352,0,True,TORCH_SDPA,False,even,[352],352,352.0,352.0,352.0,352.0,0.0,0.0,0.0,False,0,352,352,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00431999983265996,0.0069599999114871025,0.00494399992749095,0.004480000119656324,0.0010111696121205892,5,0.012600000016391277,0.04400099813938141,0.02059219963848591,0.01360000018030405,0.012025093821529654,5,0.22460000216960907,0.31275999546051025,0.2586483955383301,0.245960995554924,0.0302173086710159,5,0.004399999976158142,0.004519999958574772,0.0044639999978244305,0.004480000119656324,5.425864106902378e-05,5,0.004399999976158142,0.004879999905824661,0.0045519999228417875,0.004519999958574772,0.00017045820144199165,5,2880,64,8,1,8,9216,1,1088,0,True,TORCH_SDPA,False,even,[1088],1088,1088.0,1088.0,1088.0,1088.0,0.0,0.0,0.0,False,0,1088,1088,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004399999976158142,0.005200000014156103,0.004624000005424023,0.004480000119656324,0.00029241066464405106,5,0.012400000356137753,0.024560000747442245,0.01539200022816658,0.012679999694228172,0.004668149339567672,5,0.2229209989309311,0.31968098878860474,0.2562009960412979,0.24620099365711212,0.033716963917829294,5,0.004480000119656324,0.007000000216066837,0.005016000010073185,0.004519999958574772,0.0009923226285795939,5,0.00443999981507659,0.004559999797493219,0.004487999994307756,0.004480000119656324,3.919179212101793e-05,5,2880,64,8,1,8,9216,1,1344,0,True,TORCH_SDPA,False,even,[1344],1344,1344.0,1344.0,1344.0,1344.0,0.0,0.0,0.0,False,0,1344,1344,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.005119999870657921,0.007720000110566616,0.007055999990552664,0.007519999984651804,0.000974753359046004,5,0.01995999924838543,0.05272100120782852,0.02752019986510277,0.02143999934196472,0.012624567200682299,5,0.19312000274658203,0.2528800070285797,0.2100806027650833,0.19860099256038666,0.02234935722036749,5,0.005960000213235617,0.007319999858736992,0.0064639999531209465,0.006279999855905771,0.0005031738588798651,5,0.005640000104904175,0.0074800001457333565,0.006799999997019768,0.00687999976798892,0.0006237948282813854,5,2880,64,8,1,8,9216,1,608,0,True,TORCH_SDPA,False,even,[608],608,608.0,608.0,608.0,608.0,0.0,0.0,0.0,False,0,608,608,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00431999983265996,0.004519999958574772,0.004424199927598238,0.004399999976158142,6.990395876186425e-05,5,0.012480000033974648,0.04163999855518341,0.01860799975693226,0.012760000303387642,0.011522871266842807,5,0.24820099771022797,0.35951998829841614,0.2738485962152481,0.2529209852218628,0.04301729023842355,5,0.00443999981507659,0.004519999958574772,0.00447199996560812,0.004480000119656324,2.9933337677144675e-05,5,0.004399999976158142,0.00800000037997961,0.0051520000211894516,0.00443999981507659,0.0014242248815454681,5,2880,64,8,1,8,9216,1,1600,0,True,TORCH_SDPA,False,even,[1600],1600,1600.0,1600.0,1600.0,1600.0,0.0,0.0,0.0,False,0,1600,1600,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00443999981507659,0.00800000037997961,0.00696000000461936,0.007319999858736992,0.001285986134218743,5,0.020160000771284103,0.025520000606775284,0.02205599993467331,0.020519999787211418,0.002148204946779209,5,0.20292100310325623,0.22324000298976898,0.21122460067272186,0.21144099533557892,0.00723312993569164,5,0.004279999993741512,0.006279999855905771,0.00516799995675683,0.004519999958574772,0.0008959999815228277,5,0.004279999993741512,0.007319999858736992,0.005808000080287456,0.0060800001956522465,0.0010847008348232802,5,2880,64,8,1,8,9216,1,864,0,True,TORCH_SDPA,False,even,[864],864,864.0,864.0,864.0,864.0,0.0,0.0,0.0,False,0,864,864,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004399999976158142,0.014879999682307243,0.006575999967753887,0.004480000119656324,0.00415273196950637,5,0.014120999723672867,0.04552000015974045,0.020752199925482273,0.014759999699890614,0.012386425082502622,5,0.31508100032806396,0.4588809907436371,0.34625680446624757,0.3170410096645355,0.0564261087374309,5,0.004480000119656324,0.004559999797493219,0.004527999926358462,0.004519999958574772,2.9933138551795365e-05,5,0.00443999981507659,0.004600000102072954,0.004535999894142151,0.004559999797493219,5.4258695995502165e-05,5,2880,64,8,1,8,9216,1,1856,0,True,TORCH_SDPA,False,even,[1856],1856,1856.0,1856.0,1856.0,1856.0,0.0,0.0,0.0,False,0,1856,1856,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004399999976158142,0.004840000066906214,0.004511999990791082,0.00443999981507659,0.0001666613773749927,5,0.015560000203549862,0.05764000117778778,0.024415999837219714,0.016519999131560326,0.01661894117968127,5,0.40004101395606995,0.5133219957351685,0.4244412064552307,0.40328100323677063,0.044463103257032524,5,0.004360000137239695,0.004519999958574772,0.004408000037074089,0.004360000137239695,6.399990525103007e-05,5,0.00431999983265996,0.004519999958574772,0.004392000008374452,0.004360000137239695,6.881859566138262e-05,5,2880,64,8,1,8,9216,1,2112,0,True,TORCH_SDPA,False,even,[2112],2112,2112.0,2112.0,2112.0,2112.0,0.0,0.0,0.0,False,0,2112,2112,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00443999981507659,0.009279999881982803,0.006127999909222126,0.005520000122487545,0.0018273303044820445,5,0.012559999711811543,0.09139999747276306,0.03051219955086708,0.013000000268220901,0.03070350709650293,5,0.22948099672794342,0.3205600082874298,0.2626244008541107,0.24819999933242798,0.03334345160423143,5,0.004399999976158142,0.004519999958574772,0.004463999904692173,0.00443999981507659,4.800002401078793e-05,5,0.004360000137239695,0.005160000175237656,0.00458399998024106,0.00443999981507659,0.00029567556954966396,5,2880,64,8,1,8,9216,1,1216,0,True,TORCH_SDPA,False,even,[1216],1216,1216.0,1216.0,1216.0,1216.0,0.0,0.0,0.0,False,0,1216,1216,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.007120000198483467,0.007519999984651804,0.00724000008776784,0.007160000037401915,0.00014532717006836821,5,0.018959999084472656,0.02443999983370304,0.020535999536514284,0.019759999588131905,0.002003612936282155,5,0.18704000115394592,0.2242799997329712,0.19915240108966828,0.1929209977388382,0.013806031201091088,5,0.004519999958574772,0.01351999957114458,0.0070639998652040955,0.00571999978274107,0.0032665674725157433,5,0.005439999978989363,0.006680000107735395,0.005984000023454427,0.005919999908655882,0.0004777279707956516,5,2880,64,8,1,8,9216,1,192,0,True,TORCH_SDPA,False,even,[192],192,192.0,192.0,192.0,192.0,0.0,0.0,0.0,False,0,192,192,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.004600000102072954,0.008081000298261642,0.005560200102627278,0.004600000102072954,0.0013601354086944463,5,0.01664000004529953,0.0258799996227026,0.018616000190377235,0.016720000654459,0.003635874295161618,5,0.49984100461006165,0.5723209977149963,0.516921603679657,0.5049620270729065,0.027856245543625816,5,0.004480000119656324,0.005439999978989363,0.004719999991357327,0.004559999797493219,0.0003622153970179805,5,0.004480000119656324,0.004639999940991402,0.004535999987274409,0.004519999958574772,5.986643889284003e-05,5,2880,64,8,1,8,9216,1,2368,0,True,TORCH_SDPA,False,even,[2368],2368,2368.0,2368.0,2368.0,2368.0,0.0,0.0,0.0,False,0,2368,2368,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.005799999926239252,0.012919999659061432,0.007871999964118003,0.007079999893903732,0.0025987564801701916,5,0.017319999635219574,0.05260000005364418,0.026575999706983565,0.02167999930679798,0.013213970945060311,5,0.1905210018157959,0.24855999648571014,0.20989639759063722,0.20367999374866486,0.020467663837763217,5,0.004399999976158142,0.006680000107735395,0.005656000040471554,0.005760000087320805,0.0007290981105579088,5,0.004480000119656324,0.0074800001457333565,0.005991999991238117,0.005880000069737434,0.0010832248026300794,5,2880,64,8,1,8,9216,1,128,0,True,TORCH_SDPA,False,even,[128],128,128.0,128.0,128.0,128.0,0.0,0.0,0.0,False,0,128,128,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.00443999981507659,0.00559999980032444,0.004799999948590994,0.004480000119656324,0.00046026078755049426,5,0.014039999805390835,0.04039999842643738,0.019455999694764615,0.0142000000923872,0.010473603521738956,5,0.27820101380348206,0.38628101348876953,0.30196900963783263,0.2825610041618347,0.0422047932531831,5,0.004399999976158142,0.004480000119656324,0.004447999969124794,0.00443999981507659,2.9933337677144675e-05,5,0.004360000137239695,0.004559999797493219,0.0044559999369084835,0.00443999981507659,6.499222893130033e-05,5,2880,64,8,1,8,9216,1,1728,0,True,TORCH_SDPA,False,even,[1728],1728,1728.0,1728.0,1728.0,1728.0,0.0,0.0,0.0,False,0,1728,1728,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.0074800001457333565,0.026480000466108322,0.011664000153541566,0.0081599997356534,0.007418920832754621,5,0.015960000455379486,0.08144000172615051,0.034840000420808794,0.02208000048995018,0.023982060486060636,5,0.2032810002565384,0.5050809979438782,0.2809686005115509,0.23216000199317932,0.11325231292730939,5,0.006120000034570694,0.008200000040233135,0.00660800002515316,0.006240000016987324,0.0007989593359830967,5,0.005760999862104654,0.007079999893903732,0.006616200041025877,0.006680000107735395,0.00046925666813706735,5,2880,64,8,1,8,9216,1,448,0,True,TORCH_SDPA,False,even,[448],448,448.0,448.0,448.0,448.0,0.0,0.0,0.0,False,0,448,448,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.006639999803155661,0.008919999934732914,0.00737599991261959,0.007079999893903732,0.0008125417191951265,5,0.01875999942421913,0.025439999997615814,0.020440199971199037,0.019321000203490257,0.002511324801846666,5,0.17904099822044373,0.2131199985742569,0.191184401512146,0.18644000589847565,0.012404127099851036,5,0.004840000066906214,0.006200000178068876,0.0055680000223219395,0.005679999943822622,0.00047893219874616845,5,0.005400000140070915,0.012919999659061432,0.007239999994635582,0.0060800001956522465,0.0028524233646287124,5,2880,64,8,1,8,9216,1,64,0,True,TORCH_SDPA,False,even,[64],64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,False,0,64,64,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
0.005799999926239252,0.01336000021547079,0.008056000061333179,0.007519999984651804,0.002775158433022918,5,0.01759999990463257,0.04424000158905983,0.028456000238657,0.020919999107718468,0.011927719040623697,5,0.20972000062465668,0.3113209903240204,0.23591259717941285,0.21424099802970886,0.03876168386066158,5,0.005080000031739473,0.006719999946653843,0.006056199967861176,0.006320999935269356,0.0006086129113522784,5,0.005760000087320805,0.008441000245511532,0.006336200144141912,0.005840000230818987,0.0010528180615707945,5,2880,64,8,1,8,9216,1,224,0,True,TORCH_SDPA,False,even,[224],224,224.0,224.0,224.0,224.0,0.0,0.0,0.0,False,0,224,224,BF16,CUDA_EVENT,generic,generic,none,False,,,,,,,,,,
