time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.009560000151395798,0.04543999955058098,0.012963024992495775,0.013019999954849482,0.0058355903148572886,40.0,0.014759999699890614,0.023439999669790268,0.015898099914193154,0.015339999925345182,0.0019027895644193166,20.0,0.10124000161886215,0.1881999969482422,0.10775019899010659,0.10253999754786491,0.018589669247948467,20,0.08151999861001968,0.09256000071763992,0.08692630007863045,0.0861005000770092,0.003089285901474651,20,0.07463999837636948,0.08423999696969986,0.07702824957668782,0.07592049986124039,0.0023557916364116077,20,0.02043999917805195,0.022241000086069107,0.021220049913972618,0.021139999851584435,0.000508195059660287,20.0,64,8,2880,2880,201088,True,False,False,3968,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.00887999963015318,0.02507999911904335,0.011545024928636849,0.011900000274181366,0.0031858805655564084,40.0,0.014039999805390835,0.021800000220537186,0.01479405011050403,0.01432000007480383,0.0016769426625906324,20.0,0.09567999839782715,0.18316100537776947,0.10186029970645905,0.09700049832463264,0.018757240376686267,20,0.07779999822378159,0.08395999670028687,0.080452199280262,0.07993999868631363,0.0016114250710751999,20,0.07487999647855759,0.07856100052595139,0.07604419998824596,0.07580000162124634,0.0009797256686078896,20,0.017720000818371773,0.01860000006854534,0.01822809986770153,0.018239999189972878,0.00024170727761648917,20.0,64,8,2880,2880,201088,True,False,False,3712,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.00824000034481287,0.02855999954044819,0.010796999977901577,0.010900000110268593,0.0037812312760331893,40.0,0.013679999858140945,0.021399999037384987,0.014324099896475673,0.013920499943196774,0.0016325864920491622,20.0,0.08404000103473663,0.14976100623607635,0.0885683499276638,0.08501999825239182,0.014082027099412605,20,0.06712000072002411,0.07304000109434128,0.0697160005569458,0.06977999955415726,0.001409504992374584,20,0.06703999638557434,0.07295999675989151,0.06828814931213856,0.06799999624490738,0.0012144762373043495,20,0.018160000443458557,0.020999999716877937,0.01872999994084239,0.01862000022083521,0.0005715766803017804,20.0,64,8,2880,2880,201088,True,False,False,3456,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.00791999977082014,0.02531999908387661,0.010292024980299175,0.010220000054687262,0.0033421898616670196,40.0,0.012919999659061432,0.024721000343561172,0.013986099883913994,0.013179999776184559,0.002549399825942205,20.0,0.07767999917268753,0.14552000164985657,0.08176819980144501,0.07832049950957298,0.014638972152484811,20,0.06532099843025208,0.07464099675416946,0.06839024983346462,0.0681999996304512,0.002302570401347346,20,0.061400000005960464,0.0740400031208992,0.06286615002900361,0.062280500307679176,0.0026024449951423724,20,0.016519999131560326,0.018319999799132347,0.016908099688589574,0.016720499843358994,0.00043193347754359236,20.0,64,8,2880,2880,201088,True,False,False,3200,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.007360000163316727,0.021399999037384987,0.00966100002406165,0.009560000151395798,0.002790268544377531,40.0,0.012160000391304493,0.030559999868273735,0.013638050062581897,0.012380000203847885,0.003963050322822785,20.0,0.06691999733448029,0.1550000011920929,0.07252014987170696,0.06758049875497818,0.018963203617475097,20,0.0727199986577034,0.07816000282764435,0.07401419952511787,0.07359999790787697,0.0012907884199757696,20,0.06207999959588051,0.0756400004029274,0.0638682497665286,0.06310049816966057,0.002815076400393034,20,0.016359999775886536,0.01907999999821186,0.01697399988770485,0.016599999740719795,0.0008078886994944974,20.0,64,8,2880,2880,201088,True,False,False,2944,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.007079999893903732,0.03587999939918518,0.009634999930858612,0.009099999908357859,0.005819210829208243,40.0,0.01143999956548214,0.018640000373125076,0.012692049844190478,0.011640500277280807,0.0021828217195514373,20.0,0.06136000156402588,0.13680100440979004,0.06565620042383671,0.06184050068259239,0.016327157006124568,20,0.06251999735832214,0.06728100031614304,0.06375214941799641,0.06330050155520439,0.001217207820889231,20,0.06276000291109085,0.0828000009059906,0.06486010029911995,0.06370050087571144,0.004262893551052797,20,0.015359999611973763,0.020679999142885208,0.01600804985500872,0.015599999576807022,0.0011257206269634785,20.0,64,8,2880,2880,201088,True,False,False,2688,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.007040000054985285,0.024879999458789825,0.008658024994656444,0.008220000192523003,0.0030486381754476133,40.0,0.010879999957978725,0.022600000724196434,0.0120879998896271,0.011020000092685223,0.0027921490793756517,20.0,0.05700099840760231,0.13404099643230438,0.06133219953626394,0.057499999180436134,0.016683870654125504,20,0.06072099879384041,0.06379999965429306,0.06184819974005222,0.061620499938726425,0.0009290411932183245,20,0.05724100023508072,0.08727999776601791,0.05974220000207424,0.058240000158548355,0.00634280480163456,20,0.014519999735057354,0.015239999629557133,0.014699999941512942,0.014639999717473984,0.00018568781446108405,20.0,64,8,2880,2880,201088,True,False,False,2432,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.007040000054985285,0.029160000383853912,0.008421000035014004,0.007600000128149986,0.003938811966895978,40.0,0.010400000028312206,0.023639999330043793,0.011831999896094203,0.010520000010728836,0.003331824511008855,20.0,0.05268000066280365,0.1265210062265396,0.05679425057023764,0.05284000001847744,0.016019914018339045,20,0.06627999991178513,0.07044000178575516,0.06761019974946976,0.06709999963641167,0.0011968491345653346,20,0.05139999836683273,0.07976000010967255,0.05365824978798628,0.05178000032901764,0.006231723704499487,20,0.01375999953597784,0.018640000373125076,0.014512000093236565,0.014120000414550304,0.0012182349609804021,20.0,64,8,2880,2880,201088,True,False,False,2176,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.007040000054985285,0.026000000536441803,0.008236000023316592,0.007419999921694398,0.003220258471580713,40.0,0.009279999881982803,0.017400000244379044,0.010212049959227443,0.009399999864399433,0.002081331099993057,20.0,0.052719999104738235,0.1257600039243698,0.05817214976996184,0.05316000059247017,0.015920534777058775,20,0.06443999707698822,0.06892000138759613,0.06599819958209992,0.06582000106573105,0.001172258484994141,20,0.05079999938607216,0.07968100160360336,0.05486614983528852,0.0518605001270771,0.006783115629588406,20,0.01128000020980835,0.012439999729394913,0.011874099913984536,0.011819999665021896,0.0003791270978036094,20.0,64,8,2880,2880,201088,True,False,False,1984,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
0.0069599999114871025,0.01616000011563301,0.007918049942236393,0.007199999876320362,0.0020217111604182675,40.0,0.009080000221729279,0.020919999107718468,0.010085999872535467,0.009159999899566174,0.0027610221601819694,20.0,0.046560999006032944,0.121799997985363,0.05820419955998659,0.05299999937415123,0.017671201315598177,20,0.06368099898099899,0.07267999649047852,0.06595624946057796,0.06518049910664558,0.0023410474464901324,20,0.049320001155138016,0.0788009986281395,0.06635824982076884,0.06709999963641167,0.006430607420673247,20,0.011119999922811985,0.014120000414550304,0.011716000130400061,0.011339999735355377,0.0008091378890020715,20.0,64,8,2880,2880,201088,True,False,False,1856,1,2880,2880,generic,generic,,,CUDA_EVENT,BF16,none
