time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.002816,0.00448,0.0036083809523809,0.003647,0.0002988537588202,0.0045759999999999,0.004864,0.00472475,0.0047675,9.716783161108422e-05,0.105183,0.106655,0.1058745,0.105888,0.000349808018776,0.008896,0.010144,0.0094351999999999,0.0094085,0.0003302403064436,0.094175,0.09616,0.09509215,0.0951994999999999,0.0005493336213085,0.005152,0.005728,0.00538245,0.0053765,0.0001454484358802,0.551613,0.55526,0.5532253500000001,0.5531325,0.0009360196191854,0.026944,0.029055,0.02770535,0.027616,0.0005409687860681,0.2963189999999999,0.304511,0.30051665,0.3003185,0.0024450330115358,128,8,16384,53248,128256,True,False,False,1,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.003264,0.004832,0.0042253809523809,0.004256,0.0003022023094346,0.00464,0.004928,0.0047456,0.0047834999999999,8.878254332919281e-05,0.106335,0.108479,0.10754805,0.107567,0.0005186948500804,0.009409,0.010432,0.0097133,0.009664,0.0002213890467028,0.094815,0.096575,0.09573515,0.095743,0.0004989423087893,0.005216,0.006208,0.0054305,0.00544,0.0002063769609234,0.554427,0.556187,0.5551123500000001,0.55478,0.000637041856945,0.02752,0.029088,0.02827015,0.028128,0.0004286779997853,0.297054,0.302494,0.29929045,0.2991655,0.0015299528579338,128,8,16384,53248,128256,True,False,False,2,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.003904,0.005728,0.0053790476190476,0.00544,0.0003748879802453,0.0045439999999999,0.004865,0.0046816999999999,0.0046879999999999,9.006003553186065e-05,0.105984,0.107424,0.1066187,0.1065915,0.0003315485032389,0.00928,0.010688,0.0096463,0.0095835,0.0003633583768127,0.094815,0.096575,0.09577545,0.0958395,0.0004621344474284,0.005184,0.0056,0.00533605,0.005344,0.0001170608709176,0.555485,0.558813,0.5568839999999999,0.5565895000000001,0.0009420995701092,0.027296,0.02848,0.0278943999999999,0.027824,0.0003536746244784,0.29587,0.302975,0.2990962,0.2992465000000001,0.0017410458523542,128,8,16384,53248,128256,True,False,False,4,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.005472,0.00848,0.0079983333333333,0.008095,0.0006123930680872,0.0045439999999999,0.004736,0.0046368,0.00464,8.276810980081658e-05,0.106208,0.107455,0.1067323499999999,0.106736,0.0002986448183042,0.009249,0.010432,0.0096271999999999,0.009536,0.0002726220093829,0.094752,0.0969599999999999,0.0960811,0.096176,0.0005020909180616,0.004992,0.00592,0.0053072,0.005328,0.0001834062703399,0.557341,0.559678,0.5587636500000001,0.558845,0.0006126689379265,0.02736,0.02912,0.02807505,0.028,0.0004715553493493,0.2971189999999999,0.303423,0.2993154,0.2986705,0.0016036878249834,128,8,16384,53248,128256,True,False,False,8,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.008512,0.014047,0.0128059523809523,0.01296,0.0010157637743843,0.0045439999999999,0.004769,0.0046096,0.004608,4.706527382263927e-05,0.106975,0.108095,0.10736215,0.1073905,0.0002728338826099,0.0093119999999999,0.010336,0.0096943,0.009664,0.0002107750222393,0.095679,0.097152,0.0966329,0.0967355,0.0004280465979306,0.005215,0.005824,0.0052975,0.005264,0.000132958452157,0.5618520000000001,0.56486,0.5632897000000001,0.5632915000000001,0.0007117562855359,0.027583,0.029248,0.0281132999999999,0.028064,0.0004379025119818,0.298846,0.301693,0.30014645,0.30011,0.0007617840556877,128,8,16384,53248,128256,True,False,False,16,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.00192,0.00304,0.0028190952380952,0.002848,0.0002154764167323,0.0045439999999999,0.004832,0.0046031499999999,0.0045759999999999,5.9991895285947e-05,0.112256,0.113823,0.11305535,0.113119,0.0004222153804635,0.0096,0.010112,0.0098414,0.00984,0.0001395816606864,0.0995509999999999,0.102432,0.10114495,0.101151,0.0006625228656431,0.005247,0.005536,0.00533595,0.005312,7.83584551915107e-05,0.57798,0.5816610000000001,0.5798327999999999,0.5795805,0.001088399770305,0.027616,0.029568,0.02829905,0.0282235,0.0004385499372933,0.310718,0.317086,0.31383475,0.31395,0.0019834461897162,128,8,16384,53248,128256,True,False,False,24,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.001984,0.003136,0.0029135238095238,0.002944,0.0002187080286913,0.0045439999999999,0.005216,0.0046222999999999,0.0045759999999999,0.0001404122857872,0.113087,0.1146229999999999,0.11391755,0.114015,0.000434663602686,0.009792,0.0111679999999999,0.01027355,0.0102565,0.0002909038457978,0.0994869999999999,0.102367,0.10110645,0.1010395,0.0007122086404277,0.005279,0.005888,0.00535995,0.005344,0.0001325509241763,0.575867,0.583131,0.5785172999999999,0.57814,0.0017575729316304,0.027904,0.029024,0.0285276999999999,0.028544,0.0003451147780087,0.309982,0.3186219999999999,0.3128360499999999,0.3123815,0.00246926429276,128,8,16384,53248,128256,True,False,False,32,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.002048,0.003904,0.0031527619047619,0.003136,0.0003351001136493,0.004575,0.004768,0.0046301999999999,0.004608,5.175480654006932e-05,0.112895,0.114879,0.1137425499999999,0.113599,0.0004723816756606,0.0096,0.010848,0.0101343499999999,0.0099995,0.0003421481075499,0.098078,0.099807,0.09892205,0.0989585,0.0003742895236311,0.005344,0.005696,0.0054912,0.005472,9.738767889214716e-05,0.574265,0.5789690000000001,0.5769500000000001,0.5769044999999999,0.0012792901938184,0.02816,0.030079,0.0286987,0.0286075,0.0004645423662057,0.3031,0.311484,0.3068221,0.3068605,0.0021256229651563,128,8,16384,53248,128256,True,False,False,40,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.002144,0.003392,0.0031771904761904,0.003232,0.000240502968806,0.0045439999999999,0.004895,0.00464465,0.004608,9.553704778775629e-05,0.112416,0.114272,0.11314825,0.1131995,0.0004605727819791,0.00976,0.010432,0.01011345,0.01008,0.0001896643021235,0.0975999999999999,0.099647,0.0988731499999999,0.0988314999999999,0.000543221435052,0.005471,0.006207,0.00565265,0.005568,0.0001971705543431,0.577501,0.581053,0.5795282,0.5794375,0.0010869905059383,0.028256,0.029248,0.02858705,0.028544,0.0002434083965273,0.302207,0.307742,0.30488645,0.3047984999999999,0.0014850953664664,128,8,16384,53248,128256,True,False,False,48,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
0.002304,0.003744,0.0033812857142857,0.003392,0.0002657451594966,0.004575,0.004832,0.00465425,0.00464,6.358842268841091e-05,0.114655,0.116575,0.1153255999999999,0.115279,0.0004609154369295,0.009791,0.010656,0.0101854499999999,0.010144,0.0002459277282048,0.098527,0.100063,0.0993834,0.0995675,0.0004504862262045,0.005631,0.006847,0.0058319,0.005792,0.0002623314506497,0.580828,0.5844750000000001,0.5818404500000002,0.5818035000000001,0.0007902150008067,0.028448,0.029664,0.02885415,0.028736,0.0003356844165283,0.303741,0.309086,0.3059945,0.305854,0.001176439734963,128,8,16384,53248,128256,True,False,False,56,1,16384,53248,generic,False,,,KERNEL_ONLY,BF16,method=fp8|act=none|serialized=False|block=none,generic
