arrived_at,num_prefill_tokens,num_decode_tokens
0.0,4096,1024
0.08116942457854748,4096,1024
0.24377083592116833,4096,1024
0.3238828796893358,4096,1024
0.793558869510889,4096,1024
1.0332248136401176,4096,1024
1.0333839766681194,4096,1024
1.352913336828351,4096,1024
3.207944333553314,4096,1024
5.305094223469496,4096,1024
5.544440668076277,4096,1024
6.558564184233546,4096,1024
7.6441168282181025,4096,1024
7.729321068152785,4096,1024
8.429123224690557,4096,1024
9.05460056476295,4096,1024
9.213637940585613,4096,1024
9.344120029360056,4096,1024
9.95850757136941,4096,1024
11.124213099479675,4096,1024
11.124659977853298,4096,1024
11.291701240465045,4096,1024
11.3745208196342,4096,1024
12.308845592662692,4096,1024
12.393909636884928,4096,1024
14.179924169555306,4096,1024
14.265228690579534,4096,1024
15.195002175867558,4096,1024
16.127221485599875,4096,1024
16.288622610270977,4096,1024
17.057395884767175,4096,1024
17.14087018556893,4096,1024
18.98768924921751,4096,1024
19.690692219883204,4096,1024
20.081986848264933,4096,1024
20.2428582534194,4096,1024
21.17314650118351,4096,1024
21.33291399665177,4096,1024
21.41636210680008,4096,1024
21.4996538143605,4096,1024
21.660326562821865,4096,1024
21.820809429511428,4096,1024
21.820979345589876,4096,1024
21.987597174942493,4096,1024
23.45634499564767,4096,1024
23.616603722795844,4096,1024
23.930065467953682,4096,1024
24.55104642547667,4096,1024
25.55311617255211,4096,1024
26.02489298954606,4096,1024
26.416607612743974,4096,1024
26.731394352391362,4096,1024
27.19940664060414,4096,1024
27.283431462943554,4096,1024
27.52105812728405,4096,1024
27.76215715147555,4096,1024
27.92451447620988,4096,1024
28.705293448641896,4096,1024
28.864942375570536,4096,1024
29.331389578059316,4096,1024
29.797687156125903,4096,1024
30.11175407655537,4096,1024
30.272360833361745,4096,1024
30.35576430335641,4096,1024
30.90164129808545,4096,1024
31.2930726390332,4096,1024
31.91223358362913,4096,1024
31.996069038286805,4096,1024
32.84833823516965,4096,1024
34.25218857638538,4096,1024
34.5679641533643,4096,1024
34.651955492794514,4096,1024
34.6519631575793,4096,1024
34.65214485116303,4096,1024
34.93843010440469,4096,1024
35.3376638032496,4096,1024
35.33781570009887,4096,1024
37.750809920951724,4096,1024
38.37738796137273,4096,1024
38.84794729948044,4096,1024
39.86174854636192,4096,1024
40.646120216697454,4096,1024
40.72988313622773,4096,1024
40.81412912532687,4096,1024
40.81425747089088,4096,1024
40.907753428444266,4096,1024
41.150359120219946,4096,1024
41.38937918283045,4096,1024
41.62863013707101,4096,1024
41.947196973487735,4096,1024
42.18624738045037,4096,1024
42.270257668569684,4096,1024
42.5110202729702,4096,1024
42.51115705445409,4096,1024
42.91489769332111,4096,1024
43.153462655842304,4096,1024
43.23851102590561,4096,1024
44.71752535365522,4096,1024
45.967784812673926,4096,1024
47.14090869948268,4096,1024
