snapshot,counts_waiting_running,counts_source,wave,publish_monotonic,applied_monotonic,provenance
23,"[[0, 5], [0, 3]]",latched_previous_step,3,2600651.979075878,2600651.979262413,"[{""engine"": 0, ""wave"": 3, ""step"": 38, ""iteration_seq"": 120, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 35, ""iteration_seq"": 97, ""branch"": ""applied_after_scheduling""}]"
24,"[[0, 6], [0, 3]]",latched_previous_step,3,2600652.07915447,2600652.079370144,"[{""engine"": 0, ""wave"": 3, ""step"": 44, ""iteration_seq"": 126, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 35, ""iteration_seq"": 97, ""branch"": ""applied_after_scheduling""}]"
25,"[[0, 5], [0, 5]]",latched_previous_step,3,2600652.179754002,2600652.179965794,"[{""engine"": 0, ""wave"": 3, ""step"": 61, ""iteration_seq"": 143, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 59, ""iteration_seq"": 121, ""branch"": ""applied_after_scheduling""}]"
26,"[[0, 5], [0, 5]]",latched_previous_step,3,2600652.279641901,2600652.279848308,"[{""engine"": 0, ""wave"": 3, ""step"": 64, ""iteration_seq"": 146, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 59, ""iteration_seq"": 121, ""branch"": ""applied_after_scheduling""}]"
27,"[[0, 6], [0, 5]]",latched_previous_step,3,2600652.380163157,2600652.380353241,"[{""engine"": 0, ""wave"": 3, ""step"": 75, ""iteration_seq"": 157, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 59, ""iteration_seq"": 121, ""branch"": ""applied_after_scheduling""}]"
28,"[[0, 5], [0, 5]]",latched_previous_step,3,2600652.480667425,2600652.480839994,"[{""engine"": 0, ""wave"": 3, ""step"": 81, ""iteration_seq"": 163, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 81, ""iteration_seq"": 143, ""branch"": ""applied_after_scheduling""}]"
29,"[[0, 5], [0, 6]]",latched_previous_step,3,2600652.580324726,2600652.580496208,"[{""engine"": 0, ""wave"": 3, ""step"": 95, ""iteration_seq"": 177, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 85, ""iteration_seq"": 147, ""branch"": ""applied_after_scheduling""}]"
30,"[[0, 5], [0, 5]]",latched_previous_step,3,2600652.680751111,2600652.680918947,"[{""engine"": 0, ""wave"": 3, ""step"": 101, ""iteration_seq"": 183, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 104, ""iteration_seq"": 166, ""branch"": ""applied_after_scheduling""}]"
31,"[[0, 6], [0, 6]]",latched_previous_step,3,2600652.780994025,2600652.781188862,"[{""engine"": 0, ""wave"": 3, ""step"": 112, ""iteration_seq"": 194, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 106, ""iteration_seq"": 168, ""branch"": ""applied_after_scheduling""}]"
32,"[[0, 5], [0, 5]]",latched_previous_step,3,2600652.880352202,2600652.880512502,"[{""engine"": 0, ""wave"": 3, ""step"": 121, ""iteration_seq"": 203, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 122, ""iteration_seq"": 184, ""branch"": ""applied_after_scheduling""}]"
