request_id,segment,role,arrived_at,dispatch_offset_s,route_monotonic,route_seq,engine,snapshot,counts_used,score,start_index,reservation,admitted_wave,admitted_step,admitted_branch,admitted_monotonic,http_status,ttft_ms,model_execution_time_ms
dpp1g3-w0,warmup,warmup,0.0,0.0013277782127261162,2600621.399679152,0,0,0,"[[0, 0], [0, 0]]",0,0,1,0,0,applied_after_scheduling,2600621.869035304,200,470.0281620025635,880.0919000059366
dpp1g3-w1,warmup,warmup,1.0,1.0002123289741576,2600622.390949556,3,0,3,"[[0, 0], [0, 0]]",0,0,1,0,17,applied_after_scheduling,2600622.406781164,200,16.41249656677246,42.29662613943219
dpp1g3-w2,warmup,warmup,2.0,2.0029307110235095,2600623.393463638,6,0,5,"[[0, 0], [0, 0]]",0,0,1,1,0,applied_after_scheduling,2600623.405685188,200,12.742280960083008,42.651202995330095
dpp1g3-b1,burst,formal,10.0,10.002295131795108,2600631.434137272,13,1,8,"[[2, 0], [1, 0]]",4,0,1,2,1,applied_after_scheduling,2600631.674475044,200,240.78989028930664,884.3354918062687
dpp1g3-b2,burst,formal,10.0,10.002428857143968,2600631.434450005,14,0,8,"[[2, 0], [2, 0]]",8,0,1,2,1,applied_after_scheduling,2600631.674567746,200,264.6796703338623,1276.2714722193778
dpp1g3-b3,burst,formal,10.0,10.0019751181826,2600631.433793349,12,0,8,"[[1, 0], [1, 0]]",4,0,1,2,1,applied_after_scheduling,2600631.674567746,200,241.2095069885254,887.2298770584166
dpp1g3-b4,burst,formal,10.0,10.001805652864277,2600631.433515386,11,1,8,"[[1, 0], [0, 0]]",0,0,1,2,0,applied_after_scheduling,2600631.470290236,200,36.90481185913086,907.9840290360153
dpp1g3-b5,burst,formal,10.0,10.001402435824275,2600631.433211992,10,0,8,"[[0, 0], [0, 0]]",0,0,1,2,0,applied_after_scheduling,2600631.467515412,200,34.74569320678711,908.1686758436263
dpp1g3-b6,burst,formal,10.15,10.15050886478275,2600631.541155848,16,0,9,"[[0, 1], [0, 1]]",1,0,1,2,2,applied_after_scheduling,2600631.698853632,200,158.0040454864502,1069.2139831371605
dpp1g3-s00,steady,formal,30.0,30.01491704210639,2600651.405602457,25,0,17,"[[0, 0], [0, 0]]",0,0,1,3,0,applied_after_scheduling,2600651.427881403,200,22.71103858947754,770.1805527321994
dpp1g3-s01,steady,formal,30.06,30.060619499068707,2600651.450893186,26,1,17,"[[1, 0], [0, 0]]",0,0,1,3,4,applied_after_scheduling,2600651.47818199,200,27.655363082885742,394.2913026548922
dpp1g3-s02,steady,formal,30.12,30.121106172911823,2600651.511231508,28,1,18,"[[0, 1], [0, 0]]",0,0,1,3,9,applied_after_scheduling,2600651.540532881,200,29.60658073425293,1121.9673147425056
dpp1g3-s03,steady,formal,30.18,30.181543975137174,2600651.572028787,29,0,18,"[[0, 1], [1, 0]]",1,0,1,3,14,applied_after_scheduling,2600651.601880583,200,30.140399932861328,572.6405009627342
dpp1g3-s04,steady,formal,30.24,30.2419478232041,2600651.631986502,31,0,19,"[[0, 1], [0, 1]]",1,0,1,3,18,applied_after_scheduling,2600651.650655246,200,18.92685890197754,751.9124620594084
dpp1g3-s05,steady,formal,30.3,30.300365718081594,2600651.690432624,33,0,20,"[[0, 2], [0, 2]]",2,0,1,3,23,applied_after_scheduling,2600651.710826692,200,20.709991455078125,378.88297718018293
dpp1g3-s06,steady,formal,30.36,30.360780579037964,2600651.750815381,34,1,20,"[[1, 2], [0, 2]]",2,0,1,3,28,applied_after_scheduling,2600651.767759569,200,17.400264739990234,1095.7160042598844
dpp1g3-s07,steady,formal,30.42,30.421194145921618,2600651.811301714,36,1,21,"[[0, 4], [0, 2]]",2,0,1,3,34,applied_after_scheduling,2600651.841067607,200,30.23529052734375,564.3042209558189
dpp1g3-s08,steady,formal,30.48,30.480291824787855,2600651.870140699,37,0,21,"[[0, 4], [1, 2]]",4,0,1,3,38,applied_after_scheduling,2600651.888353817,200,18.491506576538086,737.831826787442
dpp1g3-s09,steady,formal,30.54,30.540502176154405,2600651.930594175,39,0,22,"[[0, 4], [0, 4]]",4,0,1,3,44,applied_after_scheduling,2600651.957786701,200,27.452707290649414,375.49814069643617
dpp1g3-s10,steady,formal,30.6,30.600955170113593,2600651.991179373,41,1,23,"[[0, 5], [0, 3]]",3,0,1,3,49,applied_after_scheduling,2600652.015613222,200,24.735450744628906,1065.3822869062424
dpp1g3-s11,steady,formal,30.66,30.661400319077075,2600652.051650542,42,0,23,"[[0, 5], [1, 3]]",5,0,1,3,54,applied_after_scheduling,2600652.071942226,200,20.596027374267578,554.2369009926915
dpp1g3-s12,steady,formal,30.72,30.720858565997332,2600652.110884425,44,1,24,"[[0, 6], [0, 3]]",3,0,1,3,59,applied_after_scheduling,2600652.132930599,200,22.365570068359375,723.1803587637842
dpp1g3-s13,steady,formal,30.78,30.780477636959404,2600652.170501623,45,0,24,"[[0, 6], [1, 3]]",6,0,1,3,64,applied_after_scheduling,2600652.19034687,200,20.163774490356445,364.459240809083
