metric,unit,metric_statistic,frontier,vllm,absolute_error,relative_error_percent,numeric_threshold_status,sample_count,eligible_count,excluded_count,frontier_numerator,vllm_numerator,frontier_denominator,vllm_denominator,missing_request_ids,duplicate_request_ids
ttft,ms,mean,96.29026696068973,115.46643575032552,19.17616878963578,16.60756969332685,FAIL,3,3,0,288.8708008820692,346.39930725097656,3,3,[],[]
tpot,ms,mean,54.88189071772979,79.309142884304,24.427252166574206,30.800045591475662,FAIL,3,3,0,164.64567215318937,237.927428652912,3,3,[],[]
request_e2e,ms,mean,56240.46447119826,81250.2208550771,25009.75638387884,30.78115495647425,FAIL,3,3,0,168721.39341359478,243750.66256523132,3,3,[],[]
request_throughput,requests/s,formal_window_rate,0.053108597603020814,0.036811154711540124,0.01629744289148069,44.27310965708858,FAIL,3,3,0,3,3,56.488028970837675,81.49703598022461,[],[]
token_throughput,tokens/s,formal_window_rate,271.91601972746656,188.47311212308543,83.44290760438113,44.27310965708859,FAIL,3,3,0,15360,15360,56.488028970837675,81.49703598022461,[],[]
decode_throughput,tokens/s,formal_window_rate,54.383203945493314,37.69462242461709,16.688581520876227,44.27310965708858,FAIL,3,3,0,3072,3072,56.488028970837675,81.49703598022461,[],[]
