time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature,is_true_mixed_batch
0.005799999926239252,0.015560000203549862,0.008560000173747539,0.0074800001457333565,0.00361596463941531,5,0.017559999600052834,0.05119999870657921,0.02627999968826771,0.02175999991595745,0.01260166289246446,5,0.18595999479293823,0.2601200044155121,0.21079240143299102,0.20340000092983246,0.025675187940275616,5,0.005799999926239252,0.006920000072568655,0.006383999995887279,0.006440000142902136,0.00036625677503629103,5,0.005760000087320805,0.008080000057816505,0.006232000049203634,0.005760000087320805,0.0009241298642643892,5,2048,32,4,16,1,4096,1,64,0,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,CUDA_EVENT,generic,generic,none,False
0.005400000140070915,0.00788000039756298,0.006896000169217586,0.007120000198483467,0.0008434595909637653,5,0.01971999928355217,0.0575999990105629,0.027743999287486075,0.02019999921321869,0.014933657957626792,5,0.19016000628471375,0.27128100395202637,0.22231240272521974,0.2144400030374527,0.02676887861472185,5,0.006000000052154064,0.0075599998235702515,0.0066559999249875546,0.006639999803155661,0.000508865318813004,5,0.005760000087320805,0.007120999973267317,0.0062801999971270565,0.005840000230818987,0.000593579018076645,5,2048,32,4,16,1,4096,1,64,512,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,512,576,576,BF16,CUDA_EVENT,generic,generic,none,False
0.005799999926239252,0.009119999594986439,0.007352000009268523,0.007040000054985285,0.001127517552452347,5,0.018959999084472656,0.02280000038444996,0.020135999843478202,0.019680000841617584,0.0013790666926256348,5,0.1764409989118576,0.2096409946680069,0.19228060245513917,0.18688000738620758,0.01246699464352947,5,0.005040000192821026,0.0069599999114871025,0.005728000123053789,0.005520000122487545,0.0006704743658146739,5,0.005840000230818987,0.006479999981820583,0.006088000163435936,0.005960000213235617,0.00022824539512198493,5,2048,32,4,16,1,4096,1,64,448,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,448,512,512,BF16,CUDA_EVENT,generic,generic,none,False
0.0055599999614059925,0.007960000075399876,0.00730400001630187,0.0075599998235702515,0.0008870986992290375,5,0.020400000736117363,0.052560001611709595,0.028400200605392455,0.02276100032031536,0.012140181028318557,5,0.2340400069952011,0.3049609959125519,0.25873640179634094,0.2457599937915802,0.02666710628448464,5,0.00431999983265996,0.007519999984651804,0.006104000099003315,0.005840000230818987,0.0011072416806686993,5,0.00571999978274107,0.0074800001457333565,0.006696000043302774,0.007120000198483467,0.0007897747350474058,5,2048,32,4,16,1,4096,1,64,1024,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,1024,1088,1088,BF16,CUDA_EVENT,generic,generic,none,False
0.005760000087320805,0.014720000326633453,0.008248000033199787,0.00687999976798892,0.003272616222430441,5,0.018719999119639397,0.050039999186992645,0.026464199647307396,0.019840000197291374,0.012002549112004147,5,0.1814810037612915,0.24619999527931213,0.20425640046596527,0.19604100286960602,0.02202352264912224,5,0.004120000172406435,0.006440000142902136,0.00544000007212162,0.005760000087320805,0.0007879086001023821,5,0.00571999978274107,0.007439999841153622,0.006391999963670969,0.0063599999994039536,0.0005842738967166081,5,2048,32,4,16,1,4096,1,64,64,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,64,128,128,BF16,CUDA_EVENT,generic,generic,none,False
0.004999999888241291,0.008999999612569809,0.00743199996650219,0.0075599998235702515,0.0013845779002000713,5,0.0188400000333786,0.0501599982380867,0.025952199846506117,0.020560000091791153,0.012121571517443686,5,0.19172100722789764,0.2590799927711487,0.21547240018844604,0.21040000021457672,0.02465283403742035,5,0.005760000087320805,0.0075599998235702515,0.006216000020503998,0.005880000069737434,0.000678162113955566,5,0.005840000230818987,0.00803999975323677,0.006688000075519085,0.005880000069737434,0.0010243123206670982,5,2048,32,4,16,1,4096,1,64,128,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,128,192,192,BF16,CUDA_EVENT,generic,generic,none,False
0.006839999929070473,0.013000000268220901,0.008504000026732683,0.007600000128149986,0.002271295782834672,5,0.019600000232458115,0.050919998437166214,0.02736799940466881,0.02175999991595745,0.011860721901293668,5,0.19056099653244019,0.31460100412368774,0.23284880220890045,0.21368099749088287,0.04460735207302157,5,0.0055599999614059925,0.006719999946653843,0.005943999998271466,0.005799999926239252,0.00040207460179166553,5,0.006320000160485506,0.007720000110566616,0.006704000011086464,0.006519999820739031,0.0005151155655956863,5,2048,32,4,16,1,4096,1,64,576,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,576,640,640,BF16,CUDA_EVENT,generic,generic,none,False
0.004120000172406435,0.007720000110566616,0.006680000014603138,0.007199999876320362,0.0013069658765260351,5,0.018479999154806137,0.022760000079870224,0.020295999944210052,0.019840000197291374,0.0014238203382445417,5,0.1836410015821457,0.20132100582122803,0.1912166029214859,0.185480996966362,0.007966715972958182,5,0.005200000014156103,0.0060800001956522465,0.005856000073254109,0.006000000052154064,0.0003294601991562958,5,0.005840000230818987,0.006719999946653843,0.006360000092536211,0.006440000142902136,0.0003129216100735936,5,2048,32,4,16,1,4096,1,64,1088,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,1088,1152,1152,BF16,CUDA_EVENT,generic,generic,none,False
0.00675999978557229,0.01095999963581562,0.00809599980711937,0.00791999977082014,0.001517598043706983,5,0.021400000900030136,0.04636000096797943,0.027432000264525414,0.022840000689029694,0.00952579349647195,5,0.21979999542236328,0.3346000015735626,0.2525922000408173,0.24007999897003174,0.04175858907005145,5,0.005760000087320805,0.01916000060737133,0.008744000177830457,0.006320000160485506,0.005215705730236604,5,0.005080000031739473,0.006920000072568655,0.006287999916821718,0.006519999820739031,0.0006818327817279113,5,2048,32,4,16,1,4096,1,64,1536,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,1536,1600,1600,BF16,CUDA_EVENT,generic,generic,none,False
0.006519999820739031,0.013679999858140945,0.008495999965816736,0.0074800001457333565,0.0026202411682116396,5,0.02151999995112419,0.026799999177455902,0.023208199813961983,0.02175999991595745,0.0020656535508105007,5,0.2266409993171692,0.26288101077079773,0.23911280333995819,0.23600000143051147,0.013237437754115403,5,0.005200000014156103,0.009879999794065952,0.00661599999293685,0.005919999908655882,0.0016665364305479813,5,0.005239999853074551,0.006639999803155661,0.006079999916255474,0.0061599998734891415,0.00047799578480929285,5,2048,32,4,16,1,4096,1,64,960,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,960,1024,1024,BF16,CUDA_EVENT,generic,generic,none,False
0.006279999855905771,0.00875999964773655,0.0070639998652040955,0.006800000090152025,0.0008946417377671051,5,0.018479999154806137,0.027400000020861626,0.02109599970281124,0.01899999938905239,0.0033549105878797727,5,0.17372000217437744,0.23452100157737732,0.192288401722908,0.18384000658988953,0.022135841873599515,5,0.005080000031739473,0.005840000230818987,0.0054560000076889995,0.00547999981790781,0.00025247579589545794,5,0.005640000104904175,0.006000000052154064,0.005800000019371509,0.00571999978274107,0.0001496663648063881,5,2048,32,4,16,1,4096,1,32,0,True,TORCH_SDPA,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,BF16,CUDA_EVENT,generic,generic,none,False
0.006599999964237213,0.009399999864399433,0.007856000028550626,0.007600000128149986,0.0010181080693855342,5,0.0175199992954731,0.023439999669790268,0.019999999552965164,0.01995999924838543,0.0020497804180219297,5,0.18795999884605408,0.21464000642299652,0.19768040180206298,0.19136099517345428,0.010008596690297496,5,0.005160000175237656,0.006120000034570694,0.005552000086754561,0.005520000122487545,0.00033695097385271963,5,0.005200000014156103,0.01071999967098236,0.006703999917954206,0.005840000230818987,0.002027112107808299,5,2048,32,4,16,1,4096,1,64,384,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,384,448,448,BF16,CUDA_EVENT,generic,generic,none,False
0.005760000087320805,0.009879999794065952,0.007439999934285879,0.007519999984651804,0.0014074088973930119,5,0.01868000067770481,0.022120000794529915,0.02022400051355362,0.020160000771284103,0.0011323886318883873,5,0.2011609971523285,7.234654903411865,1.6169475793838501,0.21615999937057495,2.808875091400544,5,0.005760000087320805,0.0077599999494850636,0.006336000096052885,0.005880000069737434,0.0007515742801201497,5,0.005799999926239252,0.007400000002235174,0.006448000017553568,0.005880000069737434,0.0007455037885335638,5,2048,32,4,16,1,4096,1,64,640,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,640,704,704,BF16,CUDA_EVENT,generic,generic,none,False
0.00687999976798892,0.00824000034481287,0.007320000045001507,0.007160000037401915,0.0004892444999081014,5,0.020320000126957893,0.02500000037252903,0.022184200584888458,0.022120000794529915,0.0015549837841168238,5,0.21412000060081482,0.24075999855995178,0.22423200011253358,0.22244000434875488,0.009244982531224204,5,0.00535999983549118,0.00675999978557229,0.005911999940872192,0.005840000230818987,0.0004835865556434078,5,0.00443999981507659,0.00687999976798892,0.0060721999034285545,0.006120000034570694,0.0008777627058114728,5,2048,32,4,16,1,4096,1,64,1472,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,1472,1536,1536,BF16,CUDA_EVENT,generic,generic,none,False
0.0055599999614059925,0.007679999805986881,0.006743999943137169,0.007199999876320362,0.000885293168298737,5,0.019039999693632126,0.03991999849677086,0.023959999904036522,0.020640000700950623,0.008012070227088493,5,0.19976100325584412,0.26552000641822815,0.22776060104370116,0.21608099341392517,0.025862772978910306,5,0.005799999926239252,0.006800000090152025,0.00614400003105402,0.005840000230818987,0.00041768889552388193,5,0.005760000087320805,0.007319999858736992,0.006584000028669834,0.00687999976798892,0.0006556095454035735,5,2048,32,4,16,1,4096,1,64,896,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,896,960,960,BF16,CUDA_EVENT,generic,generic,none,False
0.006599999964237213,0.00839999970048666,0.007135999947786331,0.006920000072568655,0.0006442855299310707,5,0.018319999799132347,0.023000000044703484,0.020208000391721725,0.01964000053703785,0.001621732373380179,5,0.17256000638008118,0.24435999989509583,0.19784019887447357,0.1915999948978424,0.024923779014440525,5,0.004879999905824661,0.006000000052154064,0.005424000043421984,0.005520000122487545,0.00045438308034217393,5,0.00419999985024333,0.006719999946653843,0.005591999925673008,0.005679999943822622,0.0008183495870533476,5,2048,32,4,16,1,4096,1,64,192,True,TORCH_SDPA,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,192,256,256,BF16,CUDA_EVENT,generic,generic,none,False
