,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,time_stats.all_reduce.count,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,profiling_precision
0,0.017318999999999505,0.017678999999999973,0.01745233333333317,0.017359000000000038,0.00016110727964804405,3,0,8,2048,all_reduce,8,8,FP16
1,0.025079999999999984,0.025399,0.025279333333333303,0.025358999999999923,0.00014189276075809396,3,0,8,10240,all_reduce,8,8,FP16
2,0.03187900000000002,0.032399000000000004,0.032065666666666666,0.03191899999999998,0.00023626726862225882,3,0,8,18432,all_reduce,8,8,FP16
3,0.03843900000000002,0.03879899999999998,0.03867899999999999,0.03879899999999998,0.00016970562748475142,3,0,8,26624,all_reduce,8,8,FP16
4,0.03207900000000001,0.03263900000000001,0.03241233333333331,0.032518999999999895,0.00024073960113688624,3,0,8,34816,all_reduce,8,8,FP16
5,0.03603899999999999,0.036519,0.03623899999999999,0.03615899999999999,0.00020396078054371806,3,0,8,43008,all_reduce,8,8,FP16
6,0.03367900000000003,0.034199000000000014,0.03387900000000002,0.03375900000000002,0.00022861904265975843,3,0,8,51200,all_reduce,8,8,FP16
7,0.03487900000000002,0.03531900000000002,0.03511900000000001,0.035158999999999996,0.00018184242262647474,3,0,8,59392,all_reduce,8,8,FP16
8,0.03379900000000004,0.034359000000000035,0.03407933333333335,0.034079999999999985,0.00022861952866911543,3,0,8,67584,all_reduce,8,8,FP16
9,0.03555899999999997,0.035678999999999975,0.035599333333333316,0.03556,5.63343195179893e-05,3,0,8,75776,all_reduce,8,8,FP16
10,0.03447899999999999,0.03471900000000002,0.034572333333333344,0.03451900000000001,0.0001049867716535024,3,0,8,83968,all_reduce,8,8,FP16
11,0.03467900000000003,0.03479900000000001,0.034719333333333345,0.03468000000000001,5.6334319517990794e-05,3,0,8,92160,all_reduce,8,8,FP16
12,0.03431900000000007,0.034918999999999985,0.03458566666666669,0.03451900000000001,0.00024944382578489637,3,0,8,100352,all_reduce,8,8,FP16
13,0.03447899999999999,0.03479900000000004,0.03458566666666669,0.034479000000000044,0.00015084944665314036,3,0,8,108544,all_reduce,8,8,FP16
14,0.035079000000000006,0.03535899999999998,0.03518566666666665,0.03511899999999997,0.0001236482466066041,3,0,8,116736,all_reduce,8,8,FP16
15,0.03511899999999997,0.035638999999999955,0.03538566666666664,0.035399,0.00021249836600678468,3,0,8,124928,all_reduce,8,8,FP16
16,0.035518999999999946,0.03559899999999999,0.035545999999999994,0.03552000000000004,3.747888294315463e-05,3,0,8,133120,all_reduce,8,8,FP16
