,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,time_stats.send_recv.count,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,profiling_precision
0,0.006119000000000028,0.006679000000003725,0.006319000000001438,0.006159000000000561,0.00025508168626441454,3,0,2,2048,send_recv,2,8,FP16
1,0.00731899999999996,0.007399000000000001,0.00735899999999999,0.007359000000000009,3.265986323712577e-05,3,0,2,10240,send_recv,2,8,FP16
2,0.007278999999999996,0.00763900000000001,0.007479000000000004,0.007519000000000006,0.00014966629547096346,3,0,2,18432,send_recv,2,8,FP16
3,0.007759000000000015,0.008239000000000033,0.007945666666666677,0.007838999999999985,0.000209973543306995,3,0,2,26624,send_recv,2,8,FP16
4,0.008718999999999994,0.008918999999999982,0.008825666666666659,0.008839,8.219218670624892e-05,3,0,2,34816,send_recv,2,8,FP16
5,0.00863900000000001,0.009039000000000044,0.008879000000000019,0.008959000000000003,0.0001728197519575525,3,0,2,43008,send_recv,2,8,FP16
6,0.009079000000000007,0.009158999999999992,0.009105666666666687,0.009079000000000064,3.7712361663261785e-05,3,0,2,51200,send_recv,2,8,FP16
7,0.009158999999999992,0.009318999999999961,0.009225666666666637,0.009198999999999955,6.798692684789445e-05,3,0,2,59392,send_recv,2,8,FP16
8,0.009278999999999997,0.009439000000000022,0.009372333333333342,0.009399000000000001,6.798692684791237e-05,3,0,2,67584,send_recv,2,8,FP16
9,0.009278999999999997,0.009319000000000017,0.009305666666666669,0.009318999999999989,1.885618083164377e-05,3,0,2,75776,send_recv,2,8,FP16
10,0.009918999999999983,0.009999000000000023,0.00994566666666668,0.00991900000000004,3.771236166328795e-05,3,0,2,83968,send_recv,2,8,FP16
11,0.009439000000000022,0.009558999999999969,0.009492333333333325,0.009478999999999986,4.988876515696531e-05,3,0,2,92160,send_recv,2,8,FP16
12,0.00995900000000006,0.010158999999999993,0.010092333333333349,0.010158999999999993,9.42809041581747e-05,3,0,2,100352,send_recv,2,8,FP16
13,0.009559000000000026,0.009678999999999974,0.00962566666666667,0.00963900000000001,4.988876515696608e-05,3,0,2,108544,send_recv,2,8,FP16
14,0.010198999999999956,0.010199000000000012,0.010198999999999974,0.010198999999999956,2.619375006920454e-17,3,0,2,116736,send_recv,2,8,FP16
15,0.010238999999999976,0.010438999999999964,0.0103323333333333,0.01031899999999996,8.219218670624882e-05,3,0,2,124928,send_recv,2,8,FP16
16,0.010199000000000069,0.010478999999999985,0.010345666666666687,0.010359000000000009,0.00011469767022720004,3,0,2,133120,send_recv,2,8,FP16
17,0.009838999999999999,0.009959000000000003,0.009905666666666662,0.009918999999999983,4.988876515698587e-05,3,0,2,141312,send_recv,2,8,FP16
18,0.010518999999999978,0.01059899999999999,0.01057233333333332,0.01059899999999999,3.7712361663288355e-05,3,0,2,149504,send_recv,2,8,FP16
19,0.010399000000000002,0.010519000000000006,0.010465666666666684,0.010479000000000042,4.988876515699081e-05,3,0,2,157696,send_recv,2,8,FP16
20,0.010118999999999972,0.010358999999999981,0.010252333333333316,0.010278999999999996,9.977753031397729e-05,3,0,2,165888,send_recv,2,8,FP16
21,0.010799000000000036,0.010839000000000055,0.010825666666666697,0.010839,1.885618083163723e-05,3,0,2,174080,send_recv,2,8,FP16
