Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,6925876,6128,1130.2,1120.0,800,2048,117.4,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.1,6372311,773,8243.6,4608.0,1696,34208,9199.6,"void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, long, const T1 *, float, int, int)"
0.1,5810064,192,30260.8,30208.0,29792,30944,259.9,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT
0.1,4927249,192,25662.8,25632.0,25344,26144,168.6,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
0.1,3545326,383,9256.7,15616.0,2080,16896,6780.5,"void vllm::rotary_embedding_kernel<c10::BFloat16, (bool)1>(const long *, T1 *, T1 *, const T1 *, int, long, long, long, int, int, int)"
0.0,2472494,384,6438.8,6544.0,3104,10176,3129.3,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1885447,194,9718.8,4928.0,4192,291233,33409.3,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, (int)4>(vllm::RankData *, vllm::RankSignals, vllm::Signal *, T1 *, int, int)"
0.0,1462726,192,7618.4,7616.0,7329,8385,149.5,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *)"
0.0,1351559,192,7039.4,7008.0,6784,7584,131.2,nvjet_tst_64x64_64x13_2x1_v_bz_TNT
0.0,1271171,191,6655.3,6688.0,6304,7008,131.1,nvjet_tst_16x64_64x16_4x1_v_bz_TNN
0.0,995336,191,5211.2,5184.0,4896,5664,150.8,nvjet_tst_64x8_64x16_2x1_v_bz_TNT
0.0,915335,192,4767.4,4640.0,4224,5984,383.9,"void flashinfer::BlockSparseIndicesToVectorSparseOffsetsKernel<int>(T1 *, T1 *, T1 *, T1 *, T1 *, unsigned int, unsigned int, unsigned int, flashinfer::uint_fastdiv)"
0.0,879585,191,4605.2,4608.0,4320,5056,85.5,nvjet_tst_64x8_64x16_4x1_v_bz_TNT
