time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_up_proj.count,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_act.count,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.share_expert_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.001824,0.002976,0.002624,0.002624,0.00020928563302452508,21.0,0.001984,0.002048,0.00201595,0.002016,1.4312494541483634e-05,20.0,0.023744,0.024575999999999997,0.024022349999999998,0.023967999999999996,0.0002334718987372993,20,0.003936,0.004352000000000001,0.0041423499999999995,0.004144,0.00012983269041347037,20,0.010368,0.010976000000000001,0.010620649999999999,0.0105915,0.0001788195389212265,20,0.002432,0.002784,0.00255685,0.00256,8.808931547015228e-05,20.0,0.006144,0.006656,0.006350349999999999,0.006320000000000001,0.00011772097306767374,20,0.001824,0.002048,0.0018672000000000005,0.0018560000000000002,5.837259631025499e-05,20,0.003936,0.004192,0.004096000000000001,0.004112,6.638147331899178e-05,20,16,2,2048,512,151936,True,True,True,128,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.001728,0.002624,0.002357285714285714,0.002368,0.0001688177780237341,21.0,0.0024950000000000003,0.002592,0.0025487,0.00256,2.9127478435319558e-05,20.0,0.022015999999999997,0.023008000000000004,0.022353500000000002,0.022303499999999997,0.0002522305492996444,20,0.0038079999999999998,0.004192,0.00399515,0.003968,0.0001042407190113346,20,0.011168,0.011648,0.011350500000000001,0.011328000000000001,0.00013308474743560918,20,0.002816,0.003104,0.0029296,0.002928,7.045452434017286e-05,20.0,0.00592,0.006176,0.006023950000000001,0.0060160000000000005,5.974066872742568e-05,20,0.001759,0.001952,0.0017951999999999998,0.00176,5.978176979648562e-05,20,0.003904,0.004192,0.00408325,0.004096,7.393434587524274e-05,20,16,2,2048,512,151936,True,True,True,64,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.001728,0.0024,0.0022537142857142855,0.0022719999999999997,0.000129353757416718,21.0,0.002496,0.00256,0.0025296,0.002528,2.36799493242702e-05,20.0,0.021025,0.021952,0.0213919,0.021328,0.00024351527672817586,20,0.00384,0.004128000000000001,0.00394405,0.0039045,9.152566579927186e-05,20,0.010911,0.011713000000000001,0.0111152,0.011040000000000001,0.00019202411306916634,20,0.002816,0.00304,0.0028944,0.0028799999999999997,6.665088146453886e-05,20.0,0.005792,0.006112,0.00594075,0.005952,7.916557016784509e-05,20,0.001696,0.001952,0.0017743500000000003,0.00176,5.856046020994029e-05,20,0.003936,0.004192,0.00402565,0.0040165,6.365946512499143e-05,20,16,2,2048,512,151936,True,True,True,32,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.008192,0.012352,0.01177747619047619,0.011936,0.0008164991248382807,21.0,0.002496,0.002593,0.0025504,0.00256,2.057036703610326e-05,20.0,0.020415999999999997,0.021503,0.020722899999999995,0.020640000000000002,0.00026219685352803164,20,0.0038079999999999998,0.004256,0.00391835,0.003904,9.622799748513946e-05,20,0.01072,0.011328,0.010894200000000001,0.010848000000000002,0.00015845333697969244,20,0.002784,0.002976,0.00286725,0.002864,6.590210542918943e-05,20.0,0.005632,0.005888,0.0057680000000000006,0.005792,5.8897368362262245e-05,20,0.001696,0.001824,0.0017279999999999997,0.001728,3.035786553761646e-05,20,0.00368,0.0041589999999999995,0.003828750000000001,0.0038079999999999998,9.537288660830174e-05,20,16,2,2048,512,151936,True,True,True,16,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.005024,0.00704,0.006783904761904762,0.00688,0.0004043010317363024,21.0,0.002336,0.00256,0.00245115,0.0024635,8.425513337476838e-05,20.0,0.020095999999999996,0.021311,0.02049125,0.020449,0.00025792147545328583,20,0.003649,0.004128000000000001,0.0038479000000000005,0.003872,0.00013611241677378305,20,0.01056,0.010912000000000002,0.010715249999999999,0.01072,0.00010142971704584431,20,0.0026880000000000003,0.0031680000000000002,0.0028656500000000004,0.0028645,0.00014328338179984444,20.0,0.005664,0.005856,0.0057680000000000006,0.005775499999999999,6.222620026966149e-05,20,0.0014399999999999999,0.001696,0.00160965,0.0016485,9.17023854651557e-05,20,0.00368,0.0038079999999999998,0.0037311,0.0037125000000000005,4.557400574889145e-05,20,16,2,2048,512,151936,True,True,True,8,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.00352,0.004864,0.004473809523809524,0.004511,0.00024079543166201681,21.0,0.002304,0.00256,0.00243365,0.002432,9.630227152045793e-05,20.0,0.019903999999999998,0.020864000000000004,0.02036805,0.020432,0.00025185143934470584,20,0.003648,0.004032,0.00380635,0.0038234999999999996,0.00012026897979113312,20,0.01056,0.011136000000000002,0.0107503,0.01072,0.00012930781105563598,20,0.0026560000000000004,0.003072,0.0028352,0.002864,0.0001173416379636827,20.0,0.005632,0.006144,0.00575995,0.0057595,0.00010850321423810462,20,0.001472,0.001696,0.0016063999999999998,0.001648,9.141028388534846e-05,20,0.003648,0.0038079999999999998,0.003724850000000001,0.0037125000000000005,4.212276700313017e-05,20,16,2,2048,512,151936,True,True,True,4,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.002784,0.0036160000000000003,0.0033951904761904757,0.003424,0.0001710000331516591,21.0,0.002335,0.00256,0.0024397999999999998,0.0024475,0.00010165116821758624,20.0,0.019647999999999995,0.020960000000000003,0.020110349999999996,0.020128,0.0002670060439390846,20,0.0036160000000000003,0.004064,0.0037633,0.0037600000000000003,0.00011946049556234051,20,0.010528000000000001,0.011104000000000001,0.01072805,0.010672000000000001,0.00015989824107850612,20,0.0026880000000000003,0.002944,0.00284005,0.0028799999999999997,9.381283227789248e-05,20.0,0.005599000000000001,0.005824,0.00573275,0.005728,6.745656009610933e-05,20,0.0014730000000000001,0.001696,0.0016159500000000001,0.001664,8.493849245189127e-05,20,0.003647,0.0038079999999999998,0.003724650000000001,0.0037120000000000005,3.857625565033486e-05,20,16,2,2048,512,151936,True,True,True,2,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
0.002464,0.0030080000000000003,0.002817380952380952,0.002816,0.00011992913629483997,21.0,0.0021760000000000004,0.002432,0.00230875,0.002336,9.404619875359117e-05,20.0,0.019009,0.020415,0.019481599999999998,0.019471999999999996,0.00036156235976661,20,0.00352,0.004064,0.0037455,0.0037440000000000004,0.00014471299181483322,20,0.010528000000000001,0.010944,0.0107344,0.010704000000000002,0.00011567212283000616,20,0.002528,0.003104,0.00273595,0.0027359999999999997,0.00017088518806496948,20.0,0.0056,0.005856,0.005740699999999999,0.0057435,6.49839210882202e-05,20,0.0014399999999999999,0.001824,0.0015728000000000003,0.001616,0.00010133192981484174,20,0.0036160000000000003,0.003872,0.00371835,0.0037120000000000005,5.9556087010481065e-05,20,16,2,2048,512,151936,True,True,True,1,1,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.033055999999999995,0.0344,0.0336562,0.033648000000000004,0.00035732892410215083,20,0.003104,0.003424,0.0032576000000000003,0.003248,8.91416849739783e-05,20,0.00672,0.007071,0.00687995,0.006864,9.895528030378171e-05,20,,,,,,,0.005728,0.00592,0.005848000000000001,0.005856,4.8366310589086673e-05,20,0.001759,0.001792,0.0017791500000000002,0.001792,1.573936148641357e-05,20,0.003232,0.003328,0.00329285,0.003296,2.6527862710742375e-05,20,16,2,2048,512,151936,True,True,True,128,2,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.032449,0.033214,0.032866700000000006,0.032863500000000004,0.00017286442664701254,20,0.00304,0.003488,0.00320485,0.0031520000000000003,0.00014387399869330103,20,0.006048,0.0063360000000000005,0.0061456,0.006144,6.587897995567326e-05,20,,,,,,,0.005568,0.005856,0.0057471499999999995,0.0057605,7.651357722652908e-05,20,0.001632,0.001696,0.00166875,0.001664,1.528356960922418e-05,20,0.0032,0.003552,0.0032495500000000004,0.003232,7.398950939153466e-05,20,16,2,2048,512,151936,True,True,True,64,2,2048,512,generic,False,512,,KERNEL_ONLY,BF16,none,generic
