time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,is_true_mixed_batch
0.010143999941647053,0.011615999974310398,0.010752000100910663,0.01065600011497736,0.0004857258535111768,5,0.020416000857949257,0.0225600004196167,0.02123520039021969,0.021088000386953354,0.0007228316745761671,5,0.046560000628232956,0.05302400141954422,0.04861439988017082,0.04729599878191948,0.0023377447387735255,5,0.006719999946653843,0.007584000006318092,0.007091199886053801,0.007071999832987785,0.0002844942534207363,5,0.008736000396311283,0.009568000212311745,0.009216000139713288,0.009472000412642956,0.00038024839809373194,5,2048,16,2,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,generic,none,CUDA_EVENT,False
0.01027199998497963,0.011487999930977821,0.010636799968779087,0.010367999784648418,0.00046575119254681354,5,0.02038400061428547,0.0226879995316267,0.021036799997091293,0.02070399932563305,0.000835830897295749,5,0.04665600135922432,0.05110400170087814,0.04846720024943352,0.04793599992990494,0.0016078659809313576,5,0.006976000033318996,0.007552000228315592,0.0072512000799179075,0.00723200011998415,0.0002250035004268227,5,0.009151999838650227,0.010080000385642052,0.009510400146245957,0.009472000412642956,0.00031961595771453537,5,2048,16,2,16,1,128,1,64,64,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,True,64,128,128,BF16,generic,none,CUDA_EVENT,False
0.010111999697983265,0.011392000131309032,0.010451200045645237,0.010208000428974628,0.0004779047974535824,5,0.020191999152302742,0.022752000018954277,0.021081599965691568,0.020640000700950623,0.000969003308097293,5,0.044895999133586884,0.050144001841545105,0.04695039987564087,0.045823998749256134,0.002102904483870877,5,0.006591999903321266,0.007584000006318092,0.006956800073385239,0.006816000211983919,0.00035782810137463235,5,0.00863999966531992,0.009631999768316746,0.009062399901449681,0.00902399979531765,0.0003234375519833879,5,2048,16,2,16,1,128,1,32,0,True,FLASHINFER,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,BF16,generic,none,CUDA_EVENT,False
0.01033599954098463,0.01945599913597107,0.012403199635446071,0.010400000028312206,0.0035515442237313176,5,0.020640000700950623,0.022592000663280487,0.021139200031757354,0.02070399932563305,0.0007443288832974235,5,0.04556800052523613,0.049855999648571014,0.04715519994497299,0.04652800038456917,0.0014730567886140295,5,0.006624000146985054,0.007712000049650669,0.0071680000983178616,0.007040000054985285,0.00046416543940703577,5,0.008991999551653862,0.00979200005531311,0.00930559989064932,0.009184000082314014,0.000310515576363826,5,2048,16,2,16,1,128,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,generic,none,CUDA_EVENT,False
0.01017600018531084,0.011296000331640244,0.010547200031578541,0.010400000028312206,0.0003911862323476723,5,0.020735999569296837,0.0225600004196167,0.02142079994082451,0.021376000717282295,0.0006802091674018444,5,0.04505600035190582,0.05020799860358238,0.04766079932451248,0.04771199822425842,0.001757215858551908,5,0.0066559999249875546,0.00723200011998415,0.006905600056052208,0.006912000011652708,0.00021646766839601556,5,0.008736000396311283,0.009216000325977802,0.008908800221979618,0.00886400043964386,0.00018056611661886287,5,2048,16,2,16,1,128,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,BF16,generic,none,CUDA_EVENT,False
0.01017600018531084,0.011136000044643879,0.010617599822580814,0.01033599954098463,0.00041447108609622555,5,0.020255999639630318,0.02147199958562851,0.020755200088024138,0.02054399996995926,0.0004748955618660841,5,0.00687999976798892,0.018079999834299088,0.009292799886316061,0.006976000033318996,0.004400929624968676,5,0.03731200098991394,0.041760001331567764,0.03898240029811859,0.039103999733924866,0.0015846176530044647,5,0.008736000396311283,0.00979200005531311,0.009228800050914287,0.009151999838650227,0.00036909752357078236,5,2048,16,2,16,1,128,1,0,1,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.01017600018531084,0.011359999887645245,0.010508800111711025,0.010304000228643417,0.0004315136827306952,5,0.019840000197291374,0.02208000048995018,0.020633599907159805,0.020287999883294106,0.000773156201818918,5,0.006432000081986189,0.0072639998979866505,0.0068928000517189504,0.006976000033318996,0.000282326271128057,5,0.03551999852061272,0.041600000113248825,0.03770880028605461,0.036448001861572266,0.002220588002526365,5,0.00848000030964613,0.009344000369310379,0.008960000053048135,0.009088000282645226,0.000302226418766101,5,2048,16,2,16,1,128,2,0,1,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010080000385642052,0.011327999643981457,0.010662399977445603,0.01065600011497736,0.000400907525057835,5,0.02022399939596653,0.02236800082027912,0.020819199830293657,0.020447999238967896,0.0007902384999474014,5,0.006240000016987324,0.0077760000713169575,0.007142399996519088,0.007360000163316727,0.0005348501527219719,5,0.035999998450279236,0.04243199899792671,0.038355199992656706,0.037408001720905304,0.002205038915453307,5,0.008927999995648861,0.009696000255644321,0.00922240000218153,0.009184000082314014,0.00026650459883800846,5,2048,16,2,16,1,128,4,0,1,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.01017600018531084,0.014688000082969666,0.011577600054442883,0.010816000401973724,0.0016374997340912979,5,0.02006400004029274,0.022463999688625336,0.020819200202822685,0.020576000213623047,0.0008467853344748555,5,0.006719999946653843,0.007519999984651804,0.0070975999347865585,0.0071680000983178616,0.00027705426068036184,5,0.036639999598264694,0.04102399945259094,0.038463999330997464,0.03750399872660637,0.0017916575652232552,5,0.008608000352978706,0.009535999968647957,0.009126400016248227,0.009312000125646591,0.00036843100351730484,5,2048,16,2,16,1,128,8,0,1,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
0.010304000228643417,0.01152000017464161,0.01066880002617836,0.010400000028312206,0.0004482742166038857,5,0.01958400011062622,0.021856000646948814,0.02056960016489029,0.02038400061428547,0.0007527555860944828,5,0.006591999903321266,0.007584000006318092,0.006854400038719177,0.006719999946653843,0.00036954111208040326,5,0.03705599904060364,0.04320000112056732,0.03975040093064308,0.03888000175356865,0.0023365175455465166,5,0.00854399986565113,0.009664000011980534,0.009113599918782711,0.00902399979531765,0.0003889810690916338,5,2048,16,2,16,1,128,1,0,8,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,none,CUDA_EVENT,False
