arrived_at,num_prefill_tokens,num_decode_tokens
0.0,4096,1024
0.11821005307137966,4096,1024
0.22397505305707455,4096,1024
0.2922342112287879,4096,1024
0.7820856301113963,4096,1024
1.001610305160284,4096,1024
1.003633517306298,4096,1024
1.3351472872309387,4096,1024
3.218613926321268,4096,1024
5.293026149272919,4096,1024
5.557582743000239,4096,1024
6.572380666155368,4096,1024
7.626885378267616,4096,1024
7.752010405063629,4096,1024
8.455317899119109,4096,1024
9.068505105096847,4096,1024
9.22343149408698,4096,1024
9.265192890074104,4096,1024
9.925778158009052,4096,1024
11.08600559597835,4096,1024
11.125409548170865,4096,1024
11.28786024497822,4096,1024
11.381318783387542,4096,1024
12.27344834804535,4096,1024
12.425280663184822,4096,1024
14.18908795202151,4096,1024
14.250705051235855,4096,1024
15.221038815099746,4096,1024
16.13788053812459,4096,1024
16.3056320711039,4096,1024
17.023614573292434,4096,1024
17.16264496417716,4096,1024
18.983035085257143,4096,1024
19.677193679381162,4096,1024
20.05527622718364,4096,1024
20.26473375223577,4096,1024
21.148847565986216,4096,1024
21.362295805010945,4096,1024
21.420951932203025,4096,1024
21.50847238395363,4096,1024
21.63702770229429,4096,1024
21.81483730021864,4096,1024
21.83228105911985,4096,1024
22.024264701176435,4096,1024
23.42551475809887,4096,1024
23.601949783042073,4096,1024
23.923234350979328,4096,1024
24.529073007404804,4096,1024
25.572578286286443,4096,1024
25.996260275132954,4096,1024
26.402430789079517,4096,1024
26.763202525209635,4096,1024
27.20720822410658,4096,1024
27.315739426296204,4096,1024
27.51231911033392,4096,1024
27.794645532034338,4096,1024
27.894849688280374,4096,1024
28.736278985161334,4096,1024
28.851434108335525,4096,1024
29.360395841300488,4096,1024
29.833851475268602,4096,1024
30.114029380958527,4096,1024
30.25920592714101,4096,1024
30.32491635903716,4096,1024
30.876846231985837,4096,1024
31.295017775148153,4096,1024
31.89823997905478,4096,1024
31.966705108992755,4096,1024
32.85726767638698,4096,1024
34.25691007217392,4096,1024
34.549158801324666,4096,1024
34.62050522118807,4096,1024
34.63930458808318,4096,1024
34.650670872069895,4096,1024
34.93081160727888,4096,1024
35.31090570194647,4096,1024
35.36204324802384,4096,1024
37.71611363114789,4096,1024
38.413647337350994,4096,1024
38.85481624631211,4096,1024
39.880822794977576,4096,1024
40.647702439222485,4096,1024
40.76454552123323,4096,1024
40.822551084216684,4096,1024
40.823081356007606,4096,1024
40.85271057719365,4096,1024
41.14590475615114,4096,1024
41.38026313018054,4096,1024
41.653705574106425,4096,1024
41.94734680838883,4096,1024
42.18499849596992,4096,1024
42.28764403332025,4096,1024
42.50556683214381,4096,1024
42.52852901723236,4096,1024
42.94949855096638,4096,1024
43.16169346123934,4096,1024
43.234497481025755,4096,1024
44.72448521433398,4096,1024
45.97876199008897,4096,1024
47.118917130399495,4096,1024
