time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type,is_true_mixed_batch,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_decode_tokens,decode_avg_kv_cache_size,batch_composition_ratio,model_architecture_profile
0.045504000037908554,0.0533440001308918,0.049094400554895404,0.047648001462221146,0.003363953358220445,0.08854400366544724,0.10291200131177902,0.09692800194025039,0.10025600343942642,0.006284753873033241,0.16832000017166138,0.19542400538921356,0.17686400413513184,0.17392000555992126,0.009701712548351636,0.031647998839616776,0.037151999771595,0.033721599727869034,0.032896000891923904,0.002037915630868184,0.040511999279260635,0.0496320016682148,0.04385280013084412,0.04368000105023384,0.0031865069442219176,2048,32,4,16,1,512,1,64,0,True,FLASHINFER,False,even,[64],64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,False,0,64,64,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.04447999969124794,0.051552001386880875,0.046534400433301926,0.04556800052523613,0.0025746308156864217,0.08604799956083298,0.09436800330877304,0.08954240083694458,0.08832000195980072,0.002841009774840686,0.16889600455760956,0.18598400056362152,0.17633920311927795,0.17472000420093536,0.006481578227115734,0.03203200176358223,0.03484800085425377,0.033107200264930726,0.03222399950027466,0.0011905721407581699,0.04025600105524063,0.04399999976158142,0.04155520051717758,0.04131200164556503,0.0013290750041574666,2048,32,4,16,1,512,1,64,64,True,FLASHINFER,False,even,[64],64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,True,64,128,128,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.04156799986958504,0.05196800082921982,0.044275200366973876,0.04227200150489807,0.0039259501557071,0.07840000092983246,0.09996800124645233,0.08351999968290329,0.07926400005817413,0.00825835689243376,0.14979200065135956,0.17788800597190857,0.16738559901714326,0.17033599317073822,0.009715874690790858,0.02707199938595295,0.03417599946260452,0.03017599917948246,0.030047999694943428,0.0026933279797815997,0.033984001725912094,0.04713600128889084,0.03948800042271614,0.03779200091958046,0.004518554177757376,2048,32,4,16,1,512,1,64,128,True,FLASHINFER,False,even,[64],64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,True,128,192,192,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.03276799991726875,0.04214400053024292,0.03555840030312538,0.03440000116825104,0.0033727698985799317,0.06403200328350067,0.07401599735021591,0.06892800182104111,0.06800000369548798,0.0038191414264351314,0.13043199479579926,0.14588800072669983,0.13624959886074067,0.13513599336147308,0.00515140126439512,0.02191999927163124,0.0272000003606081,0.02476800009608269,0.02502400055527687,0.0017570305196961677,0.028736000880599022,0.03404799848794937,0.03051519989967346,0.0297279991209507,0.0018416652831300074,2048,32,4,16,1,512,1,64,192,True,FLASHINFER,False,even,[64],64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,True,192,256,256,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.026847999542951584,0.031488001346588135,0.028384000062942505,0.027775999158620834,0.0016795587600683635,0.05196800082921982,0.060896001756191254,0.05493760034441948,0.05407999828457832,0.003090571079037138,0.1016639992594719,0.11766400188207626,0.10648320019245147,0.1037760004401207,0.005935999564518911,0.01852799952030182,0.02828799933195114,0.021190400049090386,0.019680000841617584,0.003579505446586788,0.023615999147295952,0.028863999992609024,0.025420799478888513,0.025119999423623085,0.0018786592227653907,2048,32,4,16,1,512,1,32,0,True,FLASHINFER,False,even,[32],32,32.0,32.0,32.0,32.0,0.0,0.0,0.0,False,0,32,32,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.024224000051617622,0.028224000707268715,0.025440000370144843,0.024768000468611717,0.001461107766846312,0.047680001705884933,0.054816000163555145,0.04993920028209686,0.04896000027656555,0.002502768045168435,0.09436800330877304,0.10294400155544281,0.09776000082492828,0.09734400361776352,0.0028172359131148433,0.017503999173641205,0.01945599913597107,0.018617599830031396,0.019200000911951065,0.0009135206305234882,0.02287999913096428,0.025536000728607178,0.02369920015335083,0.023455999791622162,0.0009506965976741606,2048,32,4,16,1,512,1,64,0,True,FLASHINFER,False,even,[64],64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,False,0,64,64,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.02236800082027912,0.02831999957561493,0.024307200312614442,0.023104000836610794,0.0021872270330884104,0.043776001781225204,0.047359999269247055,0.04520960077643395,0.0451200008392334,0.0012550194348950132,0.08591999858617783,0.09110400080680847,0.08803200125694274,0.0883840024471283,0.0018536818429395142,0.015936000272631645,0.018112000077962875,0.016870399937033653,0.016831999644637108,0.0007075980749575804,0.020447999238967896,0.021824000403285027,0.021004800125956534,0.020959999412298203,0.0004770471898801239,2048,32,4,16,1,512,1,96,0,True,FLASHINFER,False,even,[96],96,96.0,96.0,96.0,96.0,0.0,0.0,0.0,False,0,96,96,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.02127999998629093,0.028736000880599022,0.023052800074219705,0.021695999428629875,0.002850595165341233,0.04105599969625473,0.04479999840259552,0.04195199981331825,0.04121600091457367,0.0014330849051529754,0.07833600044250488,0.08665599673986435,0.08183040022850037,0.08144000172615051,0.002944235117078713,0.014336000196635723,0.016863999888300896,0.015449600294232368,0.015200000256299973,0.0008377401027700612,0.01897599920630455,0.021183999255299568,0.01976959966123104,0.01942400075495243,0.0008352917729068975,2048,32,4,16,1,512,1,128,0,True,FLASHINFER,False,even,[128],128,128.0,128.0,128.0,128.0,0.0,0.0,0.0,False,0,128,128,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.019328000023961067,0.023711999878287315,0.021088000014424325,0.019872000440955162,0.0017755817970326075,0.0379519984126091,0.041919998824596405,0.03975039944052696,0.039712000638246536,0.0013219372287236227,0.08259200304746628,0.08764799684286118,0.08473600000143051,0.08329600095748901,0.0022229282751140326,0.014527999795973301,0.01568000018596649,0.015014399960637092,0.015135999768972397,0.00042133200550910333,0.01788800023496151,0.01894400082528591,0.018438400328159334,0.018688000738620758,0.000444512148097078,2048,32,4,16,1,512,1,160,0,True,FLASHINFER,False,even,[160],160,160.0,160.0,160.0,160.0,0.0,0.0,0.0,False,0,160,160,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
0.017920000478625298,0.022336000576615334,0.019392000138759614,0.018912000581622124,0.0015350665162587095,0.03551999852061272,0.04095999896526337,0.03758079931139946,0.03731200098991394,0.0019176092827263586,0.07267200201749802,0.08563199639320374,0.07736319899559022,0.07443200051784515,0.004847068018910567,0.012480000033974648,0.0161920003592968,0.013760000094771385,0.013344000093638897,0.0012666505252667951,0.01603199914097786,0.01852799952030182,0.017100799456238748,0.017055999487638474,0.0008368108026359901,2048,32,4,16,1,512,1,192,0,True,FLASHINFER,False,even,[192],192,192.0,192.0,192.0,192.0,0.0,0.0,0.0,False,0,192,192,BF16,generic,none,CUDA_EVENT,False,,,,,,,,,,,generic
