time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_up_proj.count,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_act.count,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mlp_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.012520000338554382,0.02311999909579754,0.01465802495367825,0.015039999969303608,0.002352152769816106,40.0,0.017400000244379044,0.026680000126361847,0.019060099963098764,0.01774049922823906,0.002400003499347801,20.0,0.2869209945201874,0.38124099373817444,0.2949128970503807,0.2905209958553314,0.019905773440866577,20,0.10999999940395355,0.11655999720096588,0.11217224895954132,0.11170050129294395,0.0015786204908445156,20,0.10239999741315842,0.10756000131368637,0.10416044965386391,0.10364000126719475,0.0013620152296308257,20,0.026040000841021538,0.03288000077009201,0.026934049930423497,0.026480000466108322,0.0014945645124906036,20.0,0.5744419693946838,0.6159619688987732,0.5894238471984863,0.5857419967651367,0.012526140726049089,20,0.04836000129580498,0.05864100158214569,0.05039215013384819,0.04982000030577183,0.0021761861143947936,20,0.20864099264144897,0.21956099569797516,0.21375269889831544,0.2142000049352646,0.0029751572229009668,20,32,32,4096,11008,32768,True,False,False,4064,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.012439999729394913,0.022200999781489372,0.014574100030586123,0.014800000004470348,0.002130891171322973,40.0,0.016680000349879265,0.0221599992364645,0.017438049986958505,0.016979999840259552,0.001368911995572543,20.0,0.3017210066318512,0.37268099188804626,0.3070150002837181,0.3031810075044632,0.015218893485761676,20,0.10719999670982361,0.11180000007152557,0.10895435065031052,0.10900050029158592,0.0010435885816495961,20,0.10751999914646149,0.11524000018835068,0.10916440039873124,0.10856050252914429,0.0019091647163543047,20,0.024399999529123306,0.028880000114440918,0.025316100008785723,0.024940500035881996,0.001064026755485245,20.0,0.4991219937801361,0.507722020149231,0.5033576413989067,0.5029419958591461,0.0021817958907001432,20,0.04548000171780586,0.049800001084804535,0.04700615033507347,0.047080500051379204,0.0010010369226482233,20,0.249439999461174,0.260001003742218,0.2554827995598316,0.2556610107421875,0.0024363639353172893,20,32,32,4096,11008,32768,True,False,False,3808,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.011799999512732029,0.02988000027835369,0.014557050005532802,0.013940500095486641,0.0038964213497965747,40.0,0.015720000490546227,0.021719999611377716,0.016296050045639277,0.016039999201893806,0.001260172295880936,20.0,0.25940099358558655,0.32468101382255554,0.2649828001856804,0.2619604915380478,0.013743954804605118,20,0.10307999700307846,0.10760100185871124,0.10527234934270382,0.10541999712586403,0.0008935899280403802,20,0.09156099706888199,0.09487999975681305,0.09230629988014698,0.09192000329494476,0.0009213753212913713,20,0.022840000689029694,0.02672100067138672,0.02365805013105273,0.023379999212920666,0.0008578475598722999,20.0,0.46216100454330444,0.47408199310302734,0.4672075003385544,0.4667609930038452,0.0029651894972763703,20,0.042479999363422394,0.05000000074505806,0.044244099967181684,0.04402050003409386,0.0015108858146941468,20,0.19935999810695648,0.21260100603103638,0.20662460029125213,0.20678050071001053,0.003255767460700796,20,32,32,4096,11008,32768,True,False,False,3552,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.010999999940395355,0.0272000003606081,0.012958024931140243,0.013319999910891056,0.0026728281356095257,40.0,0.014801000244915485,0.021320000290870667,0.015490050055086612,0.015200000256299973,0.0013524167830986822,20.0,0.2781200110912323,0.3574810028076172,0.2838588997721672,0.27938099205493927,0.01698200720464185,20,0.08427999913692474,0.08744099736213684,0.0858063492923975,0.08574000000953674,0.0009864017123102941,20,0.09924100339412689,0.10583999752998352,0.10087635032832623,0.10054000094532967,0.0014623165855256182,20,0.02136100083589554,0.026240000501275063,0.02215020004659891,0.021860000677406788,0.0011225651591601417,20.0,0.4784010052680969,0.49532198905944824,0.48623745143413544,0.48590150475502014,0.0043890933169104685,20,0.038839999586343765,0.043241001665592194,0.040562249906361106,0.04035999998450279,0.0009374664437452728,20,0.22912099957466125,0.2444009929895401,0.23597474917769432,0.23478099703788757,0.004500995827696297,20,32,32,4096,11008,32768,True,False,False,3296,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.010320000350475311,0.030079999938607216,0.012717050011269748,0.012640000320971012,0.0030889255967577705,40.0,0.014120000414550304,0.02191999927163124,0.014922049967572093,0.014480000361800194,0.0017082947820710236,20.0,0.22888100147247314,0.2956010103225708,0.23349275067448616,0.23006050288677216,0.014291708096630348,20,0.09336099773645401,0.09935999661684036,0.09539224915206432,0.09521999955177307,0.001271271680722791,20,0.0803999975323677,0.08404000103473663,0.08117419928312301,0.08084050193428993,0.0009463312812027869,20,0.020560000091791153,0.021560000255703926,0.020996099803596735,0.020899999886751175,0.0002855396235841226,20.0,0.4658010005950928,0.47592198848724365,0.4706315532326698,0.4701415002346039,0.002607266654946838,20,0.039159998297691345,0.04651999846100807,0.040506099537014964,0.03996000066399574,0.0019686827178454253,20,0.18244099617004395,0.19624100625514984,0.18799859955906867,0.1873209998011589,0.003070269288647067,20,32,32,4096,11008,32768,True,False,False,3040,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.009080000221729279,0.02727999910712242,0.01147802493069321,0.011700000148266554,0.0029696170869762195,40.0,0.013199999928474426,0.02027999982237816,0.014154049940407277,0.013580000028014183,0.0016131312676493604,20.0,0.24048100411891937,0.31144100427627563,0.24567875191569327,0.2420010045170784,0.01514177076473924,20,0.07807999849319458,0.08268000185489655,0.07939034998416901,0.07906049862504005,0.001087430073943389,20,0.08664099872112274,0.09008000046014786,0.0876802995800972,0.08741999790072441,0.0008725970503885004,20,0.01875999942421913,0.022520000115036964,0.019460050109773874,0.01916000060737133,0.0009361335971929913,20.0,0.42148101329803467,0.43396100401878357,0.42527134865522387,0.4247809946537018,0.0030875752289764914,20,0.034279998391866684,0.03739999979734421,0.03563609961420298,0.035520000383257866,0.001010410540326351,20,0.2032810002565384,0.21731999516487122,0.20753870010375977,0.20598100125789642,0.0037867069838498266,20,32,32,4096,11008,32768,True,False,False,2784,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.008320000022649765,0.027639999985694885,0.010831999871879817,0.011399999726563692,0.0033010689287168832,40.0,0.012640999630093575,0.018959999084472656,0.013150049885734916,0.012839999981224537,0.0013401822915765525,20.0,0.18844099342823029,0.273840993642807,0.1940365493297577,0.18968000262975693,0.018340066261575694,20,0.0865200012922287,0.09368100017309189,0.08964624963700771,0.08970000222325325,0.00139444484782735,20,0.07580000162124634,0.08040100336074829,0.07677235044538974,0.07664000242948532,0.0009428849789833006,20,0.017559999600052834,0.02175999991595745,0.018197999987751245,0.018039999529719353,0.0008411872425915696,20.0,0.37080198526382446,0.37828099727630615,0.3730152979493141,0.3719014972448349,0.002172436202741021,20,0.034040000289678574,0.036720000207424164,0.03492609988898039,0.03483999893069267,0.0006343146868022288,20,0.1703210026025772,0.1826000064611435,0.17723855003714561,0.1771405041217804,0.003060687524736976,20,32,32,4096,11008,32768,True,False,False,2528,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.007439999841153622,0.02515999972820282,0.010112999938428402,0.01093999994918704,0.0032223827214621303,40.0,0.011719999834895134,0.018519999459385872,0.012398000014945865,0.012000000104308128,0.001436466370937235,20.0,0.1929199993610382,0.2707209885120392,0.19855469986796379,0.19470100104808807,0.016606719119792907,20,0.0726810023188591,0.07955999672412872,0.07551634944975376,0.07498049736022949,0.0016580449346838143,20,0.07620000094175339,0.0782800018787384,0.0770482998341322,0.07698050141334534,0.0005338039874943669,20,0.01640000008046627,0.020160000771284103,0.017291999794542788,0.01718000043183565,0.0007049654514469868,20.0,0.3627220094203949,0.3728010058403015,0.367459200322628,0.36720098555088043,0.0023831587076700226,20,0.029400000348687172,0.03319999948143959,0.03047615010291338,0.030260000377893448,0.0008719319236039356,20,0.17983999848365784,0.19832000136375427,0.1901126481592655,0.19035999476909637,0.004195516081411005,20,32,32,4096,11008,32768,True,False,False,2272,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.0069599999114871025,0.026200000196695328,0.009312025038525462,0.009999999776482582,0.003246941702107862,40.0,0.01080000028014183,0.01955999992787838,0.011558049870654941,0.01104000024497509,0.0018931878559604518,20.0,0.16008000075817108,0.23552000522613525,0.16457854881882666,0.16078099608421326,0.01629328458480023,20,0.0806799978017807,0.08640000224113464,0.08247429952025413,0.08235999941825867,0.0012319647946996263,20,0.09988000243902206,0.11104100197553635,0.1060723003000021,0.10697999969124794,0.0038465583217725664,20,0.015639999881386757,0.01727999933063984,0.016110100038349628,0.01608049962669611,0.00032664056321993505,20.0,0.32092100381851196,0.33156099915504456,0.3250190481543541,0.32436101138591766,0.002746898934383527,20,0.02775999903678894,0.030239999294281006,0.02859214982017875,0.028460499830543995,0.0006374971497478288,20,0.15636000037193298,0.16731999814510345,0.1616145007312298,0.16228099912405014,0.0031544911644754044,20,32,32,4096,11008,32768,True,False,False,2032,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
0.012719999998807907,0.04520000144839287,0.015345999971032143,0.015039999969303608,0.005257654007137831,40.0,0.017079999670386314,0.026599999517202377,0.017999999783933164,0.01744000054895878,0.0020061504783896885,20.0,0.2894810140132904,0.41384100914001465,0.29942495226860044,0.2921009957790375,0.026578848222136225,20,0.10892000049352646,0.12440100312232971,0.11347434967756272,0.1122404970228672,0.0035527908550904304,20,0.10136000066995621,0.11507999897003174,0.1033403992652893,0.10238050296902657,0.003110443086174183,20,0.02563999965786934,0.027320999652147293,0.026272150035947562,0.026200000196695328,0.00047667015797614546,20.0,0.5757619738578796,0.675521969795227,0.5990678936243057,0.5877014994621277,0.028097778238670594,20,0.047439999878406525,0.058959998190402985,0.05092614963650703,0.05013999901711941,0.0027368792479223803,20,0.2083600014448166,0.23676100373268127,0.2177506998181343,0.21670100092887878,0.007033210749948647,20,32,32,4096,11008,32768,True,False,False,4032,1,4096,11008,generic,generic,,,CUDA_EVENT,FP16,none
