time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,quant_signature
0.040863998234272,0.0521599985659122,0.0435599997639656,0.0427679996937513,0.0027279107769074,0.0701119974255561,0.0793280005455017,0.0725199997425079,0.0722399987280368,0.002004152919678,0.0408320017158985,0.0486720018088817,0.0419855998829007,0.0413439981639385,0.0017201445941782,0.1748480051755905,0.1906879991292953,0.1781120002269745,0.177279993891716,0.0034735156223177,1,512,512,1,10,2048,512,True,1,10,0.25,0.01953125,0.01953125,0.01953125,0.0,7.08519583356734,51.2,3.321928114401022,0.98046875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0414079986512661,0.0506559982895851,0.0427487997338175,0.0420319996774196,0.0020410101521437,0.0698240026831626,0.0787200033664703,0.0713599998503923,0.0710239969193935,0.0017821450801919,0.0412160009145736,0.0465920008718967,0.0423423999920487,0.0418720003217458,0.0013444036787448,0.1720959991216659,0.2025599926710128,0.1790608167648315,0.1768639981746673,0.0078417630866169,1,512,512,1,10,2048,512,True,2,10,0.25,0.01953125,0.01953125,0.01953125,0.0,7.08519583356734,51.2,3.321928114401022,0.98046875,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0442560017108917,0.0548480004072189,0.0463376000523567,0.0452959984540939,0.0023724818162419,0.0702719986438751,0.0807359963655471,0.07316639944911,0.0722239986062049,0.002883951846191,0.0416320003569126,0.0468479990959167,0.042913600243628,0.0425439998507499,0.0012666694134409,0.2016000002622604,0.2166399955749511,0.204827219247818,0.20380799472332,0.003355597378686,2,512,512,1,10,2048,512,True,1,20,0.25,0.0390625,0.0390625,0.0390625,0.0,4.959838707054898,25.6,4.321928114036756,0.9609375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0431360006332397,0.0576319992542266,0.0453136000782251,0.0443200003355741,0.0031353218206347,0.0688640028238296,0.0826560035347938,0.071569600701332,0.0704159997403621,0.0036203939534984,0.0405439995229244,0.0469760000705719,0.042379199899733,0.0418239999562501,0.0016528946371816,0.2001920044422149,0.2242880016565323,0.2053855955600738,0.2031999975442886,0.0068026357330381,2,512,512,1,10,2048,512,True,1,20,0.25,0.0390625,0.0390625,0.0390625,0.0,4.959838707054898,25.6,4.321928114036757,0.9609375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0442879982292652,0.0542399995028972,0.0466095997020602,0.0457760002464056,0.0025689736740189,0.0697600021958351,0.0775680020451545,0.0718992002308368,0.071407999843359,0.0017229641031492,0.0414399988949298,0.049855999648571,0.0435200002044439,0.0428800005465745,0.0019968871599911,0.1920319944620132,0.2130240052938461,0.1960416138172149,0.1939840018749237,0.0051007983274757,2,512,512,1,10,2048,512,True,2,20,0.25,0.0390625,0.0390625,0.0390625,0.0,4.959838707054898,25.6,4.321928114036756,0.9609375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0446400009095668,0.0590719990432262,0.0470271999016404,0.0455360002815723,0.0035800462894932,0.069983996450901,0.0803520008921623,0.0724607989192009,0.071103997528553,0.0031135098117714,0.0416000001132488,0.0729279965162277,0.0456591999158263,0.0427679996937513,0.0074970897249581,0.2043199986219406,0.4370880126953125,0.299748808145523,0.280703991651535,0.0579273402690887,2,512,512,1,10,2048,512,True,2,20,0.25,0.0390625,0.0390625,0.0390625,0.0,4.959838707054898,25.6,4.321928114036757,0.9609375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0433279983699321,0.0538880005478858,0.0460496000945568,0.0450880005955696,0.0027151105266168,0.0698240026831626,0.0960320010781288,0.0732752002775669,0.0712639987468719,0.0057510537234787,0.0407040007412433,0.0477119982242584,0.0426480000838637,0.0418560001999139,0.0019781039650039,0.2347519993782043,0.2451840043067932,0.2377055883407592,0.2373120039701461,0.0023323660716414,4,512,512,1,10,2048,512,True,1,40,0.25,0.078125,0.078125,0.076171875,0.0,3.5270384177096794,25.6,5.27192811336365,0.92568359375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0497599989175796,0.0653439983725547,0.0527791999280452,0.0510080009698867,0.0040982280549084,0.0775680020451545,0.0926079973578453,0.0813743997365236,0.0800319984555244,0.0036646979364912,0.0460480004549026,0.0535680018365383,0.0483167996630072,0.0474719982594251,0.002187005465154,0.2380480021238327,0.2471040040254593,0.2406959980726242,0.2399680018424987,0.0023385914973914,4,512,512,1,10,2048,512,True,1,40,0.25,0.078125,0.078125,0.076171875,0.0,3.5270384177096794,25.6,5.271928113363651,0.92568359375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.04364800080657,0.0546239987015724,0.0456943998113274,0.0448000002652406,0.0024896218607348,0.0681599974632263,0.0816960036754608,0.0715743992477655,0.0703359991312027,0.0032067313577359,0.0419199988245964,0.0535040013492107,0.0434783997014164,0.042816000059247,0.0024535909675286,0.2023359984159469,0.2262720018625259,0.2058912068605423,0.2033919990062713,0.005661710165441,4,512,512,1,10,2048,512,True,2,40,0.25,0.078125,0.078125,0.076171875,0.0,3.5270384177096794,25.6,5.27192811336365,0.92568359375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0449279993772506,0.058432001620531,0.0472079999744892,0.0459199994802475,0.0032282259302985,0.0702079981565475,0.0793920010328292,0.072240000218153,0.0714720003306865,0.0021781053203429,0.0412480011582374,0.0521279983222484,0.0428799998015165,0.0421440005302429,0.0024053057749789,0.2023680061101913,0.2229440063238144,0.2074191868305206,0.2059520035982132,0.0048641031607985,4,512,512,1,10,2048,512,True,2,40,0.25,0.078125,0.078125,0.076171875,0.0,3.5270384177096794,25.6,5.271928113363651,0.92568359375,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
